,Sample,well,plate
1,GTseek_022_384i5_002_PLT_2_5758,2,2
2,GTseek_022_384i5_004_PLT_2_16577,4,2
3,GTseek_022_384i5_006_PLT_2_16578,6,2
4,GTseek_022_384i5_008_PLT_2_29829,8,2
5,GTseek_022_384i5_010_PLT_2_29831,10,2
6,GTseek_022_384i5_012_PLT_2_29860,12,2
7,GTseek_022_384i5_014_PLT_2_29861,14,2
8,GTseek_022_384i5_016_PLT_2_29863,16,2
9,GTseek_022_384i5_018_PLT_2_29865,18,2
10,GTseek_022_384i5_020_PLT_2_29866,20,2
11,GTseek_022_384i5_022_PLT_2_29867,22,2
12,GTseek_022_384i5_024_PLT_2_37609,24,2
13,GTseek_022_384i5_026_PLT_2_37610,26,2
14,GTseek_022_384i5_028_PLT_2_37611,28,2
15,GTseek_022_384i5_030_PLT_2_37624,30,2
16,GTseek_022_384i5_032_PLT_2_45331,32,2
17,GTseek_022_384i5_034_PLT_2_45342,34,2
18,GTseek_022_384i5_036_PLT_2_45347,36,2
19,GTseek_022_384i5_038_PLT_2_45352,38,2
20,GTseek_022_384i5_040_PLT_2_45371,40,2
21,GTseek_022_384i5_042_PLT_2_45398,42,2
22,GTseek_022_384i5_044_PLT_2_45399,44,2
23,GTseek_022_384i5_046_PLT_2_45401,46,2
24,GTseek_022_384i5_048_PLT_2_45405,48,2
25,GTseek_022_384i5_050_PLT_2_45407,50,2
26,GTseek_022_384i5_052_PLT_2_45792,52,2
27,GTseek_022_384i5_054_PLT_2_51324,54,2
28,GTseek_022_384i5_056_PLT_2_51380,56,2
29,GTseek_022_384i5_058_PLT_2_51381,58,2
30,GTseek_022_384i5_060_PLT_2_51447,60,2
31,GTseek_022_384i5_062_PLT_2_51875,62,2
32,GTseek_022_384i5_064_PLT_2_51879,64,2
33,GTseek_022_384i5_066_PLT_2_51885,66,2
34,GTseek_022_384i5_068_PLT_2_51895,68,2
35,GTseek_022_384i5_070_PLT_2_51899,70,2
36,GTseek_022_384i5_072_PLT_2_51906,72,2
37,GTseek_022_384i5_074_PLT_2_51918,74,2
38,GTseek_022_384i5_076_PLT_2_51929,76,2
39,GTseek_022_384i5_078_PLT_2_51932,78,2
40,GTseek_022_384i5_080_PLT_2_51966,80,2
41,GTseek_022_384i5_082_PLT_2_51968,82,2
42,GTseek_022_384i5_084_PLT_2_53054,84,2
43,GTseek_022_384i5_086_PLT_2_53055,86,2
44,GTseek_022_384i5_088_PLT_2_53756,88,2
45,GTseek_022_384i5_090_PLT_2_53757,90,2
46,GTseek_022_384i5_092_PLT_2_53758,92,2
47,GTseek_022_384i5_094_PLT_2_53842,94,2
48,GTseek_022_384i5_096_PLT_2_53843,96,2
49,GTseek_022_384i5_098_PLT_2_53845,98,2
50,GTseek_022_384i5_100_PLT_2_56380,100,2
51,GTseek_022_384i5_102_PLT_2_56384,102,2
52,GTseek_022_384i5_104_PLT_2_56386,104,2
53,GTseek_022_384i5_106_PLT_2_56392,106,2
54,GTseek_022_384i5_108_PLT_2_56393,108,2
55,GTseek_022_384i5_110_PLT_2_56396,110,2
56,GTseek_022_384i5_112_PLT_2_61969,112,2
57,GTseek_022_384i5_114_PLT_2_61973,114,2
58,GTseek_022_384i5_116_PLT_2_61976,116,2
59,GTseek_022_384i5_118_PLT_2_61978,118,2
60,GTseek_022_384i5_120_PLT_2_101085,120,2
61,GTseek_022_384i5_122_PLT_2_101101,122,2
62,GTseek_022_384i5_124_PLT_2_108494,124,2
63,GTseek_022_384i5_126_PLT_2_108513,126,2
64,GTseek_022_384i5_128_PLT_2_108516,128,2
65,GTseek_022_384i5_130_PLT_2_175364,130,2
66,GTseek_022_384i5_132_PLT_2_175371,132,2
67,GTseek_022_384i5_134_PLT_2_5757,134,2
68,GTseek_022_384i5_136_PLT_2_11944,136,2
69,GTseek_022_384i5_138_PLT_2_16579,138,2
70,GTseek_022_384i5_140_PLT_2_29833,140,2
71,GTseek_022_384i5_142_PLT_2_37607,142,2
72,GTseek_022_384i5_144_PLT_2_45326,144,2
73,GTseek_022_384i5_146_PLT_2_45329,146,2
74,GTseek_022_384i5_148_PLT_2_45332,148,2
75,GTseek_022_384i5_150_PLT_2_45337,150,2
76,GTseek_022_384i5_152_PLT_2_45357,152,2
77,GTseek_022_384i5_154_PLT_2_45358,154,2
78,GTseek_022_384i5_156_PLT_2_45793,156,2
79,GTseek_022_384i5_158_PLT_2_49019,158,2
80,GTseek_022_384i5_160_PLT_2_49020,160,2
81,GTseek_022_384i5_162_PLT_2_51400,162,2
82,GTseek_022_384i5_164_PLT_2_51402,164,2
83,GTseek_022_384i5_166_PLT_2_51428,166,2
84,GTseek_022_384i5_168_PLT_2_51893,168,2
85,GTseek_022_384i5_170_PLT_2_51947,170,2
86,GTseek_022_384i5_172_PLT_2_29861,172,2
87,GTseek_022_384i5_174_PLT_2_29866,174,2
88,GTseek_022_384i5_176_PLT_2_45398,176,2
89,GTseek_022_384i5_178_PLT_2_51380,178,2
90,GTseek_022_384i5_180_PLT_2_51966,180,2
91,GTseek_022_384i5_182_PLT_2_53055,182,2
92,GTseek_022_384i5_184_PLT_2_56392,184,2
93,GTseek_022_384i5_186_PLT_2_108513,186,2
94,GTseek_022_384i5_188_PLT_2_29833,188,2
95,GTseek_022_384i5_190_PLT_2_45332,190,2
96,GTseek_022_384i5_192_PLT_2_51400,192,2
