"","...1","AnimalID","LABID.x","Duplicate1","Duplicate2","Duplicate3","Herd","all.2021.data.herds","SEX","HAP","mito.haps","USE","GTseq.stratum","Optimization.sample","Main.run","Latitude","Longitude","YR","SOURCE","Contact","Notes","Permission.requested","Permission.received","Photo.Need.permission","Photo.Have.permission","LABID.y","Concentration","Dried.down","genos","missing"
"1",1,"z0011162","z0011162",NA,NA,NA,NA,"blue-ANT",NA,NA,NA,NA,"Blue",NA,"x",NA,NA,NA,NA,NA,"Replacements: 13953, 72898, 88254",NA,NA,NA,"NA - not humpback",NA,NA,NA,272,112
"2",2,"z0017317","z0017317",NA,NA,NA,NA,"blue-NATL",NA,NA,NA,NA,"Blue",NA,"x",NA,NA,NA,NA,NA,"If this doesn't work, we'll spli the ENP/ESP into separate strata",NA,NA,NA,"NA - not humpback",NA,NA,NA,285,99
"3",3,"z0042288","z0042288",NA,NA,NA,NA,"blue-IO",NA,NA,NA,NA,"Blue",NA,"x",NA,NA,NA,NA,NA,"Replacements: 42297, 23998, 42288",NA,NA,NA,"NA - not humpback",NA,NA,NA,223,161
"4",4,"z0025439","z0025439",NA,NA,NA,NA,"blue-ENP/ESP",NA,NA,NA,NA,"Blue",NA,"x",NA,NA,NA,NA,NA,"Replacements: 90563, 25439, 66695, 11158, 11161, 11151, 11152",NA,NA,NA,"NA - not humpback",NA,NA,NA,308,76
"5",5,"z0009880","z0009880",NA,NA,NA,NA,"brydes",NA,NA,NA,NA,"brydes",NA,"x",3.25,73.583333,1998,"BIOPSY-M/V GIRITY",NA,"bonus",NA,NA,NA,"NA - not a humpback",NA,NA,NA,83,301
"6",6,"z0030424","z0030424",NA,NA,NA,NA,"brydes","F",NA,NA,NA,"brydes",NA,"x",28.916666,-175.55,2002,"BIOPSY-SWFSC-HICEAS",NA,"bonus",NA,NA,NA,"NA - not a humpback",NA,NA,NA,267,117
"7",7,"z0032258","z0032258",NA,NA,NA,NA,"brydes","M",NA,NA,NA,"brydes",NA,"x",33.916666,-78.216666,2003,"STRAND-NC-UNCW",NA,"bonus",NA,NA,NA,"NA - not a humpback",NA,NA,NA,293,91
"8",8,"z0187906","z0187906",NA,NA,NA,NA,"CentAm","F","Aminus",NA,NA,"CentAm",NA,"x",37.6087,-123.0883,2017,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"FIBB",187906,10.0172,NA,NA,NA
"9",9,"z0029829","z0029829",NA,NA,NA,"CentAm","CentAm","F","E1","MnMito08","mito","CentAm",NA,"x",44.25,-124.55,2002,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Cascadia match pre-HW",29829,24.05,NA,NA,NA
"10",10,"z0045332","z0045332",NA,NA,NA,"CentAm","CentAm","M","E1","MnMito08","mito","CentAm",NA,"x",34.933333,-120.733333,2004,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Cascadia match pre-HW",45332,136.898,NA,310,74
"11",11,"z0045342","z0045342",NA,NA,NA,"MixMB","CentAm","F","E1","MnMito08","mito","CentAm",NA,"x",37.266666,-122.6,2004,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Nico, FIBB",45342,55.6949,NA,NA,NA
"12",12,"z0045370","z0045370","56399",108479,196745,"CentAm","CentAm","F","E1","MnMito08","mito","CentAm",NA,"x",35.266666,-121,2004,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Cascadia match pre-HW",56399,379.83,NA,NA,NA
"13",13,"z0051185","z0051185",NA,NA,NA,NA,"CentAm","M","E1",NA,NA,"CentAm",NA,"x",37.2,-124.05,2005,"BIOPSY-SWFSC-CSCAPE","Karin",NA,"2-Nov-21","2-Nov-21",NA,"Nico, FIBB",51185,61.6518,NA,344,40
"14",14,"z0051380","z0051380",NA,NA,NA,"MixSM","CentAm","M","E1","MnMito08","mito","CentAm",NA,"x",34.166666,-120.85,2005,"BIOPSY-SWFSC-CSCAPE","Karin",NA,"2-Nov-21","2-Nov-21",NA,"FIBB",51380,31.13,NA,230,154
"15",15,"z0053757","z0053757",NA,NA,NA,"CentAm","CentAm","F","E1","MnMito09","mito","CentAm",NA,"x",13.783333,-90.366666,2006,"BIOPSY-GUATEMALA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"NA - collected in CentAm",53757,11.04,NA,NA,NA
"16",16,"z0053842","z0053842",NA,NA,NA,"CentAm","CentAm","F","E1","MnMito10","mito","CentAm",NA,"x",12.433333,-87.266666,2006,"BIOPSY-NICARAGUA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"NA - collected in CentAm",53842,30.53,NA,226,158
"17",17,"z0053849","z0053849",NA,NA,NA,"CentAm","CentAm","M","E1","MnMito12","mito","CentAm",NA,"x",12.766666,-87.6,2006,"BIOPSY-NICARAGUA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"NA - collected in CentAm",53849,21.78,NA,300,84
"18",18,"z0056380","z0056380",NA,NA,NA,"CentAm","CentAm","M","E1","MnMito13N","mito","CentAm",NA,"x",10.966666,-85.866666,2004,"BIOPSY-COSTA RICA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"NA - collected in CentAm",56380,28.04,NA,1,383
"19",19,"z0056382","z0056382",NA,NA,NA,"CentAm","CentAm","F","E1","MnMito08","mito","CentAm",NA,"x",8.583333,-83.733333,2004,"BIOPSY-COSTA RICA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"NA - collected in CentAm",56382,812.88,NA,342,42
"20",20,"z0056387","z0056387","187911",187912,NA,"Baker.CentAm","CentAm","F","E1",NA,"ddRAD.CentAm","CentAm","x","x",10.966666,-85.85,2005,"BIOPSY-COSTA RICA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"Nico",187911,32.4,NA,NA,NA
"21",21,"z0056393","z0056393",NA,NA,NA,"CentAm","CentAm","F","E1","MnMito09","mito","CentAm",NA,"x",10.583333,-85.716666,2005,"BIOPSY-COSTA RICA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"NA - collected in CentAm",56393,9.1,NA,NA,NA
"22",22,"z0056394","z0056394",NA,NA,NA,"CentAm","CentAm","F","E1","MnMito09","mito","CentAm",NA,"x",10.583333,-85.716666,2005,"BIOPSY-COSTA RICA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"NA - collected in CentAm",56394,11.2,NA,274,110
"23",23,"z0178348","z0178348",NA,NA,NA,NA,"CentAm","M","E1",NA,NA,"CentAm",NA,"x",37.538333,-122.579833,2016,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"FIBB",178348,10.6516,NA,NA,NA
"24",24,"z0056375","z0056375",NA,NA,NA,NA,"CentAm","M","E1_E11",NA,NA,"CentAm",NA,"x",11.016666,-85.8,2004,"BIOPSY-COSTA RICA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"Nico, FIBB",56375,80.2923,NA,339,45
"25",25,"z0195726","z0195726","195744",NA,NA,NA,"CentAm","M","E1_E11",NA,"CCES","CentAm","x","x",43.7039,-124.4392,2018,"BIOPSY-SWFSC-CCES","Jeff",NA,"2-Nov-21","2-Nov-21",NA,"Nico",195726,72.23,NA,NA,NA
"26",26,"z0196804","z0196804",NA,NA,NA,NA,"CentAm","M","E1_E11",NA,"CCES","CentAm",NA,"x",36.8003,-121.8467,2018,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator","Erin Falcone, Frank Garita Alpízar",NA,196804,59.52,NA,NA,NA
"27",27,"z0045401","z0045401",NA,NA,NA,"MMex","CentAm","M","E10","MnMito15","mito","CentAm",NA,"x",41.75,-124.466666,2004,"CASCADIA RESEARCH","John",NA,"3-Nov-21","Yes, collaborator",NA,"FIBB",45401,11.3,NA,NA,NA
"28",28,"z0061973","z0061973",NA,NA,NA,"MixCM","CentAm","M","E10","MnMito15","mito","CentAm",NA,"x",40.95,-124.366666,2006,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Cascadia match pre-HW",61973,15.04,NA,NA,NA
"29",29,"z0197662","z0197662",NA,NA,NA,NA,"CentAm","M","E10",NA,"CCES","CentAm","x","x",36.6491,-121.9762,2018,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Nico",197662,46.71,NA,NA,NA
"30",30,"z0053845","z0053845",NA,NA,NA,"MixCB","CentAm","M","E13","MnMito16","mito","CentAm",NA,"x",12.833333,-87.683333,2006,"BIOPSY-NICARAGUA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"NA - collected in CentAm",53845,13.35,NA,NA,NA
"31",31,"z0056392","z0056392",NA,NA,NA,"CentAm","CentAm","M","E13","MnMito16","mito","CentAm",NA,"x",8.666666,-83.716666,2005,"BIOPSY-COSTA RICA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"NA - collected in CentAm",56392,12.33,NA,NA,NA
"32",32,"z0061980","z0061980",NA,NA,NA,NA,"CentAm","M","E13",NA,NA,"CentAm",NA,"x",38.25,-123.516666,2006,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"FIBB",61980,29.2611,NA,344,40
"33",33,"z0175937","z0175937",NA,NA,NA,NA,"CentAm","F","E13",NA,NA,"CentAm",NA,"x",40.8065,-124.4102,2016,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Nico",175937,5.95016,"X",NA,NA
"34",34,"z0016578","z0016578",NA,NA,NA,"MixCMB","CentAm","M","E4","MnMito22","mito","CentAm",NA,"x",NA,NA,2000,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Cascadia match pre-HW",16578,52.81,NA,NA,NA
"35",35,"z0053758","z0053758",NA,NA,NA,"CentAm","CentAm","M","E4","MnMito22","mito","CentAm",NA,"x",13.716666,-90.233333,2006,"BIOPSY-GUATEMALA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"NA - collected in CentAm",53758,39.56,NA,208,176
"36",36,"z0056389","z0056389",NA,NA,NA,"CentAm","CentAm","F","E4","MnMito22","ddRAD.CentAm","CentAm","x","x",10.766666,-85.683333,2005,"BIOPSY-COSTA RICA-SPLASH","John",NA,"3-Nov-21","Yes, collaborator",NA,"NA - collected in CentAm",56389,303.13,NA,NA,NA
"37",37,"z0029846","z0029846",NA,NA,NA,NA,"CentAm","M","E5",NA,NA,"CentAm",NA,"x",38.25,-123.366666,2002,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Nico",29846,27.0497,NA,295,89
