"LABID","id","Duplicate1","Duplicate2","Duplicate3","X2019.herd","CentAm.Mmex","unmixed","CentAm.inclusive","All.samples","Haplogroup","CentAm.BakerMex","CentAm.AllMex","Herds.BakerMMex","Mmex.MartinezLoustalot","Mmex.REV","fine.herd","CRC.pure.herd","all.2021.data.herds","GTseq.stratum","in.gtseq","wint.area","feed.area","herd","HI.SEAK.v.HI"
11944,"z0011944",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
16578,"z0016578",NA,NA,NA,"MixCMB",NA,NA,"CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-WA.SBCOC","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
18264,"z0018264",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
29825,"z0029825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA.OR","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
29829,"z0029829",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA.OR.WA.SBCOC","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
29846,"z0029846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
29863,"z0029863","z0051894",NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
29864,"z0029864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
29867,"z0029867",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
37611,"z0037611",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
37624,"z0037624",NA,NA,NA,"MixCM",NA,NA,"CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
45331,"z0045331","z0045361","z0053755",NA,"MixCM",NA,NA,"CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
45332,"z0045332",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
45333,"z0045333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
45337,"z0045337","z0045360","z0045369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
45342,"z0045342",NA,NA,NA,"MixMB",NA,"MMex","MMex","MMex","E",NA,"MMex","MMex","MMex","MMex","CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
45350,"z0045350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
45370,"z0045370","z0056399","z0108479","z0196745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
45401,"z0045401",NA,NA,NA,"MMex","MMex","MMex","MMex","MMex","E",NA,"MMex","MMex","MMex","MMex","CentAm-CA.OR","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
45792,"z0045792",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
51185,"z0051185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
51324,"z0051324","z0053759","z0051325",NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
51326,"z0051326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
51328,"z0051328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
51380,"z0051380",NA,NA,NA,"MixSM",NA,NA,NA,"SMex","E",NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
51891,"z0051891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
51893,"z0051893",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
51922,"z0051922","z0196736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
51926,"z0051926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
51929,"z0051929",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
51947,"z0051947","z0175921",NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53754,"z0053754","z0056376","z0107054",NA,"MixCB",NA,"CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53755,"z0053755",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53756,"z0053756",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53757,"z0053757",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53758,"z0053758",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-WA.SBCOC","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53759,"z0053759",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53760,"z0053760",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53761,"z0053761",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53842,"z0053842",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-OR","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53843,"z0053843",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53844,"z0053844",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53845,"z0053845",NA,NA,NA,"MixCB",NA,"CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53846,"z0053846",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA.OR","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53847,"z0053847",NA,NA,NA,"MixCM",NA,NA,"CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53848,"z0053848",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
53849,"z0053849",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56374,"z0056374","z0107081",NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56375,"z0056375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56376,"z0056376",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56377,"z0056377",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56378,"z0056378",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56380,"z0056380",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56382,"z0056382",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56383,"z0056383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56384,"z0056384",NA,NA,NA,"Baker.CentAm",NA,NA,NA,NA,NA,"CentAm","CentAm",NA,NA,NA,"CentAm-CA.WA.SBCOC","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56385,"z0056385",NA,NA,NA,"Baker.CentAm",NA,NA,NA,NA,NA,"CentAm","CentAm",NA,NA,NA,NA,NA,NA,NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56386,"z0056386",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56387,"z0056387","z0187911","z0187912",NA,"Baker.CentAm",NA,NA,NA,NA,NA,"CentAm","CentAm",NA,NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56388,"z0056388",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56389,"z0056389",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56390,"z0056390",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm",NA,NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56391,"z0056391",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56392,"z0056392",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56393,"z0056393",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56394,"z0056394",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,"CentAm-","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56395,"z0056395",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,"CentAm-CA","CentAm","CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56396,"z0056396",NA,NA,NA,"MixCS",NA,NA,"CentAm","CentAm","F","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
56397,"z0056397",NA,NA,NA,"CentAm","CentAm","CentAm","CentAm","CentAm","E","CentAm","CentAm","CentAm",NA,NA,NA,NA,"CentAm","CentAm","Y","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA
