AnimalID,wint.area,feed.area,Herd
z0011162,Blue,,
z0017317,Blue,,
z0042288,Blue,,
z0025439,Blue,,
z0009880,brydes,,
z0030424,brydes,,
z0032258,brydes,,
z0187906,CentAm,CA/OR/WA,CentAm
z0029829,CentAm,CA/OR/WA,CentAm
z0045332,CentAm,CA/OR/WA,CentAm
z0045342,CentAm,CA/OR/WA,CentAm
z0045370,CentAm,CA/OR/WA,CentAm
z0051185,CentAm,CA/OR/WA,CentAm
z0051380,CentAm,CA/OR/WA,CentAm
z0053757,CentAm,CA/OR/WA,CentAm
z0053842,CentAm,CA/OR/WA,CentAm
z0053849,CentAm,CA/OR/WA,CentAm
z0056380,CentAm,CA/OR/WA,CentAm
z0056382,CentAm,CA/OR/WA,CentAm
z0056387,CentAm,CA/OR/WA,CentAm
z0056393,CentAm,CA/OR/WA,CentAm
z0056394,CentAm,CA/OR/WA,CentAm
z0178348,CentAm,CA/OR/WA,CentAm
z0056375,CentAm,CA/OR/WA,CentAm
z0195726,CentAm,CA/OR/WA,CentAm
z0196804,CentAm,CA/OR/WA,CentAm
z0045401,CentAm,CA/OR/WA,CentAm
z0061973,CentAm,CA/OR/WA,CentAm
z0197662,CentAm,CA/OR/WA,CentAm
z0053845,CentAm,CA/OR/WA,CentAm
z0056392,CentAm,CA/OR/WA,CentAm
z0061980,CentAm,CA/OR/WA,CentAm
z0175937,CentAm,CA/OR/WA,CentAm
z0016578,CentAm,CA/OR/WA,CentAm
z0053758,CentAm,CA/OR/WA,CentAm
z0056389,CentAm,CA/OR/WA,CentAm
z0029846,CentAm,CA/OR/WA,CentAm
z0037624,CentAm,CA/OR/WA,CentAm
z0053760,CentAm,CA/OR/WA,CentAm
z0053759,CentAm,CA/OR/WA,CentAm
z0053846,CentAm,CA/OR/WA,CentAm
z0029863,CentAm,CA/OR/WA,CentAm
z0029864,CentAm,CA/OR/WA,CentAm
z0029867,CentAm,CA/OR/WA,CentAm
z0037611,CentAm,CA/OR/WA,CentAm
z0045333,CentAm,CA/OR/WA,CentAm
z0045337,CentAm,CA/OR/WA,CentAm
z0045350,CentAm,CA/OR/WA,CentAm
z0045792,CentAm,CA/OR/WA,CentAm
z0051324,CentAm,CA/OR/WA,CentAm
z0051326,CentAm,CA/OR/WA,CentAm
z0051328,CentAm,CA/OR/WA,CentAm
z0051893,CentAm,CA/OR/WA,CentAm
z0051922,CentAm,CA/OR/WA,CentAm
z0051929,CentAm,CA/OR/WA,CentAm
z0053754,CentAm,CA/OR/WA,CentAm
z0053756,CentAm,CA/OR/WA,CentAm
z0053843,CentAm,CA/OR/WA,CentAm
z0053844,CentAm,CA/OR/WA,CentAm
z0056374,CentAm,CA/OR/WA,CentAm
z0056378,CentAm,CA/OR/WA,CentAm
z0056384,CentAm,CA/OR/WA,CentAm
z0056386,CentAm,CA/OR/WA,CentAm
z0056391,CentAm,CA/OR/WA,CentAm
z0056395,CentAm,CA/OR/WA,CentAm
z0056396,CentAm,CA/OR/WA,CentAm
z0056397,CentAm,CA/OR/WA,CentAm
z0061976,CentAm,CA/OR/WA,CentAm
z0101084,CentAm,CA/OR/WA,CentAm
z0101085,CentAm,CA/OR/WA,CentAm
z0107101,CentAm,CA/OR/WA,CentAm
z0108489,CentAm,CA/OR/WA,CentAm
z0108513,CentAm,CA/OR/WA,CentAm
z0133302,CentAm,CA/OR/WA,CentAm
z0173485,CentAm,CA/OR/WA,CentAm
z0175912,CentAm,CA/OR/WA,CentAm
z0178294,CentAm,CA/OR/WA,CentAm
z0107052,CentAm,CA/OR/WA,CentAm
z0187857,CentAm,CA/OR/WA,CentAm
z0187860,CentAm,CA/OR/WA,CentAm
z0196730,CentAm,CA/OR/WA,CentAm
z0196733,CentAm,CA/OR/WA,CentAm
z0196746,CentAm,CA/OR/WA,CentAm
z0196783,CentAm,CA/OR/WA,CentAm
z0196794,CentAm,CA/OR/WA,CentAm
z0196810,CentAm,CA/OR/WA,CentAm
z0196838,CentAm,CA/OR/WA,CentAm
z0197665,CentAm,CA/OR/WA,CentAm
z0045331,CentAm,CA/OR/WA,CentAm
z0051891,CentAm,CA/OR/WA,CentAm
z0051947,CentAm,CA/OR/WA,CentAm
z0053847,CentAm,CA/OR/WA,CentAm
z0056377,CentAm,CA/OR/WA,CentAm
z0175916,CentAm,CA/OR/WA,CentAm
z0196758,CentAm,CA/OR/WA,CentAm
z0196811,CentAm,CA/OR/WA,CentAm
z0011944,CentAm,CA/OR/WA,CentAm
z0066805,CentAm,CA/OR/WA,CentAm
z0018264,CentAm,CA/OR/WA,CentAm
z0066792,CentAm,CA/OR/WA,CentAm
z0067213,Fin,NA,Fin
z0030475,Fin,NA,Fin
z0062886,Fin,NA,Fin
z0145401,Fin,NA,Fin
z0012201,Gray,NA,Gray
z0100814,Gray,NA,Gray
z0160234,Gray,NA,Gray
z0040363,HI,,
z0040334,HI,,
z0040345,HI,,
z0040413,HI,,
z0040957,HI,,
z0040337,HI,,
z0040985,HI,,
z0041243,HI,AI.Ber,HI-AI.Ber
z0043747,HI,AI.Ber,HI-AI.Ber
z0040961,HI,AI.Ber,HI-AI.Ber
z0043819,HI,AI.Ber,HI-AI.Ber
z0043915,HI,AI.Ber,HI-AI.Ber
z0041250,HI,AI.Ber,HI-AI.Ber
z0043789,HI,AI.Ber,HI-AI.Ber
z0047854,HI,AI.Ber,HI-AI.Ber
z0043876,HI,AI.Ber,HI-AI.Ber
z0041051,HI,AI.Ber,HI-AI.Ber
z0043243,HI,AI.Ber,HI-AI.Ber
z0043807,HI,AI.Ber,HI-AI.Ber
z0043877,HI,AI.Ber,HI-AI.Ber
z0040275,HI,GOA,HI-GOA
z0040287,HI,GOA,HI-GOA
z0041233,HI,GOA,HI-GOA
z0043267,HI,GOA,HI-GOA
z0043278,HI,GOA,HI-GOA
z0043566,HI,GOA,HI-GOA
z0043572,HI,GOA,HI-GOA
z0043649,HI,GOA,HI-GOA
z0043668,HI,GOA,HI-GOA
z0043684,HI,GOA,HI-GOA
z0043693,HI,GOA,HI-GOA
z0043704,HI,GOA,HI-GOA
z0043954,HI,GOA,HI-GOA
z0044432,HI,GOA,HI-GOA
z0047601,HI,GOA,HI-GOA
z0041248,HI,GOA,HI-GOA
z0043599,HI,GOA,HI-GOA
z0043631,HI,GOA,HI-GOA
z0043898,HI,GOA,HI-GOA
z0043905,HI,GOA,HI-GOA
z0043934,HI,GOA,HI-GOA
z0043940,HI,GOA,HI-GOA
z0043966,HI,GOA,HI-GOA
z0043980,HI,GOA,HI-GOA
z0047562,HI,GOA,HI-GOA
z0043652,HI,GOA,HI-GOA
z0043642,HI,GOA,HI-GOA
z0043686,HI,GOA,HI-GOA
z0047613,HI,GOA,HI-GOA
z0047602,HI,GOA,HI-GOA
z0051840,HI,Rus,HI-Rus
z0051844,HI,Rus,HI-Rus
z0043765,HI,Rus,HI-Rus
z0051816,HI,Rus,HI-Rus
z0040333,HI,SEAK/NBC,HI-SEAK/NBC
z0053024,HI,SEAK/NBC,HI-SEAK/NBC
z0053025,HI,SEAK/NBC,HI-SEAK/NBC
z0053032,HI,SEAK/NBC,HI-SEAK/NBC
z0053083,HI,SEAK/NBC,HI-SEAK/NBC
z0053096,HI,SEAK/NBC,HI-SEAK/NBC
z0053101,HI,SEAK/NBC,HI-SEAK/NBC
z0053131,HI,SEAK/NBC,HI-SEAK/NBC
z0053133,HI,SEAK/NBC,HI-SEAK/NBC
z0053138,HI,SEAK/NBC,HI-SEAK/NBC
z0053142,HI,SEAK/NBC,HI-SEAK/NBC
z0053020,HI,SEAK/NBC,HI-SEAK/NBC
z0053100,HI,SEAK/NBC,HI-SEAK/NBC
z0053102,HI,SEAK/NBC,HI-SEAK/NBC
z0053149,HI,SEAK/NBC,HI-SEAK/NBC
z0053031,HI,SEAK/NBC,HI-SEAK/NBC
z0053040,HI,SEAK/NBC,HI-SEAK/NBC
z0053071,HI,SEAK/NBC,HI-SEAK/NBC
z0146081,HI,SEAK/NBC,HI-SEAK/NBC
z0207765,HI,SEAK/NBC,HI-SEAK/NBC
z0043468,HI,SEAK/NBC,HI-SEAK/NBC
z0040298,HI,SEAK/NBC,HI-SEAK/NBC
z0040364,HI,SEAK/NBC,HI-SEAK/NBC
z0040377,HI,SEAK/NBC,HI-SEAK/NBC
z0040387,HI,SEAK/NBC,HI-SEAK/NBC
z0040465,HI,SEAK/NBC,HI-SEAK/NBC
z0040960,HI,SEAK/NBC,HI-SEAK/NBC
z0041115,HI,SEAK/NBC,HI-SEAK/NBC
z0041145,HI,SEAK/NBC,HI-SEAK/NBC
z0041153,HI,SEAK/NBC,HI-SEAK/NBC
z0041174,HI,SEAK/NBC,HI-SEAK/NBC
z0041472,HI,SEAK/NBC,HI-SEAK/NBC
z0041483,HI,SEAK/NBC,HI-SEAK/NBC
z0041494,HI,SEAK/NBC,HI-SEAK/NBC
z0041501,HI,SEAK/NBC,HI-SEAK/NBC
z0041512,HI,SEAK/NBC,HI-SEAK/NBC
z0041514,HI,SEAK/NBC,HI-SEAK/NBC
z0041522,HI,SEAK/NBC,HI-SEAK/NBC
z0041527,HI,SEAK/NBC,HI-SEAK/NBC
z0043478,HI,SEAK/NBC,HI-SEAK/NBC
z0043487,HI,SEAK/NBC,HI-SEAK/NBC
z0043488,HI,SEAK/NBC,HI-SEAK/NBC
z0043494,HI,SEAK/NBC,HI-SEAK/NBC
z0043498,HI,SEAK/NBC,HI-SEAK/NBC
z0043513,HI,SEAK/NBC,HI-SEAK/NBC
z0044017,HI,SEAK/NBC,HI-SEAK/NBC
z0044023,HI,SEAK/NBC,HI-SEAK/NBC
z0044033,HI,SEAK/NBC,HI-SEAK/NBC
z0044042,HI,SEAK/NBC,HI-SEAK/NBC
z0044044,HI,SEAK/NBC,HI-SEAK/NBC
z0044047,HI,SEAK/NBC,HI-SEAK/NBC
z0044056,HI,SEAK/NBC,HI-SEAK/NBC
z0044059,HI,SEAK/NBC,HI-SEAK/NBC
z0044064,HI,SEAK/NBC,HI-SEAK/NBC
z0044074,HI,SEAK/NBC,HI-SEAK/NBC
z0045728,HI,SEAK/NBC,HI-SEAK/NBC
z0045731,HI,SEAK/NBC,HI-SEAK/NBC
z0045736,HI,SEAK/NBC,HI-SEAK/NBC
z0045739,HI,SEAK/NBC,HI-SEAK/NBC
z0045741,HI,SEAK/NBC,HI-SEAK/NBC
z0045779,HI,SEAK/NBC,HI-SEAK/NBC
z0045781,HI,SEAK/NBC,HI-SEAK/NBC
z0045788,HI,SEAK/NBC,HI-SEAK/NBC
