Plate,Row,Column,LABID,Miseq.num,fname,fname2
1,A,1,z0195258,28277,z0195258_Mnov_MS51_n0028277_R1.fastq.gz,z0195258_S1_L001_R1.fastq.gz
1,B,1,z0195643,28278,z0195643_Mnov_MS51_n0028278_R1.fastq.gz,z0195643_S2_L001_R1.fastq.gz
1,C,1,z0195644,28279,z0195644_Mnov_MS51_n0028279_R1.fastq.gz,z0195644_S3_L001_R1.fastq.gz
1,D,1,z0195645,28280,z0195645_Mnov_MS51_n0028280_R1.fastq.gz,z0195645_S4_L001_R1.fastq.gz
1,E,1,z0195646,28281,z0195646_Mnov_MS51_n0028281_R1.fastq.gz,z0195646_S5_L001_R1.fastq.gz
1,F,1,z0195647,28282,z0195647_Mnov_MS51_n0028282_R1.fastq.gz,z0195647_S6_L001_R1.fastq.gz
1,G,1,z0195648,28283,z0195648_Mnov_MS51_n0028283_R1.fastq.gz,z0195648_S7_L001_R1.fastq.gz
1,H,1,z0195650,28284,z0195650_Mnov_MS51_n0028284_R1.fastq.gz,z0195650_S8_L001_R1.fastq.gz
1,A,2,z0195651,28285,z0195651_Mnov_MS51_n0028285_R1.fastq.gz,z0195651_S9_L001_R1.fastq.gz
1,B,2,z0195653,28286,z0195653_Mnov_MS51_n0028286_R1.fastq.gz,z0195653_S10_L001_R1.fastq.gz
1,C,2,z0195656,28287,z0195656_Mnov_MS51_n0028287_R1.fastq.gz,z0195656_S11_L001_R1.fastq.gz
1,D,2,z0195657,28288,z0195657_Mnov_MS51_n0028288_R1.fastq.gz,z0195657_S12_L001_R1.fastq.gz
1,E,2,z0195659,28289,z0195659_Mnov_MS51_n0028289_R1.fastq.gz,z0195659_S13_L001_R1.fastq.gz
1,F,2,z0195662,28290,z0195662_Mnov_MS51_n0028290_R1.fastq.gz,z0195662_S14_L001_R1.fastq.gz
1,G,2,z0195664,28291,z0195664_Mnov_MS51_n0028291_R1.fastq.gz,z0195664_S15_L001_R1.fastq.gz
1,H,2,z0195665,28292,z0195665_Mnov_MS51_n0028292_R1.fastq.gz,z0195665_S16_L001_R1.fastq.gz
1,A,3,z0195667,28293,z0195667_Mnov_MS51_n0028293_R1.fastq.gz,z0195667_S17_L001_R1.fastq.gz
1,B,3,z0195668,28294,z0195668_Mnov_MS51_n0028294_R1.fastq.gz,z0195668_S18_L001_R1.fastq.gz
1,C,3,z0195669,28295,z0195669_Mnov_MS51_n0028295_R1.fastq.gz,z0195669_S19_L001_R1.fastq.gz
1,D,3,z0195670,28296,z0195670_Mnov_MS51_n0028296_R1.fastq.gz,z0195670_S20_L001_R1.fastq.gz
1,E,3,z0195671,28297,z0195671_Mnov_MS51_n0028297_R1.fastq.gz,z0195671_S21_L001_R1.fastq.gz
1,F,3,z0195672,28298,z0195672_Mnov_MS51_n0028298_R1.fastq.gz,z0195672_S22_L001_R1.fastq.gz
1,G,3,z0195673,28299,z0195673_Mnov_MS51_n0028299_R1.fastq.gz,z0195673_S23_L001_R1.fastq.gz
1,H,3,z0195674,28300,z0195674_Mnov_MS51_n0028300_R1.fastq.gz,z0195674_S24_L001_R1.fastq.gz
1,A,4,z0195675,28301,z0195675_Mnov_MS51_n0028301_R1.fastq.gz,z0195675_S25_L001_R1.fastq.gz
1,B,4,z0195677,28302,z0195677_Mnov_MS51_n0028302_R1.fastq.gz,z0195677_S26_L001_R1.fastq.gz
1,C,4,z0195678,28303,z0195678_Mnov_MS51_n0028303_R1.fastq.gz,z0195678_S27_L001_R1.fastq.gz
1,D,4,z0195679,28304,z0195679_Mnov_MS51_n0028304_R1.fastq.gz,z0195679_S28_L001_R1.fastq.gz
1,E,4,z0195680,28305,z0195680_Mnov_MS51_n0028305_R1.fastq.gz,z0195680_S29_L001_R1.fastq.gz
1,F,4,z0195681,28306,z0195681_Mnov_MS51_n0028306_R1.fastq.gz,z0195681_S30_L001_R1.fastq.gz
1,G,4,z0195682,28307,z0195682_Mnov_MS51_n0028307_R1.fastq.gz,z0195682_S31_L001_R1.fastq.gz
1,H,4,z0195684,28308,z0195684_Mnov_MS51_n0028308_R1.fastq.gz,z0195684_S32_L001_R1.fastq.gz
1,A,5,z0195685,28309,z0195685_Mnov_MS51_n0028309_R1.fastq.gz,
1,B,5,z0195686,28310,z0195686_Mnov_MS51_n0028310_R1.fastq.gz,
