Plate,Row,Column,LABID,LABID
10,B,3,5757,z0005757
10,C,3,5758,z0005758
9,H,12,5758,z0005758
10,D,3,16577,z0016577
10,E,3,29828,z0029828
10,C,7,29831,z0029831
10,F,3,29860,z0029860
9,A,6,29863,z0029863
9,B,6,37611,z0037611
9,E,12,40298,z0040298
9,F,10,40308,z0040308
9,G,10,40387,z0040387
9,A,9,41243,z0041243
9,E,9,41248,z0041248
9,B,9,41250,z0041250
9,H,10,41274,z0041274
9,H,8,41519,z0041519
10,A,6,41526,z0041526
9,C,9,43243,z0043243
9,B,12,43243,z0043243
9,F,9,43278,z0043278
9,A,11,43489,z0043489
9,B,11,43494,z0043494
9,C,11,43496,z0043496
9,D,11,43498,z0043498
9,G,9,43566,z0043566
9,H,9,43599,z0043599
10,A,7,43650,z0043650
9,A,10,43668,z0043668
10,B,7,43674,z0043674
9,B,10,43686,z0043686
9,C,10,43693,z0043693
9,D,10,43704,z0043704
9,D,9,43819,z0043819
9,C,12,43819,z0043819
10,B,6,43994,z0043994
9,E,11,44023,z0044023
9,F,11,44033,z0044033
9,E,10,44432,z0044432
9,D,12,44432,z0044432
10,G,3,45347,z0045347
10,H,3,45398,z0045398
10,A,4,45407,z0045407
10,C,6,46925,z0046925
9,C,6,51326,z0051326
9,D,6,51328,z0051328
9,E,6,51380,z0051380
10,D,7,51405,z0051405
10,B,4,51875,z0051875
10,C,4,51895,z0051895
10,D,4,51918,z0051918
9,F,6,51929,z0051929
10,E,4,51959,z0051959
9,G,11,53025,z0053025
10,E,7,53055,z0053055
10,D,6,53082,z0053082
10,A,1,53096,z0053096
10,B,1,53101,z0053101
10,C,1,53133,z0053133
10,D,1,53138,z0053138
10,E,1,53149,z0053149
9,F,12,53149,z0053149
9,G,6,53756,z0053756
9,H,6,53757,z0053757
9,A,7,53760,z0053760
9,B,7,53842,z0053842
9,C,7,53845,z0053845
9,D,7,53846,z0053846
9,H,11,53846,z0053846
10,H,6,56034,z0056034
10,F,2,56064,z0056064
10,G,2,56065,z0056065
10,H,2,56069,z0056069
10,A,3,56073,z0056073
9,E,7,56374,z0056374
9,F,7,56389,z0056389
10,E,6,61527,z0061527
10,F,4,61969,z0061969
10,F,1,61982,z0061982
9,G,7,66805,z0066805
10,F,7,107078,z0107078
10,G,7,108510,z0108510
9,H,7,108513,z0108513
9,A,12,108513,z0108513
10,F,6,113628,z0113628
10,G,6,146087,z0146087
10,G,1,175378,z0175378
9,A,8,175912,z0175912
10,H,7,175915,z0175915
9,B,8,175916,z0175916
10,A,8,175927,z0175927
10,B,8,187811,z0187811
9,C,8,187857,z0187857
10,C,8,187859,z0187859
9,D,8,187911,z0187911
9,A,1,195258,z0195258
9,B,1,195643,z0195643
9,C,1,195647,z0195647
9,D,1,195648,z0195648
10,H,1,195649,z0195649
9,E,1,195653,z0195653
10,A,2,195655,z0195655
9,F,1,195657,z0195657
9,G,1,195659,z0195659
10,G,4,195663,z0195663
10,F,8,195663,z0195663
9,H,1,195664,z0195664
9,A,2,195665,z0195665
9,B,2,195668,z0195668
9,C,2,195670,z0195670
9,D,2,195671,z0195671
9,E,2,195672,z0195672
9,F,2,195673,z0195673
9,G,2,195674,z0195674
9,H,2,195675,z0195675
9,A,3,195678,z0195678
9,B,3,195682,z0195682
10,H,4,195683,z0195683
9,C,3,195684,z0195684
10,B,2,195688,z0195688
9,D,3,195689,z0195689
10,A,5,195691,z0195691
9,E,3,195693,z0195693
10,B,5,195705,z0195705
10,G,8,195705,z0195705
9,F,3,195736,z0195736
10,C,5,195751,z0195751
10,H,8,195751,z0195751
9,G,3,195755,z0195755
9,H,3,195756,z0195756
10,D,5,195762,z0195762
10,E,5,195767,z0195767
9,A,4,195770,z0195770
9,B,4,195771,z0195771
9,C,4,195772,z0195772
9,D,4,195773,z0195773
9,E,4,195776,z0195776
9,F,4,195777,z0195777
9,G,4,195778,z0195778
10,F,5,195784,z0195784
9,H,4,195791,z0195791
9,A,5,196805,z0196805
9,E,8,196810,z0196810
9,F,8,196811,z0196811
10,C,2,196828,z0196828
9,G,12,196828,z0196828
10,G,5,196829,z0196829
9,G,8,196838,z0196838
9,B,5,196839,z0196839
9,C,5,196846,z0196846
9,D,5,196847,z0196847
9,E,5,196851,z0196851
9,F,5,196887,z0196887
9,G,5,196891,z0196891
10,H,5,196894,z0196894
9,H,5,197660,z0197660
10,D,8,197664,z0197664
10,E,8,197682,z0197682
10,D,2,207777,z0207777
10,E,2,207778,z0207778
