"","LABID","Duplicate1","Duplicate2","Duplicate3","AnimalID","SEX","HAP","mito.haps","num.genos","wint.area","feed.area","herd","HI.v.HI.SEAK","MnMx.v.MnMx.CA.OR.WA"
"1","z0040333","z0044002",NA,NA,"z0040333","F","Aminus",NA,323,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"2","z0053024",NA,NA,NA,"z0053024","M","Aminus",NA,283,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"3","z0053025",NA,NA,NA,"z0053025","M","Aminus",NA,311,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"4","z0053032",NA,NA,NA,"z0053032","F","Aminus",NA,324,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"5","z0053083",NA,NA,NA,"z0053083","M","Aminus",NA,286,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"6","z0053096",NA,NA,NA,"z0053096","M","Aminus",NA,327,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"7","z0053101",NA,NA,NA,"z0053101","M","Aminus",NA,325,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"8","z0053131",NA,NA,NA,"z0053131","F","Aminus",NA,326,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"9","z0053133",NA,NA,NA,"z0053133","M","Aminus",NA,324,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"10","z0053138",NA,NA,NA,"z0053138","M","Aminus",NA,326,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"11","z0053142",NA,NA,NA,"z0053142","M","Aminus",NA,316,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"12","z0053020",NA,NA,NA,"z0053020","M","Aplus",NA,254,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"13","z0053100",NA,NA,NA,"z0053100","M","Aplus",NA,301,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"14","z0053102",NA,NA,NA,"z0053102","F","Aplus",NA,295,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"15","z0053149",NA,NA,NA,"z0053149","M","Aplus",NA,324,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"16","z0053031",NA,NA,NA,"z0053031","F","E2",NA,325,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"17","z0053040",NA,NA,NA,"z0053040","F","E2",NA,309,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
"18","z0053071",NA,NA,NA,"z0053071","M","HET",NA,317,"HI","SEAK.NBC","HI-SEAK.NBC","HI-SEAK.NBC",NA
