"","AnimalID","LABID","SEX","HAP","mito.haps","RunMS58","GTseq.prod.all","GTseq.val.all","RunMS51","RunMS54","RunMS43","RunMS45.90s"
"1","z0011162","z0011162",NA,NA,NA,"","1","","","","",""
"2","z0017317","z0017317",NA,NA,NA,"","1","","","","",""
"3","z0042288","z0042288",NA,NA,NA,"","1","","","","",""
"4","z0025439","z0025439",NA,NA,NA,"","2","","","","",""
"5","z0009880","z0009880",NA,NA,NA,"","1","","","","",""
"6","z0030424","z0030424","F",NA,NA,"","2","","","","",""
"7","z0032258","z0032258","M",NA,NA,"","1","","","","",""
"8","z0187906","z0187906","F","Aminus",NA,"","1","","1","","",""
"9","z0029829","z0029829","F","E1","MnMito08","","1","","1","","",""
"10","z0045332","z0045332","M","E1","MnMito08","","2","","1","","",""
"11","z0045342","z0045342","F","E1","MnMito08","","1","","1","","",""
"12","z0045370","z0045370","F","E1","MnMito08","","","","","","",""
"13","z0051185","z0051185","M","E1",NA,"","2","","1","","",""
"14","z0051380","z0051380","M","E1","MnMito08","1","2","","1","","",""
"15","z0053757","z0053757","F","E1","MnMito09","1","1","","2","","",""
"16","z0053842","z0053842","F","E1","MnMito10","1","1","","1","","",""
"17","z0053849","z0053849","M","E1","MnMito12","","1","","1","","",""
"18","z0056380","z0056380","M","E1","MnMito13N","","1","","1","","",""
"19","z0056382","z0056382","F","E1","MnMito08","","1","","1","","",""
"20","z0056387","z0056387","F","E1",NA,"","","","","","",""
"21","z0056393","z0056393","F","E1","MnMito09","","1","","1","","",""
"22","z0056394","z0056394","F","E1","MnMito09","","1","","1","","",""
"23","z0178348","z0178348","M","E1",NA,"","1","","1","","",""
"24","z0056375","z0056375","M","E1_E11",NA,"","1","","1","","",""
"25","z0195726","z0195726","M","E1_E11",NA,"","","1","1","","",""
"26","z0196804","z0196804","M","E1_E11",NA,"","1","","1","","",""
"27","z0045401","z0045401","M","E10","MnMito15","","1","","1","","",""
"28","z0061973","z0061973","M","E10","MnMito15","","1","","1","","",""
"29","z0197662","z0197662","M","E10",NA,"","","1","1","","",""
"30","z0053845","z0053845","M","E13","MnMito16","2","1","","1","","",""
"31","z0056392","z0056392","M","E13","MnMito16","","2","","1","","",""
"32","z0061980","z0061980","M","E13",NA,"","2","","1","","",""
"33","z0175937","z0175937","F","E13",NA,"","1","","2","","",""
"34","z0016578","z0016578","M","E4","MnMito22","","1","","1","","",""
"35","z0053758","z0053758","M","E4","MnMito22","","1","","1","","",""
"36","z0056389","z0056389","F","E4","MnMito22","1","","1","1","","",""
"37","z0029846","z0029846","M","E5",NA,"","1","","2","","",""
"38","z0037624","z0037624","M","E5","MnMito24","","1","","1","","",""
"39","z0053760","z0053760","M","E5","MnMito23","1","","1","1","","",""
"40","z0053759","z0053759","M","E6","MnMito25","","2","","1","","",""
"41","z0053846","z0053846","M","F1","MnMito28N","1","","1","1","","",""
"42","z0029863","z0029863","M","F2","MnMito29","1","1","","1","","",""
"43","z0029864","z0029864","M","F2",NA,"","1","","1","","",""
"44","z0029867","z0029867","M","F2","MnMito29","","1","","1","","",""
"45","z0037611","z0037611","F","F2","MnMito29","1","1","","1","","",""
"46","z0045333","z0045333","F","F2",NA,"","1","","1","","",""
"47","z0045337","z0045337","M","F2",NA,"","1","","1","","",""
"48","z0045350","z0045350","F","F2",NA,"","1","","2","","",""
"49","z0045792","z0045792","M","F2","MnMito29","","1","","1","","",""
"50","z0051324","z0051324","M","F2","MnMito32","","1","","2","","",""
"51","z0051326","z0051326","M","F2",NA,"1","1","","1","","",""
"52","z0051328","z0051328","M","F2",NA,"1","1","","1","","",""
"53","z0051893","z0051893","M","F2","MnMito32","","1","","1","","",""
"54","z0051922","z0051922","M","F2",NA,"","","","","","",""
"55","z0051929","z0051929","M","F2","MnMito32","1","1","","1","","",""
"56","z0053754","z0053754","M","F2","MnMito29","","1","","1","","",""
"57","z0053756","z0053756","M","F2","MnMito29","1","1","","1","","",""
"58","z0053843","z0053843","F","F2","MnMito32","","1","","1","","",""
"59","z0053844","z0053844","M","F2","MnMito29","","1","","1","","",""
"60","z0056374","z0056374","M","F2","MnMito32","1","1","","1","","",""
"61","z0056378","z0056378","F","F2","MnMito32","","1","","2","","",""
"62","z0056384","z0056384","F","F2",NA,"","1","","1","","",""
"63","z0056386","z0056386","M","F2","MnMito34","","1","","1","","",""
"64","z0056391","z0056391","M","F2","MnMito29","","","1","1","","",""
"65","z0056395","z0056395","M","F2","MnMito29","","1","","1","","",""
"66","z0056396","z0056396","M","F2","MnMito29","","1","","1","","",""
"67","z0056397","z0056397","M","F2","MnMito16","","1","","1","","",""
"68","z0061976","z0061976","M","F2","MnMito29","","1","","1","","",""
"69","z0101084","z0101084","M","F2","MnMito29","","1","","1","","",""
"70","z0101085","z0101085","F","F2","MnMito29","","1","","1","","",""
"71","z0107101","z0107101","F","F2",NA,"","1","","1","","",""
"72","z0108489","z0108489","F","F2",NA,"","1","","1","","",""
"73","z0108513","z0108513","F","F2","MnMito29","2","2","","1","","",""
"74","z0133302","z0133302","M","F2","MnMito29","","1","","1","","",""
"75","z0173485","z0173485","F","F2","MnMito35","","2","","1","","",""
"76","z0175912","z0175912","M","F2",NA,"1","1","","1","","",""
"77","z0178294","z0178294","M","F2","MnMito38N","","1","","1","","",""
"78","z0107052","z0178305","M","F2","MnMito39N","","1","","1","","",""
"79","z0187857","z0187857","M","F2",NA,"1","1","","1","","",""
"80","z0187860","z0187860","M","F2",NA,"","1","","2","","",""
"81","z0196730","z0196730","M","F2",NA,"","","1","1","","",""
"82","z0196733","z0196733","M","F2",NA,"","","1","1","","",""
"83","z0196746","z0196746","F","F2",NA,"","","1","1","","",""
"84","z0196783","z0196783","F","F2",NA,"","","1","1","","",""
"85","z0196794","z0196794","F","F2",NA,"","","1","1","","",""
"86","z0196810","z0196810","F","F2",NA,"1","","1","1","","",""
"87","z0196838","z0196838","F","F2",NA,"1","","1","1","","",""
"88","z0197665","z0197665","F","F2",NA,"","","1","1","","",""
"89","z0045331","z0045331","M","F3","MnMito41","","1","","1","","",""
"90","z0051891","z0051891","F","F3",NA,"","1","","1","","",""
"91","z0051947","z0051947","M","F3","MnMito41","","1","","1","","",""
"92","z0053847","z0053847","F","F3","MnMito41","","","1","1","","",""
"93","z0056377","z0056377","M","F3","MnMito41","","1","","1","","",""
"94","z0175916","z0175916","M","F3",NA,"1","1","","1","","",""
"95","z0196758","z0196758","F","F3",NA,"","1","","1","","",""
"96","z0196811","z0196811","M","F3",NA,"1","1","","1","","",""
"97","z0011944","z0011944","F","H35","MnMito45N","","1","","1","","",""
"98","z0066805","z0066805","M","H35","MnMito45N","1","","1","1","","",""
"99","z0018264","z0018264","M","H36","MnMito46","","","1","1","","",""
"100","z0066792","z0066792","M","SP90","MnMito48","","","1","2","","",""
"101","z0067213","z0067213",NA,NA,NA,"","1","","","","",""
"102","z0030475","z0030475",NA,NA,NA,"","1","","","","",""
"103","z0062886","z0062886",NA,NA,NA,"","2","","","","",""
"104","z0145401","z0145401",NA,NA,NA,"","1","","","","",""
"105","z0012201","z0012201",NA,NA,NA,"","2","","","","",""
"106","z0100814","z0100814",NA,NA,NA,"","1","","","","",""
"107","z0160234","z0160234",NA,NA,NA,"","1","","","","",""
