"","locus","CentAm-CA.OR.WA","MnMx-CA.OR.WA","HI-SEAK.NBC","num.sig","num.sig.after.correction"
"1","Mnov_gtseq_1",0.4824,1,0.8004,0,0
"2","Mnov_gtseq_10",0.5254,1,0.608,0,0
"3","Mnov_gtseq_102",0.8236,0.2074,0.8052,0,0
"4","Mnov_gtseq_104",0.75,0.6766,1,0,0
"5","Mnov_gtseq_106",0.7478,1,0.4326,0,0
"6","Mnov_gtseq_107",1,1,0.7392,0,0
"7","Mnov_gtseq_112",0.044,0.4518,0.2284,1,0
"8","Mnov_gtseq_113",0.0786,0.5792,0.0618,0,0
"9","Mnov_gtseq_114",0.2912,0.068,0.945,0,0
"10","Mnov_gtseq_117",0.1808,0.803,0.4852,0,0
"11","Mnov_gtseq_118",0,0,2e-04,2,2
"12","Mnov_gtseq_12",0.256,0.665,0.455,0,0
"13","Mnov_gtseq_124",0.8856,0.5252,0.1682,0,0
"14","Mnov_gtseq_125",0.546,0.5296,0.8594,0,0
"15","Mnov_gtseq_126",1,0.8194,1,0,0
"16","Mnov_gtseq_127",0.794,1,0.8108,0,0
"17","Mnov_gtseq_128",1,0.0804,0.1038,0,0
"18","Mnov_gtseq_129",0.294,0.1676,0.7328,0,0
"19","Mnov_gtseq_13",0.1562,0.0292,0.7654,1,0
"20","Mnov_gtseq_130",0.7812,0.2128,0.7982,0,0
"21","Mnov_gtseq_135",0.4746,0.5358,0.1136,0,0
"22","Mnov_gtseq_138",0.8476,0.6624,0.7288,0,0
"23","Mnov_gtseq_140",0.6472,0.6516,0.818,0,0
"24","Mnov_gtseq_141",0.8136,1,0.475,0,0
"25","Mnov_gtseq_143",0.2142,0.0876,0.6456,0,0
"26","Mnov_gtseq_145",1,1,0.343,0,0
"27","Mnov_gtseq_147",0.6548,0.8578,0.5078,0,0
"28","Mnov_gtseq_148",0.5632,0.037,0.1516,1,0
"29","Mnov_gtseq_149",0.0316,0.8208,0.4706,1,0
"30","Mnov_gtseq_15",0.8118,0.4058,0.1018,0,0
"31","Mnov_gtseq_152",0.4482,0.806,0.2878,0,0
"32","Mnov_gtseq_154",0.4158,0.6508,0.664,0,0
"33","Mnov_gtseq_157",0.6598,0.6652,0.6338,0,0
"34","Mnov_gtseq_158",0.8304,0.6704,0.4666,0,0
"35","Mnov_gtseq_159",0.4426,0.9502,0.7992,0,0
"36","Mnov_gtseq_16",0.802,1,0.2228,0,0
"37","Mnov_gtseq_160",0.1696,0.3724,0.257,0,0
"38","Mnov_gtseq_161",0.7342,0.3912,1,0,0
"39","Mnov_gtseq_162",0.0074,0.8146,0.4854,1,1
"40","Mnov_gtseq_167",0.3526,0.0712,0.3796,0,0
"41","Mnov_gtseq_17",0.3556,1,0.0694,0,0
"42","Mnov_gtseq_170",0.5578,1,0.1118,0,0
"43","Mnov_gtseq_171",0.7572,0.2182,0.121,0,0
"44","Mnov_gtseq_173",0.5278,0.1496,0.6976,0,0
"45","Mnov_gtseq_174",0.2826,0.7724,1,0,0
"46","Mnov_gtseq_180",0.7468,0.2344,0.7502,0,0
"47","Mnov_gtseq_182",0.747,0.4062,0.434,0,0
"48","Mnov_gtseq_186",0.8256,0.8134,0.67,0,0
"49","Mnov_gtseq_187",0.105,0.4648,0.1326,0,0
"50","Mnov_gtseq_188",0.4488,1,0.4488,0,0
"51","Mnov_gtseq_189",0.1068,0.3888,0.6334,0,0
"52","Mnov_gtseq_19",0.3408,0.079,0.1876,0,0
"53","Mnov_gtseq_190",0.806,0.1318,1,0,0
"54","Mnov_gtseq_191",0.0082,0.0038,0,2,2
"55","Mnov_gtseq_192",0.0224,1,0.6768,1,0
"56","Mnov_gtseq_193",0.43,1,0.1344,0,0
"57","Mnov_gtseq_195",0.535,0.2838,0.0018,0,0
"58","Mnov_gtseq_196",0.643,0.1196,1,0,0
"59","Mnov_gtseq_197",0.1882,0.6316,0.5138,0,0
"60","Mnov_gtseq_2",0.6434,0.5292,1,0,0
"61","Mnov_gtseq_200",0.8172,0.8072,0.8232,0,0
"62","Mnov_gtseq_201",0.886,0.9492,0.3514,0,0
"63","Mnov_gtseq_202",0.36,0.8204,0.4976,0,0
"64","Mnov_gtseq_204",1,0.2866,1,0,0
"65","Mnov_gtseq_205",0.4214,0.8262,0.2324,0,0
"66","Mnov_gtseq_208",0.6046,0.627,0.6406,0,0
"67","Mnov_gtseq_209",0.4868,0.1282,0.3532,0,0
"68","Mnov_gtseq_21",0.8214,0.665,0.2546,0,0
"69","Mnov_gtseq_210",0.0188,0.3614,1,1,0
"70","Mnov_gtseq_211",0.646,0.6578,0.0252,0,0
"71","Mnov_gtseq_213",0.3522,1,0.8094,0,0
"72","Mnov_gtseq_214",0.4984,0.6674,0.048,0,0
"73","Mnov_gtseq_215",0.2252,0.399,0.8192,0,0
"74","Mnov_gtseq_216",0.066,0.689,0.6038,0,0
"75","Mnov_gtseq_217",1,0.4314,1,0,0
"76","Mnov_gtseq_218",0.2422,0.5258,0.2574,0,0
"77","Mnov_gtseq_22",0.6596,0.4646,0.5112,0,0
"78","Mnov_gtseq_220",0.6092,0.3854,1,0,0
"79","Mnov_gtseq_222",0.0106,0.076,0.007,1,1
"80","Mnov_gtseq_223",0.461,0.7914,0.8064,0,0
"81","Mnov_gtseq_224",0.5858,0.3872,0.2994,0,0
"82","Mnov_gtseq_225",0.8134,1,0.4888,0,0
"83","Mnov_gtseq_227",0.2614,0.274,0.8076,0,0
"84","Mnov_gtseq_229",0.8102,1,0.6406,0,0
"85","Mnov_gtseq_230",0,0,0,2,2
"86","Mnov_gtseq_232",1,0.5222,1,0,0
"87","Mnov_gtseq_234",1,1,1,0,0
"88","Mnov_gtseq_235",0.7488,1,0.2126,0,0
"89","Mnov_gtseq_237",0.0118,0.6218,0.9256,1,1
"90","Mnov_gtseq_238",0.2964,0.1192,0.1332,0,0
"91","Mnov_gtseq_239",1,0.6272,0.7768,0,0
"92","Mnov_gtseq_240",0.2274,0.011,0.8128,1,1
"93","Mnov_gtseq_241",1,0.6754,1,0,0
"94","Mnov_gtseq_243",0.123,1,0.8216,0,0
"95","Mnov_gtseq_244",0.5826,0.3608,0.0508,0,0
"96","Mnov_gtseq_245",0.3408,0.493,0.7924,0,0
"97","Mnov_gtseq_246",0.062,0.8378,0.636,0,0
"98","Mnov_gtseq_247",1,0.3234,0.0406,0,0
"99","Mnov_gtseq_248",1,0.7496,0.0048,0,0
"100","Mnov_gtseq_25",0.1652,0.1264,1,0,0
"101","Mnov_gtseq_250",1,1,0.0732,0,0
"102","Mnov_gtseq_251",1,1,0.1802,0,0
"103","Mnov_gtseq_253",0.2062,0.2426,0.7978,0,0
"104","Mnov_gtseq_254",1,0.0174,1,1,0
"105","Mnov_gtseq_255",0.2754,0.694,0.2738,0,0
"106","Mnov_gtseq_257",1,0.8198,0.8184,0,0
"107","Mnov_gtseq_258",0.8094,0.5148,0.3348,0,0
"108","Mnov_gtseq_26",0.5186,0.3694,1,0,0
