Run,Sam.file.name,LABID
GTseq.prod.all1,z0005757_Mnov_GTseek_022_134_PLT_2.fastq.sam,z0005757
GTseq.prod.all2,z0005758_Mnov_GTseek_022_002_PLT_2.fastq.sam,z0005758
GTseq.prod.all3,z0007446_Mnov_GTseek_029_159_PLT_9.fastq.sam,z0007446
GTseq.prod.all4,z0009880_Mnov_GTseek_029_163_PLT_9.fastq.sam,z0009880
GTseq.prod.all5,z0011162_Mnov_GTseek_028_133_PLT_8.fastq.sam,z0011162
GTseq.prod.all6,z0011944_Mnov_GTseek_022_136_PLT_2.fastq.sam,z0011944
GTseq.prod.all8,z0012201_Mnov_GTseek_028_139_PLT_8.fastq.sam,z0012201
GTseq.prod.all9,z0012201_Mnov_GTseek_028_159_PLT_8.fastq.sam,z0012201
GTseq.prod.all10,z0012701_Mnov_GTseek_029_155_PLT_9.fastq.sam,z0012701
GTseq.prod.all11,z0016577_Mnov_GTseek_022_004_PLT_2.fastq.sam,z0016577
GTseq.prod.all12,z0016578_Mnov_GTseek_022_006_PLT_2.fastq.sam,z0016578
GTseq.prod.all13,z0016579_Mnov_GTseek_022_138_PLT_2.fastq.sam,z0016579
GTseq.prod.all14,z0017317_Mnov_GTseek_028_129_PLT_8.fastq.sam,z0017317
GTseq.prod.all15,z0025405_Mnov_GTseek_029_041_PLT_9.fastq.sam,z0025405
GTseq.prod.all17,z0025439_Mnov_GTseek_028_131_PLT_8.fastq.sam,z0025439
GTseq.prod.all18,z0025439_Mnov_GTseek_028_157_PLT_8.fastq.sam,z0025439
GTseq.prod.all19,z0029828_Mnov_GTseek_026_035_PLT_6.fastq.sam,z0029828
GTseq.prod.all20,z0029829_Mnov_GTseek_022_008_PLT_2.fastq.sam,z0029829
GTseq.prod.all21,z0029831_Mnov_GTseek_022_010_PLT_2.fastq.sam,z0029831
GTseq.prod.all23,z0029833_Mnov_GTseek_022_140_PLT_2.fastq.sam,z0029833
GTseq.prod.all24,z0029833_Mnov_GTseek_022_188_PLT_2.fastq.sam,z0029833
GTseq.prod.all25,z0029846_Mnov_GTseek_026_037_PLT_6.fastq.sam,z0029846
GTseq.prod.all26,z0029860_Mnov_GTseek_022_012_PLT_2.fastq.sam,z0029860
GTseq.prod.all28,z0029861_Mnov_GTseek_022_014_PLT_2.fastq.sam,z0029861
GTseq.prod.all29,z0029861_Mnov_GTseek_022_172_PLT_2.fastq.sam,z0029861
GTseq.prod.all30,z0029863_Mnov_GTseek_022_016_PLT_2.fastq.sam,z0029863
GTseq.prod.all31,z0029864_Mnov_GTseek_026_039_PLT_6.fastq.sam,z0029864
GTseq.prod.all32,z0029865_Mnov_GTseek_022_018_PLT_2.fastq.sam,z0029865
GTseq.prod.all34,z0029866_Mnov_GTseek_022_020_PLT_2.fastq.sam,z0029866
GTseq.prod.all35,z0029866_Mnov_GTseek_022_174_PLT_2.fastq.sam,z0029866
GTseq.prod.all36,z0029867_Mnov_GTseek_022_022_PLT_2.fastq.sam,z0029867
GTseq.prod.all38,z0030424_Mnov_GTseek_029_165_PLT_9.fastq.sam,z0030424
GTseq.prod.all39,z0030424_Mnov_GTseek_029_191_PLT_9.fastq.sam,z0030424
GTseq.prod.all40,z0030475_Mnov_GTseek_028_121_PLT_8.fastq.sam,z0030475
