LAB ID,Dup 1,Dup 2,Dup 3,Mig herd,dil?,dil,Plate #,replicate?,Note
195706,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
195707,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
195708,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
195709,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
195710,,,,CCES,Y,1:5,1,,part of the aforementioned samples that did well on Plate 1
195712,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
195713,,,,CCES,Y,1:2,1,Y,part of the aforementioned samples that did well on Plate 1
195714,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
195717,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
195722,,,,CCES,Y,1:5,1,,part of the aforementioned samples that did well on Plate 1
195730,,,,CCES,Y,1:5,1,,part of the aforementioned samples that did well on Plate 1
195733,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
195735,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
195738,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
195742,,,,CCES,Y,1:2,1,Y,part of the aforementioned samples that did well on Plate 1
195743,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
195748,,,,CCES,Y,1:2,1,,part of the aforementioned samples that did well on Plate 1
196707,,,,CCES,Y,1:2,2,,
196709,,,,CCES,Y,1:2,2,,
196714,,,,CCES,Y,1:2,2,,
196718,,,,CCES,Y,1:2,2,,
196722,,,,CCES,Y,1:2,2,,
196726,,,,CCES,Y,1:2,2,,
196727,,,,CCES,Y,1:2,2,,
196728,,,,CCES,Y,1:2,2,Y,
196742,,,,CCES,Y,1:2,2,,
196748,,,,CCES,Y,1:2,2,,
196750,,,,CCES,Y,1:2,2,,
196761,,,,CCES,Y,1:2,2,,
196831,,,,CCES,Y,1:2,2,,
196833,,,,CCES,Y,1:2,2,Y,
196848,,,,CCES,Y,1:2,2,,
196854,,,,CCES,Y,1:2,2,Y,
196859,,,,CCES,Y,1:2,2,,
196860,,,,CCES,Y,1:2,2,,
196861,,,,CCES,Y,1:2,2,,
196862,,,,CCES,Y,1:2,2,,
196863,,,,CCES,Y,1:2,2,,
196865,,,,CCES,Y,1:2,2,,
11944,,,,CentAm,Y,1:10,2,,
45332,,,,CentAm,Y,1:2,3,,
45337,45360,45369,,CentAm,Y,1:2,3,,
53754,56376,107054,,CentAm,Y,1:5,3,,
53759,,,,CentAm,Y,1:10,3,,
56377,,,,CentAm,Y,1:5,3,,
56378,,,,CentAm,Y,1:10,3,Y,
56382,,,,CentAm,Y,1:10,3,,
56389,,,,CentAm,Y,1:10,3,,
56391,,,,CentAm,Y,1:10,3,,
56395,,,,CentAm,Y,1:2,3,,
56399,45370,108479,196745,CentAm,Y,1:10,3,,
66805,,,,CentAm,Y,1:2,3,,
107101,,,,CentAm,Y,1:2,3,,
178305,107052,,,CentAm,Y,1:2,3,,
196736,51922,,,CentAm,Y,1:2,3,Y,
43477,,,,HI-SEAK/NBC,Y,1:2,4,,
44023,,,,HI-SEAK/NBC,Y,1:2,5,,
53032,,,,HI-SEAK/NBC,Y,1:2,5,,
53131,,,,HI-SEAK/NBC,Y,1:2,5,,
196852,,,,HI-WA/SBC,Y,1:2,5,Y,
196855,,,,HI-WA/SBC,Y,1:2,5,Y,
196857,,,,HI-WA/SBC,Y,1:2,5,Y,
45352,,,,mito,Y,1:2,5,,
56062,,,,MnMx-Baker,Y,1:2,5,,
56085,,,,MnMx-Baker,Y,1:2,5,,
56092,,,,MnMx-Baker,Y,1:10,5,,
56095,,,,MnMx-Baker,Y,1:2,5,,
5757,,,,MnMx-CA/OR/WA/SBC,Y,1:10,5,,
45793,,,,MnMx-CA/OR/WA/SBC,Y,1:10,6,,
