LABID,Concentration,Dried.down
41512,10.3288,
175915,18.0639,
175914,20.4192,
61980,29.2611,
175378,53.3322,
175927,57.299,
187885,65.2586,
187868,68.0783,
187842,71.9039,
187846,72.7111,
56375,80.2923,
175351,31.5713,
61527,3.91647,X
174005,6.51388,X
44432,4.45173,X
113628,4.56302,X
113619,5.14978,X
46934,5.30632,X
175937,5.95016,X
146087,6.07166,X
46923,6.56771,X
146081,6.58921,X
175381,6.93669,X
46929,7.49144,X
51404,7.73042,X
46925,7.8769,X
61971,7.96483,X
75691,8.05323,X
46927,8.09399,X
207777,8.18331,X
53021,8.9775,X
43789,9.22359,X
43905,9.22622,X
45710,9.53442,X
146094,9.56358,X
145207,9.97478,X
43684,10.2815,X
207778,10.4499,X
175916,10.5307,X
43724,10.5639,X
207776,10.9148,X
51326,11.8286,X
56020,12.1731,X
43640,12.6219,X
53038,13.6061,X
53051,14.0336,X
43716,14.2008,X
61982,17.6994,X
43807,17.757,X
43666,18.9846,X
45344,20.0359,X
43475,20.9501,X
43468,23.0868,X
113620,9.19312,
187837,9.69615,
43267,10.0214,
51399,13.2191,
51405,16.4404,
41145,18.8865,
47601,22.4448,
41521,22.7876,
40357,30.665,
40465,31.1204,
175354,36.7822,
41519,51.5952,
40403,57.3682,
63092,106.464,
40413,21.7323,
40957,25.7191,
43498,10.4722,
43278,10.6289,
43494,11.1078,
43513,11.4919,
40961,11.76,
43488,12.1759,
43631,12.8174,
43489,12.8477,
43464,13.063,
41514,13.0789,
43599,13.3999,
29828,13.5485,
41526,14.3848,
41522,14.5605,
43487,17.5606,
40513,18.224,
43478,18.5623,
41248,19.4232,
41501,21.0216,
40287,21.0365,
41507,21.8102,
43566,22.0957,
41250,23.5784,
41483,24.0963,
41233,24.2994,
41494,24.4299,
41465,24.5228,
40275,26.2548,
29846,27.0497,
41527,27.4214,
43572,29.676,
43493,31.0365,
29864,31.9703,
43243,32.5594,
43481,33.2616,
41480,34.1735,
41153,35.0142,
43504,38.0378,
41243,45.8622,
43491,48.3732,
41472,55.5705,
41498,85.158,
43526,122.498,
43477,122.648,
43877,8.17886,
43747,9.02909,
45317,9.1727,
44074,9.18511,
43650,9.20286,
43979,9.37647,
44056,9.69456,
43652,9.95022,
43915,10.893,
43898,11.5177,
44044,11.542,
43674,12.6031,
44047,12.6485,
43954,12.7158,
44033,14.9889,
43994,17.1381,
43704,18.9531,
43934,21.3994,
44042,22.2753,
43649,22.5541,
43839,23.3113,
43668,24.5876,
43980,24.6479,
43904,25.4468,
43686,26.3422,
44059,27.6704,
44017,27.9358,
43940,33.1246,
43891,35.4649,
44019,36.0547,
44064,39.8803,
45333,44.9655,
43819,45.157,
43876,62.4104,
43693,62.8794,
43642,82.8456,
44023,122.824,
51888,8.27421,
45350,9.38942,
53097,9.3921,
51328,9.83291,
45404,13.6367,
45739,14.8384,
53132,15.1552,
45742,15.9596,
52846,16.4631,
45733,18.0417,
45736,18.0702,
51844,19.8822,
45719,20.2471,
45740,20.2925,
53103,20.3362,
55903,21.5842,
45741,22.4943,
45720,24.0187,
45776,24.6574,
45731,27.0762,
45728,27.1248,
51891,28.6372,
51939,28.9214,
51898,29.8594,
52882,30.3958,
45781,33.23,
45788,34.8526,
53073,35.4881,
53078,35.6059,
45779,42.7256,
45791,45.9651,
51185,61.6518,
45789,135.274,
51816,136.255,
113607,8.10112,
175930,8.42017,
175912,9.16495,
187906,10.0172,
178348,10.6516,
55971,11.9563,
187859,13.0515,
175377,14.4433,
187857,15.0485,
55931,16.8724,
187811,17.3152,
175928,20.5776,
187860,22.262,
55999,28.989,
55916,33.6645,
55912,36.5951,
63304,38.4433,
55977,38.7369,
55962,42.6813,
55908,45.4905,
55944,54.6738,
108489,59.2002,
107099,106.587,
107101,116.9,
207765,4.70865,
51945,15.0176,
41072,26.0295,
187819,77,
51959,23.85,
175364,5.62111,
197666,5.87313,
56374,6.19955,
108473,6.36807,
108480,32.8855,
101101,5.05937,
133302,7.77925,
145401,9.22675,
195647,13.6851,
178294,15.075,
175371,15.8858,
61978,16.1423,
68566,25.5469,
101085,27.4766,
108494,28.3906,
100814,46.5846,
45342,55.6949,
62886,58.9527,
67213,77.6816,
160234,79.9714,
11162,91.2419,
17317,95.2927,
30475,117.122,
12201,118.255,
25439,124.599,
42288,135.501,
45332,136.898,
5758,14.88,
16577,52.48,
16578,52.81,
29829,24.05,
29831,16.66,
29860,39.72,
29861,30.38,
29863,31.86,
29865,19.89,
29866,12.61,
29867,16.64,
37609,10.36,
37610,16.52,
37611,14.45,
37624,33.38,
45331,34.84,
45347,157.92,
45352,118.36,
45371,127.4,
45398,76.78,
45399,27.38,
45401,11.3,
45405,11.3,
45407,16.43,
45792,63.01,
51324,86.26,
51380,31.13,
51381,16.34,
51447,12.68,
51875,11.38,
51879,14.32,
51885,27.99,
51895,12.39,
51899,60.79,
51906,12.51,
51918,13.77,
51929,13.24,
51932,22.53,
51966,10.34,
51968,24.61,
53054,23.31,
53055,24.8,
53756,13.43,
53757,11.04,
53758,39.56,
53842,30.53,
53843,37.71,
53845,13.35,
56380,28.04,
56384,15.72,
56386,77.24,
56392,12.33,
56393,9.1,
56396,11.51,
61969,62.12,
61973,15.04,
61976,10.01,
108513,49.55,
108516,19.03,
5757,493.11,
11944,1024.54,
16579,24.26,
