"","AnimalID","LABID.x","Duplicate1","Duplicate2","Duplicate3","Herd","all.2021.data.herds","SEX","HAP","mito.haps","USE","GTseq.stratum","Optimization.sample","Main.run","Latitude","Longitude","YR","SOURCE","Contact","Notes","Permission.requested","Permission.received","Photo.Need.permission","Photo.Have.permission","LABID.y","prod","val","MS43","MS45","MS51","MS54","times.run","genos.10readsMin","genos.20readsMin","OLD Include on 3rd MiSeq run","NEW Include on 3rd MiSeq run","Use as replicate (from previous PCR1)"
"1",61982,61982,"NA","NA","NA","NA","HI-WA/SBC","M","Aminus","NA","NA","HI-WA/SBC","NA","x","47.366666000000002","-124.716666","2006","SLOUGHED-CASCADIA","John","NA","44503","Yes, collaborator","Meagan Jones, Paul Schofield","NA","z0061982",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,"No","Yes",NA
"2",195649,195649,"NA","NA","NA","NA","HI-WA/SBC","F","Aplus","NA","CCES","HI-WA/SBC","x","x","48.4726","-124.913","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","PWF","z0195649",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,"No","Yes",NA
"3",207777,207777,"Was BCHB12-38/HW-12-JT-29","NA","NA","NA","HI-WA/SBC","M","Aplus","NA","NA","HI-WA/SBC","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","PWF","z0207777",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,"No","Yes",NA
"4",207778,207778,"Was HW20210902-LS-04","NA","NA","NA","HI-WA/SBC","F","Aminus","NA","NA","HI-WA/SBC","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Craig Hayslip","NA","z0207778",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,"No","Yes",NA
"5",146087,174004,"146087","NA","NA","NA","MnMx-SEAK","F","Aplus","NA","NA","MnMx-SEAK","NA","x","58.815607","-136.12545900000001","2015","SLOUGHED-AK-GBNP","Chris Gabriele","NA","NA","Yes, collaborator","NA","Nico","z0146087",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,"No","Yes",NA
"6",46925,203524,"178357","46925","91060","NA","MnMx-SEAK","M","Aminus","NA","NA","MnMx-SEAK","NA","x","58.742576","-136.05174700000001","2019","SLOUGHED-AK-GBNP","Chris Gabriele","NA","NA","Yes, collaborator","NA","FIBB","z0046925",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,"No","Yes",NA
"7",41526,41526,"NA","NA","NA","NA","MnMx-SEAK","M","Aminus","NA","NA","MnMx-SEAK","NA","x","57.9","-136.6","2004","BIOPSY-UAS-STRALEY","Jan Straley","NA","NA","Yes, collaborator","NA","Nico, FIBB","z0041526",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,"No","Yes",NA
"8",113628,113628,"NA","NA","NA","NA","MnMx-SEAK","F","Aplus","NA","NA","MnMx-SEAK","NA","x","58.676900000000003","-136.29006999999999","2012","BIOPSY-AK-GBNP","Chris Gabriele","low concentration, but enough after dried down","NA","Yes, collaborator","NA","FIBB","z0113628",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,4,1,"No","Yes",NA
"9",53756,53756,"NA","NA","NA","CentAm","CentAm","M","F2","MnMito29","mito","CentAm","NA","x","13.783333000000001","-90.333332999999996","2006","BIOPSY-GUATEMALA-SPLASH","John","NA","44503","Yes, collaborator","NA","NA - collected in CentAm","z0053756",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,15,3,"No","Yes",NA
"10",187811,187811,"NA","NA","NA","NA","SMX","F","F2","NA","NA","SMX","NA","x","37.963299999999997","-123.0166","2014","BIOPSY-CASCADIA","John","Added Nov 29","NA","NA","NA","Katherina","z0187811",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,16,3,"No","Yes",NA
