"","AnimalID","LABID","SEX","HAP","mito.haps","wint.area","feed.area","herd","HI.v.HI.SEAK","MnMx.v.MnMx.CA.OR.WA"
"1","z0011162","z0011162",NA,NA,NA,NA,NA,NA,NA,NA
"2","z0017317","z0017317",NA,NA,NA,NA,NA,NA,NA,NA
"3","z0042288","z0042288",NA,NA,NA,NA,NA,NA,NA,NA
"4","z0025439","z0025439",NA,NA,NA,NA,NA,NA,NA,NA
"5","z0030424","z0030424","F",NA,NA,NA,NA,NA,NA,NA
"6","z0032258","z0032258","M",NA,NA,NA,NA,NA,NA,NA
"7","z0187906","z0187906","F","Aminus",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"8","z0029829","z0029829","F","E1","MnMito08","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"9","z0045332","z0045332","M","E1","MnMito08","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"10","z0045342","z0045342","F","E1","MnMito08","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"11","z0045370","z0056399","F","E1","MnMito08","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"12","z0051185","z0051185","M","E1",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"13","z0051380","z0051380","M","E1","MnMito08","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"14","z0053842","z0053842","F","E1","MnMito10","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"15","z0053849","z0053849","M","E1","MnMito12","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"16","z0056382","z0056382","F","E1","MnMito08","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"17","z0056387","z0187911","F","E1",NA,NA,NA,NA,NA,NA
"18","z0056393","z0056393","F","E1","MnMito09","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"19","z0056394","z0056394","F","E1","MnMito09","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"20","z0178348","z0178348","M","E1",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"21","z0056375","z0056375","M","E1_E11",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"22","z0195726","z0195726","M","E1_E11",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"23","z0196804","z0196804","M","E1_E11",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"24","z0045401","z0045401","M","E10","MnMito15","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"25","z0197662","z0197662","M","E10",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"26","z0056392","z0056392","M","E13","MnMito16","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"27","z0061980","z0061980","M","E13",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"28","z0175937","z0175937","F","E13",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"29","z0016578","z0016578","M","E4","MnMito22","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"30","z0053758","z0053758","M","E4","MnMito22","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"31","z0056389","z0056389","F","E4","MnMito22","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"32","z0029846","z0029846","M","E5",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"33","z0037624","z0037624","M","E5","MnMito24","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"34","z0053760","z0053760","M","E5","MnMito23","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"35","z0053759","z0053759","M","E6","MnMito25","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"36","z0053846","z0053846","M","F1","MnMito28N","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"37","z0029863","z0029863","M","F2","MnMito29","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"38","z0029864","z0029864","M","F2",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"39","z0045333","z0045333","F","F2",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"40","z0045337","z0045337","M","F2",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"41","z0045350","z0045350","F","F2",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"42","z0045792","z0045792","M","F2","MnMito29","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"43","z0051324","z0051324","M","F2","MnMito32","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"44","z0051326","z0051326","M","F2",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"45","z0051328","z0051328","M","F2",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"46","z0051893","z0051893","M","F2","MnMito32","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"47","z0051922","z0196736","M","F2",NA,NA,NA,NA,NA,NA
"48","z0051929","z0051929","M","F2","MnMito32","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"49","z0053754","z0053754","M","F2","MnMito29","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"50","z0053756","z0053756","M","F2","MnMito29","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"51","z0053843","z0053843","F","F2","MnMito32","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"52","z0053844","z0053844","M","F2","MnMito29","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"53","z0056374","z0056374","M","F2","MnMito32","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"54","z0056378","z0056378","F","F2","MnMito32","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"55","z0056384","z0056384","F","F2",NA,"CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"56","z0056386","z0056386","M","F2","MnMito34","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"57","z0056391","z0056391","M","F2","MnMito29","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
"58","z0056395","z0056395","M","F2","MnMito29","CentAm","CA.OR.WA","CentAm-CA.OR.WA",NA,NA
