,LABID,genos,YR,MO,DA,date,julian.date,Run
1,z0195258,323,2018,8,10,8/10/18,222,RunMS51
2,z0195258,298,2018,8,10,8/10/18,222,RunMS54
3,z0195642,115,2018,7,4,7/4/18,185,RunMS54
4,z0195643,285,2018,7,4,7/4/18,185,RunMS51
5,z0195643,299,2018,7,4,7/4/18,185,RunMS54
6,z0195644,336,2018,7,4,7/4/18,185,RunMS51
7,z0195644,327,2018,7,4,7/4/18,185,RunMS54
8,z0195645,141,2018,7,4,7/4/18,185,RunMS51
9,z0195645,103,2018,7,4,7/4/18,185,RunMS54
10,z0195646,113,2018,7,4,7/4/18,185,RunMS51
11,z0195646,212,2018,7,4,7/4/18,185,RunMS54
12,z0195647,263,2018,7,4,7/4/18,185,RunMS51
13,z0195647,278,2018,7,4,7/4/18,185,RunMS54
14,z0195648,144,2018,7,4,7/4/18,185,RunMS51
15,z0195648,218,2018,7,4,7/4/18,185,RunMS54
16,z0195649,54,2018,7,5,7/5/18,186,GTseq.val
17,z0195649,105,2018,7,5,7/5/18,186,RunMS54
18,z0195650,331,2018,7,5,7/5/18,186,RunMS51
19,z0195650,318,2018,7,5,7/5/18,186,RunMS54
20,z0195651,333,2018,7,5,7/5/18,186,RunMS51
21,z0195651,323,2018,7,5,7/5/18,186,RunMS54
22,z0195652,41,2018,7,5,7/5/18,186,GTseq.val
23,z0195652,60,2018,7,5,7/5/18,186,RunMS54
24,z0195653,119,2018,7,5,7/5/18,186,RunMS51
25,z0195653,213,2018,7,5,7/5/18,186,RunMS54
26,z0195655,301,2018,7,5,7/5/18,186,GTseq.val
27,z0195655,170,2018,7,5,7/5/18,186,RunMS54
28,z0195656,73,2018,7,7,7/7/18,188,RunMS51
29,z0195656,47,2018,7,7,7/7/18,188,RunMS54
30,z0195657,272,2018,7,7,7/7/18,188,RunMS51
31,z0195657,291,2018,7,7,7/7/18,188,RunMS54
32,z0195658,72,2018,7,7,7/7/18,188,RunMS54
33,z0195659,284,2018,7,7,7/7/18,188,RunMS51
34,z0195659,289,2018,7,7,7/7/18,188,RunMS54
35,z0195660,65,2018,7,7,7/7/18,188,RunMS54
36,z0195661,90,2018,7,7,7/7/18,188,RunMS54
37,z0195662,17,2018,7,7,7/7/18,188,RunMS51
38,z0195662,50,2018,7,7,7/7/18,188,RunMS54
39,z0195663,304,2018,7,8,7/8/18,189,GTseq.val
40,z0195663,87,2018,7,8,7/8/18,189,RunMS54
41,z0195664,193,2018,7,8,7/8/18,189,RunMS51
42,z0195664,228,2018,7,8,7/8/18,189,RunMS54
43,z0195665,193,2018,7,8,7/8/18,189,RunMS51
44,z0195665,178,2018,7,8,7/8/18,189,RunMS54
45,z0195667,327,2018,7,8,7/8/18,189,RunMS51
46,z0195667,321,2018,7,8,7/8/18,189,RunMS54
47,z0195668,300,2018,7,8,7/8/18,189,RunMS51
48,z0195668,298,2018,7,8,7/8/18,189,RunMS54
49,z0195669,105,2018,7,8,7/8/18,189,RunMS51
50,z0195669,196,2018,7,8,7/8/18,189,RunMS54
51,z0195670,183,2018,7,8,7/8/18,189,RunMS51
52,z0195670,225,2018,7,8,7/8/18,189,RunMS54
53,z0195671,141,2018,7,8,7/8/18,189,RunMS51
54,z0195671,242,2018,7,8,7/8/18,189,RunMS54
55,z0195672,91,2018,7,8,7/8/18,189,RunMS51
56,z0195672,214,2018,7,8,7/8/18,189,RunMS54
57,z0195673,307,2018,7,8,7/8/18,189,RunMS51
58,z0195673,295,2018,7,8,7/8/18,189,RunMS54
59,z0195674,71,2018,7,8,7/8/18,189,RunMS51
60,z0195674,116,2018,7,8,7/8/18,189,RunMS54
61,z0195675,215,2018,7,8,7/8/18,189,RunMS51
62,z0195675,265,2018,7,8,7/8/18,189,RunMS54
63,z0195677,328,2018,7,9,7/9/18,190,RunMS51
64,z0195677,309,2018,7,9,7/9/18,190,RunMS54
65,z0195678,187,2018,7,9,7/9/18,190,RunMS51
66,z0195678,231,2018,7,9,7/9/18,190,RunMS54
67,z0195679,80,2018,7,9,7/9/18,190,RunMS51
68,z0195679,160,2018,7,9,7/9/18,190,RunMS54
69,z0195680,68,2018,7,9,7/9/18,190,RunMS51
70,z0195680,177,2018,7,9,7/9/18,190,RunMS54
