"","locus","genos","num.haps"
"1","Mnov_gtseq_1",384,3
"2","Mnov_gtseq_10",342,3
"3","Mnov_gtseq_102",314,3
"4","Mnov_gtseq_104",360,3
"5","Mnov_gtseq_106",156,3
"6","Mnov_gtseq_107",95,3
"7","Mnov_gtseq_108",56,3
"8","Mnov_gtseq_111",122,3
"9","Mnov_gtseq_112",294,3
"10","Mnov_gtseq_113",305,3
"11","Mnov_gtseq_114",212,5
"12","Mnov_gtseq_117",148,3
"13","Mnov_gtseq_118",249,3
"14","Mnov_gtseq_12",350,3
"15","Mnov_gtseq_124",337,3
"16","Mnov_gtseq_125",356,3
"17","Mnov_gtseq_126",371,3
"18","Mnov_gtseq_127",298,3
"19","Mnov_gtseq_128",109,3
"20","Mnov_gtseq_129",362,3
"21","Mnov_gtseq_13",380,3
"22","Mnov_gtseq_130",226,3
"23","Mnov_gtseq_134",56,3
"24","Mnov_gtseq_135",358,4
"25","Mnov_gtseq_137",20,3
"26","Mnov_gtseq_138",367,3
"27","Mnov_gtseq_140",371,3
"28","Mnov_gtseq_141",362,3
"29","Mnov_gtseq_143",299,3
"30","Mnov_gtseq_145",328,3
"31","Mnov_gtseq_146",15,3
"32","Mnov_gtseq_147",96,3
"33","Mnov_gtseq_148",213,3
"34","Mnov_gtseq_149",315,3
"35","Mnov_gtseq_15",362,3
"36","Mnov_gtseq_152",335,3
"37","Mnov_gtseq_154",299,3
"38","Mnov_gtseq_155",218,3
"39","Mnov_gtseq_157",378,3
"40","Mnov_gtseq_158",392,3
"41","Mnov_gtseq_159",237,3
"42","Mnov_gtseq_16",351,3
"43","Mnov_gtseq_160",274,3
"44","Mnov_gtseq_161",310,3
"45","Mnov_gtseq_162",368,3
"46","Mnov_gtseq_167",351,3
"47","Mnov_gtseq_168",19,3
"48","Mnov_gtseq_17",344,3
"49","Mnov_gtseq_170",370,3
"50","Mnov_gtseq_171",53,3
"51","Mnov_gtseq_173",1,1
"52","Mnov_gtseq_174",295,3
"53","Mnov_gtseq_177",19,3
"54","Mnov_gtseq_178",80,3
"55","Mnov_gtseq_180",276,3
"56","Mnov_gtseq_181",56,3
"57","Mnov_gtseq_182",237,3
"58","Mnov_gtseq_186",41,3
"59","Mnov_gtseq_187",87,3
"60","Mnov_gtseq_188",177,3
"61","Mnov_gtseq_189",271,3
"62","Mnov_gtseq_19",403,3
"63","Mnov_gtseq_190",378,3
"64","Mnov_gtseq_191",203,3
"65","Mnov_gtseq_192",191,3
"66","Mnov_gtseq_193",393,3
"67","Mnov_gtseq_195",389,3
"68","Mnov_gtseq_196",374,3
"69","Mnov_gtseq_197",372,6
"70","Mnov_gtseq_2",368,3
"71","Mnov_gtseq_200",282,3
"72","Mnov_gtseq_201",375,3
"73","Mnov_gtseq_202",341,3
"74","Mnov_gtseq_204",204,3
"75","Mnov_gtseq_205",391,6
"76","Mnov_gtseq_208",338,3
"77","Mnov_gtseq_209",359,3
"78","Mnov_gtseq_21",384,3
"79","Mnov_gtseq_210",139,3
"80","Mnov_gtseq_213",272,3
"81","Mnov_gtseq_214",271,3
"82","Mnov_gtseq_215",374,3
"83","Mnov_gtseq_216",328,3
"84","Mnov_gtseq_218",372,3
"85","Mnov_gtseq_22",320,3
"86","Mnov_gtseq_220",333,3
"87","Mnov_gtseq_222",189,3
"88","Mnov_gtseq_223",279,3
"89","Mnov_gtseq_225",383,3
"90","Mnov_gtseq_227",352,3
"91","Mnov_gtseq_229",304,3
"92","Mnov_gtseq_230",232,3
"93","Mnov_gtseq_231",191,1
"94","Mnov_gtseq_232",376,3
"95","Mnov_gtseq_234",214,3
"96","Mnov_gtseq_235",347,3
"97","Mnov_gtseq_237",369,3
"98","Mnov_gtseq_238",361,3
"99","Mnov_gtseq_239",317,3
"100","Mnov_gtseq_240",352,3
"101","Mnov_gtseq_241",406,3
"102","Mnov_gtseq_243",370,3
"103","Mnov_gtseq_244",354,3
