"","labID","genos","missing"
"1","z0009880",128,240
"2","z0011162",270,98
"3","z0011944",325,43
"4","z0012201",292,76
"5","z0012201b",248,120
"6","z0012701",321,47
"7","z0016579",269,99
"8","z0017317",280,88
"9","z0025405",1,367
"10","z0025439",235,133
"11","z0025439b",300,68
"12","z0029828",72,296
"13","z0029833",244,124
"14","z0029833b",297,71
"15","z0029846",286,82
"16","z0029860",186,182
"17","z0029863",193,175
"18","z0029864",287,81
"19","z0030424",272,96
"20","z0030424b",3,365
"21","z0030475",274,94
"22","z0032258",286,82
"23","z0037610",1,367
"24","z0037624",248,120
"25","z0040275",303,65
"26","z0040287",257,111
"27","z0040308",207,161
"28","z0040337",321,47
"29","z0040357",237,131
"30","z0040387",180,188
"31","z0040403",294,74
"32","z0040403b",230,138
"33","z0040413",227,141
"34","z0040451",1,367
"35","z0040465",254,114
"36","z0040513",1,367
"37","z0040957",87,281
"38","z0040960",1,367
"39","z0041072",8,360
"40","z0041145",10,358
"41","z0041145b",1,367
"42","z0041153",275,93
"43","z0041233",195,173
"44","z0041243",211,157
"45","z0041248",1,367
"46","z0041250",149,219
"47","z0041250b",193,175
"48","z0041274",159,209
"49","z0041274b",5,363
"50","z0041465",266,102
"51","z0041472",35,333
"52","z0041480",162,206
"53","z0041483",271,97
"54","z0041494",280,88
"55","z0041494b",262,106
"56","z0041498",276,92
"57","z0041501",215,153
"58","z0041507",178,190
"59","z0041512",289,79
"60","z0041519",271,97
"61","z0041521",108,260
"62","z0041527",239,129
"63","z0042288",240,128
"64","z0043243",1,367
"65","z0043464",1,367
"66","z0043477",277,91
"67","z0043477b",259,109
"68","z0043478",151,217
"69","z0043481",278,90
"70","z0043487",3,365
"71","z0043488",1,367
"72","z0043489",1,367
"73","z0043491",267,101
"74","z0043491b",284,84
"75","z0043493",1,367
"76","z0043504",301,67
"77","z0043504b",303,65
"78","z0043526",263,105
"79","z0043566",207,161
"80","z0043572",278,90
"81","z0043599",1,367
"82","z0043642b",253,115
"83","z0043649",275,93
"84","z0043668",169,199
"85","z0043686",23,345
"86","z0043686b",1,367
"87","z0043693",270,98
"88","z0043704",20,348
"89","z0043819",181,187
"90","z0043839",2,366
"91","z0043876",312,56
"92","z0043891",257,111
"93","z0043940",37,331
"94","z0043940b",284,84
"95","z0043980b",5,363
"96","z0044017",168,200
"97","z0044019",1,367
"98","z0044023",234,134
"99","z0044033",5,363
"100","z0044042",1,367
"101","z0044042b",134,234
"102","z0044064",283,85
"103","z0045326",266,102
"104","z0045329",19,349
"105","z0045332",288,80
"106","z0045332b",287,81
"107","z0045333",305,63
"108","z0045337",184,184
"109","z0045347",144,224
"110","z0045352",221,147
"111","z0045357",249,119
"112","z0045358",276,92
"113","z0045371",245,123
"114","z0045398",1,367
"115","z0045404",1,367
"116","z0045719",226,142
"117","z0045719b",1,367
"118","z0045720",196,172
"119","z0045728",279,89
"120","z0045731",298,70
"121","z0045731b",76,292
"122","z0045733",194,174
"123","z0045736",1,367
"124","z0045740",192,176
"125","z0045741",5,363
"126","z0045776",198,170
"127","z0045779",291,77
"128","z0045781",110,258
"129","z0045788",317,51
"130","z0045788b",256,112
"131","z0045789",326,42
"132","z0045791",319,49
"133","z0045792",269,99
"134","z0045793",244,124
"135","z0047603",1,367
"136","z0049019",96,272
"137","z0049020",268,100
"138","z0051185",322,46
"139","z0051185b",267,101
"140","z0051324",314,54
"141","z0051380",1,367
"142","z0051380b",248,120
"143","z0051400",208,160
"144","z0051400b",311,57
"145","z0051402",277,91
"146","z0051405",2,366
"147","z0051816",62,306
"148","z0051844",263,105
"149","z0051891",288,80
"150","z0051893",1,367
"151","z0051898",320,48
"152","z0051899",1,367
"153","z0051939",304,64
"154","z0051947",9,359
"155","z0051959",1,367
"156","z0052846",1,367
"157","z0052846b",3,365
"158","z0053055",51,317
"159","z0053073",255,113
"160","z0053078",264,104
"161","z0053078b",10,358
"162","z0053103",142,226
"163","z0053758",244,124
"164","z0053759",1,367
"165","z0053759b",310,58
"166","z0053842",250,118
"167","z0053843",1,367
"168","z0053844",244,124
"169","z0053849",300,68
"170","z0055903",4,364
"171","z0055908",21,347
"172","z0055909",192,176
"173","z0055910",245,123
"174","z0055912",252,116
"175","z0055912b",156,212
"176","z0055916",4,364
"177","z0055932",16,352
"178","z0055936",126,242
"179","z0055944",29,339
"180","z0055947",309,59
"181","z0055947b",2,366
"182","z0055948",135,233
"183","z0055957",155,213
"184","z0055962",311,57
"185","z0055963",286,82
"186","z0055965",259,109
"187","z0055965b",108,260
"188","z0055970",303,65
"189","z0055977",296,72
"190","z0055986",290,78
"191","z0055990",319,49
"192","z0055999",10,358
"193","z0056010",1,367
"194","z0056011",314,54
"195","z0056029",323,45
"196","z0056056",208,160
"197","z0056058",319,49
"198","z0056059",293,75
"199","z0056062",304,64
"200","z0056063",321,47
"201","z0056064",227,141
"202","z0056065",226,142
"203","z0056069",169,199
"204","z0056073",231,137
"205","z0056073b",1,367
"206","z0056076",321,47
"207","z0056079",308,60
"208","z0056079b",5,363
"209","z0056081",2,366
"210","z0056082",72,296
"211","z0056083",1,367
"212","z0056085",298,70
"213","z0056089",9,359
"214","z0056090",1,367
"215","z0056092",3,365
"216","z0056093",1,367
"217","z0056095",1,367
"218","z0056095b",272,96
"219","z0056102",1,367
"220","z0056103",315,53
"221","z0056106b",1,367
"222","z0056111",1,367
"223","z0056337",202,166
"224","z0056375",325,43
"225","z0056377",314,54
"226","z0056378",314,54
"227","z0056380",1,367
"228","z0056382",324,44
"229","z0056384",1,367
"230","z0056386",243,125
"231","z0056394",274,94
"232","z0056395",323,45
"233","z0056399",320,48
"234","z0061967",310,58
"235","z0061969",232,136
"236","z0061980",326,42
"237","z0061980b",250,118
"238","z0062886",267,101
"239","z0062886b",279,89
"240","z0063092",326,42
"241","z0063304",1,367
"242","z0066166",329,39
"243","z0067213",302,66
"244","z0068471",61,307
"245","z0068471b",323,45
"246","z0100814",184,184
"247","z0101084",317,51
"248","z0107073",319,49
"249","z0107080",47,321
"250","z0107080b",291,77
"251","z0107099",329,39
"252","z0107101",330,38
"253","z0108480",234,134
"254","z0108489",323,45
"255","z0108494",1,367
"256","z0108508",1,367
"257","z0108510",27,341
"258","z0108513",207,161
"259","z0108513b",219,149
"260","z0108516",1,367
"261","z0145401",215,153
"262","z0160234",1,367
"263","z0173485",309,59
"264","z0173485b",237,131
"265","z0175377",1,367
"266","z0175378",193,175
"267","z0175927",1,367
"268","z0175928",1,367
"269","z0175950",210,158
"270","z0178294",1,367
"271","z0178296",318,50
"272","z0178296b",304,64
"273","z0187811b",1,367
"274","z0187819",314,54
"275","z0187842",319,49
"276","z0187846",325,43
"277","z0187860",92,276
"278","z0187868",56,312
"279","z0187885",319,49
"280","z0195642",2,366
"281","z0195644",110,258
"282","z0195648",78,290
"283","z0195650",69,299
"284","z0195653",1,367
"285","z0195656",1,367
"286","z0195662",39,329
"287","z0195665",93,275
"288","z0195667",1,367
"289","z0195670",1,367
"290","z0195671",3,365
"291","z0195672",1,367
"292","z0195674",104,264
"293","z0195679",1,367
"294","z0195680",1,367
"295","z0195681",8,360
"296","z0195682",60,308
"297","z0195684",1,367
"298","z0195687",276,92
"299","z0195689",2,366
"300","z0195690",1,367
"301","z0195693",189,179
"302","z0195694",1,367
"303","z0195695",57,311
"304","z0195696",265,103
"305","z0195696b",322,46
"306","z0195697",268,100
"307","z0195700",287,81
"308","z0195702",216,152
"309","z0195703",242,126
"310","z0195703b",279,89
"311","z0195705",45,323
"312","z0195707",311,57
"313","z0195708",286,82
"314","z0195708b",265,103
"315","z0195709",242,126
"316","z0195710",262,106
"317","z0195711",294,74
"318","z0195712",180,188
"319","z0195713",68,300
"320","z0195714",271,97
"321","z0195715",283,85
"322","z0195716",296,72
"323","z0195717",240,128
"324","z0195718",3,365
"325","z0195720",270,98
"326","z0195720b",251,117
"327","z0195721",1,367
"328","z0195722",297,71
"329","z0195724",266,102
"330","z0195724b",277,91
"331","z0195725",262,106
"332","z0195727",251,117
"333","z0195728",245,123
"334","z0195729",253,115
"335","z0195730",237,131
"336","z0195731",196,172
"337","z0195732",258,110
"338","z0195733",291,77
"339","z0195735",262,106
"340","z0195735b",267,101
"341","z0195736",234,134
"342","z0195737",243,125
"343","z0195738",279,89
"344","z0195739",249,119
"345","z0195740",44,324
"346","z0195741",1,367
"347","z0195742",186,182
"348","z0195743",148,220
"349","z0195748",223,145
"350","z0195749",26,342
"351","z0195751",103,265
"352","z0195754",1,367
"353","z0195755",248,120
"354","z0195756",101,267
"355","z0195757",1,367
"356","z0195757b",1,367
"357","z0195759",1,367
"358","z0195763",1,367
"359","z0195764",13,355
"360","z0195766",1,367
"361","z0195769",1,367
"362","z0195770",110,258
"363","z0195770b",18,350
"364","z0195771",4,364
"365","z0195773",253,115
"366","z0195777",87,281
"367","z0195778",200,168
"368","z0195782",233,135
"369","z0195783",1,367
"370","z0195786",15,353
"371","z0195791",269,99
"372","z0196686",321,47
"373","z0196687",218,150
"374","z0196689",281,87
"375","z0196690",301,67
"376","z0196691",163,205
"377","z0196692",320,48
"378","z0196693",261,107
"379","z0196694",270,98
"380","z0196707",45,323
"381","z0196708",136,232
"382","z0196709",211,157
"383","z0196709b",154,214
"384","z0196710",308,60
"385","z0196711",287,81
"386","z0196711b",312,56
"387","z0196713",271,97
"388","z0196714",262,106
"389","z0196715",212,156
"390","z0196718",234,134
"391","z0196722",273,95
"392","z0196723",226,142
"393","z0196724",238,130
"394","z0196725",209,159
"395","z0196726",224,144
"396","z0196727",217,151
"397","z0196727b",283,85
"398","z0196728",269,99
"399","z0196731",169,199
"400","z0196732",281,87
"401","z0196736",250,118
"402","z0196736b",41,327
"403","z0196737",220,148
"404","z0196738",252,116
"405","z0196739",287,81
"406","z0196741",100,268
"407","z0196742",233,135
"408","z0196743",288,80
"409","z0196744",282,86
"410","z0196747",213,155
"411","z0196748",278,90
"412","z0196748b",196,172
"413","z0196749",252,116
"414","z0196750",135,233
"415","z0196751",203,165
"416","z0196752",102,266
"417","z0196753",221,147
"418","z0196753b",283,85
"419","z0196754",248,120
"420","z0196755",246,122
"421","z0196756",237,131
"422","z0196757",262,106
"423","z0196758",216,152
"424","z0196759",284,84
"425","z0196760",268,100
"426","z0196761",228,140
"427","z0196762",216,152
"428","z0196765",305,63
"429","z0196766",253,115
"430","z0196767",194,174
"431","z0196768",257,111
"432","z0196769",154,214
"433","z0196770",202,166
"434","z0196770b",44,324
"435","z0196772",265,103
"436","z0196773",218,150
"437","z0196775",163,205
"438","z0196777",208,160
"439","z0196778",133,235
"440","z0196781",149,219
"441","z0196792",256,112
"442","z0196792b",288,80
"443","z0196793",300,68
"444","z0196795",269,99
"445","z0196800",271,97
"446","z0196805",185,183
"447","z0196806",191,177
"448","z0196809",204,164
"449","z0196809b",164,204
"450","z0196811",252,116
"451","z0196812",270,98
"452","z0196822",129,239
"453","z0196823",215,153
"454","z0196824",221,147
"455","z0196825",239,129
"456","z0196825b",318,50
"457","z0196826",238,130
"458","z0196829",247,121
"459","z0196830",280,88
"460","z0196831",289,79
"461","z0196832",71,297
"462","z0196833",224,144
"463","z0196835",218,150
"464","z0196839",237,131
"465","z0196840",29,339
"466","z0196841",284,84
"467","z0196842",258,110
"468","z0196844",273,95
"469","z0196845",260,108
"470","z0196845b",254,114
"471","z0196846",218,150
"472","z0196847",258,110
"473","z0196848",224,144
"474","z0196850",278,90
"475","z0196851",249,119
"476","z0196854",234,134
"477","z0196858",299,69
"478","z0196859",110,258
"479","z0196860",119,249
"480","z0196860b",287,81
"481","z0196861",273,95
"482","z0196862",208,160
"483","z0196863",155,213
"484","z0196864",169,199
"485","z0196865",229,139
"486","z0196886",245,123
"487","z0196889",15,353
"488","z0196890",1,367
"489","z0196890b",2,366
"490","z0196891",230,138
"491","z0196892",285,83
"492","z0196894",248,120
"493","z0196894b",269,99
"494","z0196895",281,87
"495","z0197658",3,365
"496","z0197659",7,361
"497","z0197663",309,59
"498","z0197664",248,120
"499","z0197667",303,65
"500","z0197667b",308,60
"501","z0197668",19,349
"502","z0197669",311,57
"503","z0197671",1,367
