AnimalID,LABID.x,Duplicate1,Duplicate2,Duplicate3,Herd,all.2021.data.herds,SEX,HAP,mito.haps,USE,GTseq.stratum,Optimization.sample,Main.run,Latitude,Longitude,YR,SOURCE,Contact,Notes,Permission.requested,Permission.received,Photo.Need.permission,Photo.Have.permission,LABID.y,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin,Include on 3rd MiSeq run
29867,29867,NA,NA,NA,CentAm,CentAm,M,F2,MnMito29,mito,CentAm,NA,x,32.666666,-119.166666,2002,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0029867,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,No
61973,61973,NA,NA,NA,MixCM,CentAm,M,E10,MnMito15,mito,CentAm,NA,x,40.95,-124.366666,2006,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0061973,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,No
101085,101085,NA,NA,NA,CentAm,CentAm,F,F2,MnMito29,mito,CentAm,NA,x,35.266666,-120.95,2010,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0101085,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,No
107052,178305,107052,NA,NA,CentAm,CentAm,M,F2,MnMito39N,mito,CentAm,NA,x,34.282333,-119.837833,2016,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0178305,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,No
43267,43267,NA,NA,NA,NA,HI-GOA,F,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,59.65,-149.716666,2004,BIOPSY-AK-NGOS,Craig Matkin,Added 1.10.22,3-Nov-21,NA,NA,SPLASH match,z0043267,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
43684,43684,NA,NA,NA,NA,HI-GOA,M,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,56.583333,-152.366666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043684,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
43905,43905,NA,NA,NA,NA,HI-GOA,F,Aplus,NA,HI.nonSEAK,HI-GOA,NA,x,54.233333,-163.4,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043905,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
47602,47602,NA,NA,NA,NA,HI-NGOA,F,Aplus,NA,NA,HI-NGOA,NA,x,57.183333,-153.116666,2004,BIOPSY-SPLASH-UAF,NA,bonus,NA,NA,NA,SPLASH match,z0047602,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
47613,47613,NA,NA,NA,NA,HI-NGOA,F,Aminus,NA,NA,HI-NGOA,NA,x,56.933333,-153.15,2004,BIOPSY-SPLASH-UAF,NA,bonus,NA,NA,NA,SPLASH match,z0047613,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
40377,40377,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,20.816666,-156.683333,2004,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040377,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
41174,41174,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,19.95,-155.916666,2004,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0041174,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
41514,41514,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,58.183333,-135.05,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,PWF,z0041514,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
43468,43468,NA,NA,NA,NA,HI-SEAK/NBC,M,Aplus,NA,NA,HI-SEAK/NBC,NA,x,56.45,-134.616666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,"Meagan Jons, HIHWNMS",NA,z0043468,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
53038,53038,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,54.266666,-133.066666,2004,BIOPSY-CANADA-SPLASH,NA,NA,NA,NA,NA,"PWF, Chris Gabriele",z0053038,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
75691,75691,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,58.45,-136,2008,SLOUGHED-AK-GBNP,Chris Gabriele,NA,NA,"Yes, collaborator",NA,Chris Gabriele,z0075691,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
113607,113607,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,58.49506,-136.00375,2011,BIOPSY-AK-GBNP,NA,NA,NA,"Yes, collaborator",NA,PWF,z0113607,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
146081,146081,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,58.383722,-136.011185,2014,SLOUGHED-AK-GBNP,Chris Gabriele,NA,NA,"Yes, collaborator",NA,robert raimo-PUBLIC,z0146081,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
207765,207765,207767,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,NA,NA,NA,NA,Jan/Chris,NA,NA,"Yes, collaborator",Meagan Jones,NA,z0207765,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
61982,61982,NA,NA,NA,NA,HI-WA/SBC,M,Aminus,NA,NA,HI-WA/SBC,NA,x,47.366666,-124.716666,2006,SLOUGHED-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator","Meagan Jones, Paul Schofield",NA,z0061982,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
195649,195649,NA,NA,NA,NA,HI-WA/SBC,F,Aplus,NA,CCES,HI-WA/SBC,x,x,48.4726,-124.913,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,PWF,z0195649,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
207777,207777,Was BCHB12-38/HW-12-JT-29,NA,NA,NA,HI-WA/SBC,M,Aplus,NA,NA,HI-WA/SBC,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,PWF,z0207777,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
207778,207778,Was HW20210902-LS-04,NA,NA,NA,HI-WA/SBC,F,Aminus,NA,NA,HI-WA/SBC,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,Craig Hayslip,NA,z0207778,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
56100,56100,NA,NA,NA,NA,MnMx-Baker,F,E5,NA,NA,MnMx-Baker,NA,x,20.716666,-105.416666,2004,BIOPSY-MEXICO-SPLASH,NA,bonus,NA,NA,NA,NA - no herd assigned,z0056100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
51381,51381,NA,NA,NA,MMex,MnMx-CA/OR/WA/SBC,F,F2,MnMito32,mito,MnMx-CA/OR/WA/SBC,NA,x,34.166666,-120.85,2005,BIOPSY-SWFSC-CSCAPE,Karin,NA,2-Nov-21,2-Nov-21,NA,Cascadia match pre-HW,z0051381,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
51428,51428,NA,NA,NA,MixMB,MnMx-CA/OR/WA/SBC,F,F2,MnMito33,mito,MnMx-CA/OR/WA/SBC,NA,x,35.75,-121.666666,2005,BIOPSY-SWFSC-CSCAPE,Karin,NA,2-Nov-21,2-Nov-21,NA,Cascadia match pre-HW,z0051428,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
56070,56070,NA,NA,NA,MixMB,MnMx-CA/OR/WA/SBC,M,E1,MnMito08,mito,MnMx-CA/OR/WA/SBC,NA,x,20.683333,-105.383333,2004,BIOPSY-MEXICO-SPLASH,Jorge,NA,3-Nov-21,3-Nov-21,NA,Cascadia match pre-HW,z0056070,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
68566,68566,NA,NA,NA,MMex,MnMx-CA/OR/WA/SBC,M,F7,MnMito44,mito,MnMx-CA/OR/WA/SBC,NA,x,NA,NA,2006,BIOPSY-MEXICO-SPLASH,Jorge,NA,3-Nov-21,3-Nov-21,NA,Cascadia match pre-HW,z0068566,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
175354,175354,NA,NA,NA,NA,MnMx-CA/OR/WA/SBC,M,E1,NA,NA,MnMx-CA/OR/WA/SBC,NA,x,34.2457,-119.7466,2015,TAGGING-CASCADIA,NA,"1.20.22, seems BLH got DNA out of it? Confirming; Removed 1.12.22, blubber only; Added 1.10.22",NA,NA,NA,FIBB,z0175354,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
