,AnimalID,LABID.x,Duplicate1,Duplicate2,Duplicate3,Herd,all.2021.data.herds,SEX,HAP,mito.haps,USE,GTseq.stratum,Optimization.sample,Main.run,Latitude,Longitude,YR,SOURCE,Contact,Notes,Permission.requested,Permission.received,Photo.Need.permission,Photo.Have.permission,LABID,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin,Status,Concentration,Dried.down
178,5757,5757,NA,NA,NA,MMex,MnMx-CA/OR/WA/SBC,F,F2,MnMito32,mito,MnMx-CA/OR/WA/SBC,NA,x,37.583333,-123.016666,1996,BIOPSY-SWFSC-ORCAWA,Jay,NA,2-Nov-21,3-Nov-21,NA,Cascadia match pre-HW,z0005757,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,185,135,In.Progress,493.11,NA
216,5758,5758,NA,NA,NA,MMex,MnMx-CA/OR/WA/SBC,M,E1_E11,MnMito13N,mito,MnMx-CA/OR/WA/SBC,NA,x,37.583333,-123.016666,1996,BIOPSY-SWFSC-ORCAWA,Jay,NA,2-Nov-21,3-Nov-21,NA,Cascadia match pre-HW,z0005758,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,236,186,In.Progress,14.88,NA
603,11944,11944,NA,NA,NA,CentAm,CentAm,F,H35,MnMito45N,mito,CentAm,NA,x,9.083333,-84.983333,1998,BIOPSY-SWFSC-SPAM,Tim,NA,Not required per Kelly,NA,NA,NA - collected in CentAm,z0011944,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,332,328,Complete,1024.54,NA
629,12701,12701,NA,NA,NA,NA,SMX,F,E10,NA,NA,SMX,NA,x,48.433333,-125.5,1998,BIOPSY-CASCADIA,NA,bonus,NA,NA,NA,"FIBB, Katherina",z0012701,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,333,328,Complete,NA,NA
346,12702,12702,NA,NA,NA,RevMex,Rev,M,Aminus,MnMito02,mito,Rev,x,x,48.433333,-125.5,1998,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0012702,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,310,294,Complete,86.82,NA
249,16577,16577,195654,NA,NA,MMex,MnMx-CA/OR/WA/SBC,F,Aplus,MnMito03,mito,MnMx-CA/OR/WA/SBC,NA,x,NA,NA,2000,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0016577,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,262,223,In.Progress,52.48,NA
286,16578,16578,NA,NA,NA,MixCMB,CentAm,M,E4,MnMito22,mito,CentAm,NA,x,NA,NA,2000,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0016578,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,286,259,Complete,52.81,NA
488,16579,16579,NA,NA,NA,MMex,MnMx-CA/OR/WA/SBC,M,Aplus,MnMito03,mito,MnMx-CA/OR/WA/SBC,NA,x,NA,NA,2000,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0016579,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,327,324,Complete,24.26,NA
630,18264,18264,NA,NA,NA,CentAm,CentAm,M,H36,MnMito46,mito,CentAm,x,x,7.85,-82.5,2000,BIOPSY-SWFSC-STAR00,Lisa,NA,Not required per Kelly,NA,NA,NA - collected in CentAm,z0018264,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,334,332,Complete,88.97,NA
90,25405,25405,NA,NA,NA,NA,SMX,F,Aplus,NA,NA,SMX,NA,x,47.433333,-126.016666,2001,BIOPSY-SWFSC-ORCAWA,NA,bonus,NA,NA,NA,FIBB,z0025405,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,5,1,Abandoned,NA,NA
200,29828,29828,NA,NA,NA,NA,MnMx-CA/OR/WA/SBC,F,E1,NA,NA,MnMx-CA/OR/WA/SBC,NA,x,44.25,-124.533333,2002,BIOPSY-CASCADIA,NA,Added Nov 29,NA,NA,NA,Nico,z0029828,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,212,126,In.Progress,13.5485,NA
316,29829,29829,NA,NA,NA,CentAm,CentAm,F,E1,MnMito08,mito,CentAm,NA,x,44.25,-124.55,2002,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0029829,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,300,281,Complete,24.05,NA
142,29831,29831,NA,NA,NA,MixSM,SMX,M,Aplus,MnMito03,mito,SMX,NA,x,44.25,-124.55,2002,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,"Nico, FIBB",z0029831,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,98,7,In.Progress,16.66,NA
637,29833,29833,NA,NA,NA,MixSM,SMX,M,E1,MnMito14,mito,SMX,NA,x,44.433333,-124.8,2002,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,"Nico, FIBB",z0029833,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,334,332,Complete,10.19,NA
332,29846,29846,NA,NA,NA,NA,CentAm,M,E5,NA,NA,CentAm,NA,x,38.25,-123.366666,2002,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Nico,z0029846,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,307,281,Complete,27.0497,NA
207,29860,29860,NA,NA,NA,MMex,MnMx-CA/OR/WA/SBC,M,Aplus,MnMito06,mito,MnMx-CA/OR/WA/SBC,NA,x,41.95,-124.5,2002,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0029860,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,223,172,In.Progress,39.72,NA
108,29861,29861,NA,NA,NA,MixMB,MnMx-CA/OR/WA/SBC,M,E6,MnMito25,mito,MnMx-CA/OR/WA/SBC,NA,x,34.883333,-120.75,2002,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0029861,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,21,5,Abandoned,30.38,NA
233,29863,29863,51894,NA,NA,CentAm,CentAm,M,F2,MnMito29,mito,CentAm,NA,x,34.116666,-120.2,2002,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0029863,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,252,206,In.Progress,31.86,NA
400,29864,29864,NA,NA,NA,NA,CentAm,M,F2,NA,NA,CentAm,NA,x,34.15,-119.766666,2002,BIOPSY-CASCADIA,John,NA,NA,"Yes, collaborator",NA,[no name] Displayed with permission from [**SPLASH project**],z0029864,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,322,301,Complete,31.9703,NA
331,29865,29865,NA,NA,NA,MixMB,MnMx-CA/OR/WA/SBC,M,E7,MnMito26,mito,MnMx-CA/OR/WA/SBC,NA,x,34.15,-120.266666,2002,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0029865,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,306,281,Complete,19.89,NA
89,29866,29866,118450,NA,NA,MixMB,MnMx-CA/OR/WA/SBC,M,F2,MnMito29,mito,MnMx-CA/OR/WA/SBC,NA,x,34.116666,-120.083333,2002,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0029866,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,5,1,Abandoned,12.61,NA
1,29867,29867,NA,NA,NA,CentAm,CentAm,M,F2,MnMito29,mito,CentAm,NA,x,32.666666,-119.166666,2002,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0029867,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,Abandoned,16.64,NA
461,37607,37607,NA,NA,NA,MMex,MnMx-CA/OR/WA/SBC,M,E2,MnMito20N,mito,MnMx-CA/OR/WA/SBC,NA,x,39.966666,-123.9,2003,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0037607,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,326,321,Complete,94.46,NA
284,37609,37609,NA,NA,NA,MMex,MnMx-CA/OR/WA/SBC,M,E5,MnMito23,mito,MnMx-CA/OR/WA/SBC,NA,x,37.166666,-122.583333,2003,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0037609,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,284,243,Complete,10.36,NA
109,37610,37610,NA,NA,NA,MixMB,MnMx-CA/OR/WA/SBC,M,E4,MnMito22,mito,MnMx-CA/OR/WA/SBC,NA,x,37,-122.416666,2003,TAGGING-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0037610,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,21,1,Abandoned,16.52,NA
161,37611,37611,NA,NA,NA,CentAm,CentAm,F,F2,MnMito29,mito,CentAm,NA,x,37,-122.4,2003,TAGGING-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0037611,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,139,38,In.Progress,14.45,NA
300,37624,37624,NA,NA,NA,MixCM,CentAm,M,E5,MnMito24,mito,CentAm,NA,x,36.616666,-122.033333,2003,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0037624,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,294,259,Complete,33.38,NA
363,40275,40275,NA,NA,NA,NA,HI-GOA,F,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,20.85,-156.716666,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,SPLASH match,z0040275,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,316,297,Complete,26.2548,NA
456,40287,40287,NA,NA,NA,NA,HI-GOA,M,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,20.833333,-156.666666,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,SPLASH match,z0040287,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,326,316,Complete,21.0365,NA
195,40308,40308,NA,NA,NA,NA,HI-SEAK/NBC,F,Aplus,NA,NA,HI-SEAK/NBC,NA,x,20.916666,-156.733333,2004,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040308,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,208,153,In.Progress,NA,NA
607,40333,40333,44002,NA,NA,NA,HI-SEAK,F,Aminus,NA,NA,HI-SEAK,x,x,20.816666,-156.716666,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040333,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,332,327,Complete,23.29,NA
479,40334,40334,NA,NA,NA,NA,HI,M,Aplus,NA,ddRAD.HI,HI,x,x,20.783333,-156.733333,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,NA - not assigned to herd,z0040334,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,327,322,Complete,25.21,NA
624,40345,40345,NA,NA,NA,NA,HI,M,Aplus,NA,ddRAD.HI,HI,x,x,20.8,-156.716666,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,NA - not assigned to herd,z0040345,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,333,326,Complete,31.03,NA
