"","locus","genos","num.haps"
"1","Mnov_gtseq_1",18,3
"2","Mnov_gtseq_10",17,2
"3","Mnov_gtseq_102",17,3
"4","Mnov_gtseq_104",19,2
"5","Mnov_gtseq_106",9,3
"6","Mnov_gtseq_107",4,1
"7","Mnov_gtseq_108",0,0
"8","Mnov_gtseq_111",1,1
"9","Mnov_gtseq_112",16,3
"10","Mnov_gtseq_113",14,3
"11","Mnov_gtseq_114",12,3
"12","Mnov_gtseq_117",5,2
"13","Mnov_gtseq_118",8,2
"14","Mnov_gtseq_12",17,3
"15","Mnov_gtseq_124",3,2
"16","Mnov_gtseq_125",13,2
"17","Mnov_gtseq_126",18,3
"18","Mnov_gtseq_127",13,3
"19","Mnov_gtseq_128",4,2
"20","Mnov_gtseq_129",11,3
"21","Mnov_gtseq_13",19,3
"22","Mnov_gtseq_130",1,1
"23","Mnov_gtseq_134",0,0
"24","Mnov_gtseq_138",18,3
"25","Mnov_gtseq_140",19,3
"26","Mnov_gtseq_141",17,3
"27","Mnov_gtseq_143",14,3
"28","Mnov_gtseq_145",18,3
"29","Mnov_gtseq_146",0,0
"30","Mnov_gtseq_147",4,2
"31","Mnov_gtseq_148",6,2
"32","Mnov_gtseq_149",16,3
"33","Mnov_gtseq_15",17,3
"34","Mnov_gtseq_152",14,3
"35","Mnov_gtseq_154",14,3
"36","Mnov_gtseq_155",12,2
"37","Mnov_gtseq_157",19,3
"38","Mnov_gtseq_158",17,3
"39","Mnov_gtseq_159",2,2
"40","Mnov_gtseq_16",18,3
"41","Mnov_gtseq_160",19,3
"42","Mnov_gtseq_161",14,3
"43","Mnov_gtseq_162",15,3
"44","Mnov_gtseq_167",17,3
"45","Mnov_gtseq_168",1,1
"46","Mnov_gtseq_17",16,3
"47","Mnov_gtseq_170",18,3
"48","Mnov_gtseq_171",4,2
"49","Mnov_gtseq_173",8,3
"50","Mnov_gtseq_174",12,3
"51","Mnov_gtseq_177",0,0
"52","Mnov_gtseq_178",1,1
"53","Mnov_gtseq_180",5,3
"54","Mnov_gtseq_181",0,0
"55","Mnov_gtseq_182",13,3
"56","Mnov_gtseq_186",15,3
"57","Mnov_gtseq_187",17,3
