"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"1","Mnov_gtseq_1",191,3,2,1,1,1,1
"2","Mnov_gtseq_10",183,3,2,1,1,1,1
"3","Mnov_gtseq_102",185,3,2,1,1,1,1
"4","Mnov_gtseq_104",189,3,2,1,1,1,1
"5","Mnov_gtseq_106",143,3,2,2,1,1,1
"6","Mnov_gtseq_107",94,3,2,1,1,1,1
"7","Mnov_gtseq_112",188,3,2,1,1,1,1
"8","Mnov_gtseq_113",161,3,2,1,1,1,1
"9","Mnov_gtseq_114",167,5,2,2,1,1,1
"10","Mnov_gtseq_117",99,3,2,1,1,1,1
"11","Mnov_gtseq_118",167,3,2,1,1,1,1
"12","Mnov_gtseq_12",186,3,2,1,1,1,1
"13","Mnov_gtseq_124",176,5,2,2,2,1,1
"14","Mnov_gtseq_125",187,6,2,2,1,1,1
"15","Mnov_gtseq_126",191,3,2,1,1,1,1
"16","Mnov_gtseq_127",144,3,2,1,1,1,1
"17","Mnov_gtseq_128",102,3,2,1,1,1,1
"18","Mnov_gtseq_129",174,6,2,2,1,1,1
"19","Mnov_gtseq_13",191,6,2,2,1,1,1
"20","Mnov_gtseq_130",111,3,2,1,1,1,1
"21","Mnov_gtseq_135",187,3,2,2,1,1,1
"22","Mnov_gtseq_138",189,6,2,2,1,1,1
"23","Mnov_gtseq_140",190,3,2,1,1,1,1
"24","Mnov_gtseq_141",189,3,2,1,1,1,1
"25","Mnov_gtseq_143",181,3,2,1,1,1,1
"26","Mnov_gtseq_145",187,3,2,1,1,1,1
"27","Mnov_gtseq_147",124,6,2,2,1,1,1
"28","Mnov_gtseq_148",168,6,2,2,2,1,1
"29","Mnov_gtseq_149",184,3,2,1,1,1,1
"30","Mnov_gtseq_15",191,3,2,1,1,1,1
"31","Mnov_gtseq_152",185,3,2,1,1,1,1
"32","Mnov_gtseq_154",180,6,2,2,1,1,1
"33","Mnov_gtseq_157",190,3,2,1,1,1,1
"34","Mnov_gtseq_158",190,3,2,1,1,1,1
"35","Mnov_gtseq_159",93,6,2,2,1,1,1
"36","Mnov_gtseq_16",191,3,2,1,1,1,1
"37","Mnov_gtseq_160",187,3,2,1,1,1,1
"38","Mnov_gtseq_161",164,3,2,1,1,1,1
"39","Mnov_gtseq_162",181,6,2,2,1,1,1
"40","Mnov_gtseq_167",186,5,2,2,1,1,1
"41","Mnov_gtseq_17",188,3,2,1,1,1,1
"42","Mnov_gtseq_170",190,3,2,1,1,1,1
"43","Mnov_gtseq_171",95,6,2,2,1,1,1
"44","Mnov_gtseq_173",176,7,2,2,2,1,1
"45","Mnov_gtseq_174",163,3,2,1,1,1,1
"46","Mnov_gtseq_180",135,6,2,2,1,1,1
"47","Mnov_gtseq_181",73,5,2,2,1,1,1
"48","Mnov_gtseq_182",153,3,2,1,1,1,1
"49","Mnov_gtseq_186",154,6,2,2,1,1,1
"50","Mnov_gtseq_187",183,3,2,1,1,1,1
"51","Mnov_gtseq_188",162,3,2,1,1,1,1
