"","labID","genos","missing"
"1","z0005757",299,69
"2","z0005758",330,38
"3","z0016577",316,52
"4","z0029828",316,52
"5","z0029831",329,39
"6","z0029860",321,47
"7","z0029863",312,56
"8","z0040308",319,49
"9","z0040387",318,50
"10","z0041243",319,49
"11","z0041248",297,71
"12","z0041250",316,52
"13","z0041274",315,53
"14","z0041519",320,48
"15","z0041526",323,45
"16","z0043243",318,50
"17","z0043278",315,53
"18","z0043489",289,79
"19","z0043494",311,57
"20","z0043496",325,43
"21","z0043498",317,51
"22","z0043566",309,59
"23","z0043599",304,64
"24","z0043650",329,39
"25","z0043668",322,46
"26","z0043674",327,41
"27","z0043686",323,45
"28","z0043693",324,44
"29","z0043704",274,94
"30","z0043819",320,48
"31","z0043994",327,41
"32","z0044033",322,46
"33","z0044432",199,169
"34","z0045347",322,46
"35","z0045398",324,44
"36","z0045407",320,48
"37","z0046925",174,194
"38","z0051326",325,43
"39","z0051328",319,49
"40","z0051380",323,45
"41","z0051405",328,40
"42","z0051875",142,226
"43","z0051895",326,42
"44","z0051918",325,43
"45","z0051929",324,44
"46","z0051959",319,49
"47","z0053025",310,58
"48","z0053055",326,42
"49","z0053082",320,48
"50","z0053096",333,35
"51","z0053101",326,42
"52","z0053133",326,42
"53","z0053138",328,40
"54","z0053149",325,43
"55","z0053756",319,49
"56","z0053760",325,43
"57","z0053842",317,51
"58","z0053845",34,334
"59","z0053846",316,52
"60","z0056034",322,46
"61","z0056064",328,40
"62","z0056065",327,41
"63","z0056069",329,39
"64","z0056073",330,38
"65","z0056374",298,70
"66","z0056389",319,49
"67","z0061527",317,51
"68","z0061969",325,43
"69","z0061982",1,367
"70","z0066805",319,49
"71","z0107078",326,42
"72","z0108510",326,42
"73","z0108513",326,42
"74","z0113628",320,48
"75","z0146087",216,152
"76","z0175378",331,37
"77","z0175912",304,64
"78","z0175915",325,43
"79","z0175916",314,54
"80","z0175927",329,39
"81","z0187811",326,42
"82","z0187857",311,57
"83","z0187859",327,41
"84","z0187911",311,57
"85","z0195258",326,42
"86","z0195643",314,54
"87","z0195648",315,53
"88","z0195649",35,333
"89","z0195653",315,53
"90","z0195655",330,38
"91","z0195657",235,133
"92","z0195659",252,116
"93","z0195663",324,44
"94","z0195664",326,42
"95","z0195668",315,53
"96","z0195670",317,51
"97","z0195671",312,56
"98","z0195672",315,53
"99","z0195673",319,49
"100","z0195675",289,79
"101","z0195678",324,44
"102","z0195682",315,53
"103","z0195683",322,46
"104","z0195684",311,57
"105","z0195688",329,39
"106","z0195689",315,53
"107","z0195691",329,39
"108","z0195693",320,48
"109","z0195705",321,47
"110","z0195736",313,55
"111","z0195751",322,46
"112","z0195755",322,46
"113","z0195756",321,47
"114","z0195762",320,48
"115","z0195767",325,43
"116","z0195770",123,245
"117","z0195771",315,53
"118","z0195772",327,41
"119","z0195773",318,50
"120","z0195776",308,60
"121","z0195777",310,58
"122","z0195778",322,46
"123","z0195784",325,43
"124","z0195791",323,45
"125","z0196805",323,45
"126","z0196810",322,46
"127","z0196811",321,47
"128","z0196828",327,41
"129","z0196829",327,41
"130","z0196838",317,51
"131","z0196839",319,49
"132","z0196846",318,50
"133","z0196847",325,43
"134","z0196851",321,47
"135","z0196887",323,45
"136","z0196891",323,45
"137","z0196894",323,45
"138","z0197660",314,54
"139","z0197664",327,41
"140","z0197682",146,222
"141","z0207777",114,254
"142","z0207778",318,50
