"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"1","Mnov_gtseq_1",476,3,2,1,1,1,1
"2","Mnov_gtseq_10",474,3,2,1,1,1,1
"3","Mnov_gtseq_102",472,3,2,1,1,1,1
"4","Mnov_gtseq_104",474,3,2,1,1,1,1
"5","Mnov_gtseq_106",412,3,2,2,1,1,1
"6","Mnov_gtseq_107",303,3,2,1,1,1,1
"7","Mnov_gtseq_112",473,3,2,1,1,1,1
"8","Mnov_gtseq_113",450,3,2,1,1,1,1
"9","Mnov_gtseq_114",452,5,2,2,1,1,1
"10","Mnov_gtseq_117",324,3,2,1,1,1,1
"11","Mnov_gtseq_118",434,3,2,1,1,1,1
"12","Mnov_gtseq_12",467,3,2,1,1,1,1
"13","Mnov_gtseq_124",429,7,2,2,2,1,1
"14","Mnov_gtseq_125",467,6,2,2,1,1,1
"15","Mnov_gtseq_126",475,3,2,1,1,1,1
"16","Mnov_gtseq_127",415,3,2,1,1,1,1
"17","Mnov_gtseq_128",312,3,2,1,1,1,1
"18","Mnov_gtseq_129",456,6,2,2,1,1,1
"19","Mnov_gtseq_13",476,6,2,2,1,1,1
"20","Mnov_gtseq_130",254,3,2,1,1,1,1
"21","Mnov_gtseq_135",470,3,2,2,1,1,1
"22","Mnov_gtseq_138",473,6,2,2,1,1,1
"23","Mnov_gtseq_140",473,3,2,1,1,1,1
"24","Mnov_gtseq_141",475,3,2,1,1,1,1
"25","Mnov_gtseq_143",458,3,2,1,1,1,1
"26","Mnov_gtseq_145",469,3,2,1,1,1,1
"27","Mnov_gtseq_147",349,6,2,2,1,1,1
"28","Mnov_gtseq_148",430,6,2,2,2,1,1
"29","Mnov_gtseq_149",471,3,2,1,1,1,1
"30","Mnov_gtseq_15",476,3,2,1,1,1,1
"31","Mnov_gtseq_152",468,3,2,1,1,1,1
"32","Mnov_gtseq_154",462,6,2,2,1,1,1
"33","Mnov_gtseq_157",474,3,2,1,1,1,1
"34","Mnov_gtseq_158",473,3,2,1,1,1,1
"35","Mnov_gtseq_159",310,6,2,2,1,1,1
"36","Mnov_gtseq_16",476,3,2,1,1,1,1
"37","Mnov_gtseq_160",469,3,2,1,1,1,1
"38","Mnov_gtseq_161",450,3,2,1,1,1,1
"39","Mnov_gtseq_162",462,6,2,2,1,1,1
"40","Mnov_gtseq_167",469,5,2,2,1,1,1
"41","Mnov_gtseq_17",473,3,2,1,1,1,1
"42","Mnov_gtseq_170",476,3,2,1,1,1,1
"43","Mnov_gtseq_171",316,6,2,2,1,1,1
