"","labID","genos","missing"
"1","z0005757",298,24
"2","z0005758",321,1
"3","z0011944",316,6
"4","z0012701",285,37
"5","z0012702",164,158
"6","z0016577",313,9
"7","z0016578",254,68
"8","z0016579",315,7
"9","z0018264",320,2
"10","z0025405",1,321
"11","z0029828",313,9
"12","z0029829",278,44
"13","z0029831",322,0
"14","z0029833",321,1
"15","z0029846",54,268
"16","z0029860",317,5
"17","z0029861",4,318
"18","z0029863",313,9
"19","z0029864",239,83
"20","z0029865",277,45
"21","z0029866",1,321
"22","z0037607",315,7
"23","z0037609",238,84
"24","z0037610",1,321
"25","z0037611",40,282
"26","z0037624",173,149
"27","z0040275",65,257
"28","z0040287",287,35
"29","z0040308",316,6
"30","z0040333",313,9
"31","z0040334",306,16
"32","z0040345",312,10
"33","z0040357",291,31
"34","z0040363",254,68
"35","z0040364",319,3
"36","z0040387",316,6
"37","z0040403",2,320
"38","z0040439",322,0
"39","z0040465",143,179
"40","z0040513",239,83
"41","z0040960",1,321
"42","z0040961",281,41
"43","z0041026",321,1
"44","z0041051",122,200
"45","z0041115",298,24
"46","z0041145",1,321
"47","z0041233",307,15
"48","z0041243",317,5
"49","z0041248",300,22
"50","z0041250",314,8
"51","z0041274",313,9
"52","z0041465",93,229
"53","z0041472",314,8
"54","z0041480",275,47
"55","z0041483",321,1
"56","z0041494",31,291
"57","z0041498",315,7
"58","z0041501",316,6
"59","z0041507",288,34
"60","z0041512",321,1
"61","z0041519",316,6
"62","z0041522",264,58
"63","z0041526",318,4
"64","z0041527",206,116
"65","z0043243",315,7
"66","z0043278",315,7
"67","z0043475",263,59
"68","z0043477",322,0
"69","z0043478",311,11
"70","z0043481",320,2
"71","z0043487",1,321
"72","z0043488",7,315
"73","z0043489",301,21
"74","z0043491",14,308
"75","z0043493",313,9
"76","z0043494",313,9
"77","z0043496",321,1
"78","z0043498",315,7
"79","z0043504",1,321
"80","z0043513",12,310
"81","z0043526",304,18
"82","z0043566",307,15
"83","z0043572",322,0
"84","z0043599",307,15
"85","z0043627",23,299
"86","z0043642",316,6
"87","z0043649",314,8
"88","z0043650",321,1
"89","z0043652",317,5
"90","z0043668",318,4
"91","z0043674",319,3
"92","z0043686",317,5
"93","z0043693",317,5
"94","z0043704",271,51
"95","z0043807",318,4
"96","z0043819",314,8
"97","z0043839",262,60
"98","z0043876",36,286
"99","z0043877",213,109
"100","z0043891",129,193
"101","z0043898",1,321
"102","z0043904",1,321
"103","z0043915",212,110
"104","z0043940",189,133
"105","z0043954",316,6
"106","z0043966",283,39
"107","z0043980",318,4
"108","z0043994",321,1
"109","z0044017",276,46
"110","z0044019",274,48
"111","z0044033",320,2
"112","z0044042",307,15
"113","z0044044",1,321
"114","z0044047",237,85
"115","z0044059",4,318
"116","z0044064",214,108
"117","z0044432",272,50
"118","z0045326",322,0
"119","z0045329",320,2
"120","z0045331",302,20
"121","z0045332",300,22
"122","z0045333",210,112
"123","z0045337",303,19
"124","z0045342",279,43
"125","z0045347",317,5
"126","z0045350",319,3
"127","z0045352",307,15
"128","z0045357",321,1
"129","z0045358",313,9
"130","z0045371",314,8
"131","z0045398",317,5
"132","z0045399",317,5
"133","z0045401",237,85
"134","z0045404",320,2
"135","z0045405",305,17
"136","z0045407",315,7
"137","z0045719",320,2
"138","z0045720",316,6
"139","z0045728",320,2
"140","z0045731",318,4
"141","z0045733",319,3
"142","z0045736",318,4
"143","z0045739",316,6
"144","z0045740",317,5
"145","z0045741",320,2
"146","z0045742",319,3
"147","z0045776",320,2
"148","z0045779",308,14
"149","z0045781",320,2
"150","z0045792",17,305
"151","z0045793",321,1
"152","z0046925",176,146
"153","z0047562",249,73
"154","z0047587",1,321
"155","z0047603",1,321
"156","z0047854",317,5
"157","z0049019",314,8
"158","z0049020",317,5
"159","z0051185",303,19
"160","z0051324",112,210
"161","z0051326",319,3
"162","z0051327",310,12
"163","z0051328",315,7
"164","z0051380",318,4
"165","z0051399",1,321
"166","z0051400",319,3
"167","z0051402",321,1
"168","z0051404",294,28
"169","z0051405",321,1
"170","z0051431",3,319
"171","z0051447",1,321
"172","z0051875",228,94
"173","z0051885",296,26
"174","z0051888",318,4
"175","z0051891",312,10
"176","z0051893",309,13
"177","z0051895",322,0
"178","z0051898",319,3
"179","z0051899",302,20
"180","z0051906",1,321
"181","z0051918",320,2
"182","z0051929",319,3
"183","z0051947",310,12
"184","z0051959",315,7
"185","z0051968",300,22
"186","z0052846",320,2
"187","z0052882",317,5
"188","z0053020",224,98
"189","z0053024",268,54
"190","z0053025",306,16
"191","z0053031",317,5
"192","z0053032",315,7
"193","z0053040",293,29
"194","z0053051",319,3
"195","z0053054",303,19
"196","z0053055",318,4
"197","z0053071",309,13
"198","z0053073",313,9
"199","z0053078",319,3
"200","z0053082",315,7
"201","z0053083",230,92
"202","z0053090",268,54
"203","z0053096",322,0
"204","z0053100",295,27
"205","z0053101",319,3
"206","z0053102",286,36
"207","z0053103",319,3
"208","z0053111",309,13
"209","z0053131",320,2
"210","z0053132",320,2
"211","z0053133",319,3
"212","z0053138",320,2
"213","z0053142",301,21
"214","z0053149",320,2
"215","z0053754",317,5
"216","z0053756",317,5
"217","z0053757",141,181
"218","z0053758",238,84
"219","z0053759",317,5
"220","z0053760",320,2
"221","z0053842",314,8
"222","z0053843",300,22
"223","z0053844",276,46
"224","z0053845",117,205
"225","z0053846",311,11
"226","z0053847",315,7
"227","z0053849",306,16
"228","z0055903",318,4
"229","z0055912",280,42
"230","z0055916",267,55
"231","z0055931",310,12
"232","z0055944",309,13
"233","z0055962",249,73
"234","z0055971",297,25
"235","z0055977",244,78
"236","z0055996",308,14
"237","z0055997",301,21
"238","z0055998",303,19
"239","z0055999",314,8
"240","z0056034",318,4
"241","z0056056",195,127
"242","z0056059",248,74
"243","z0056062",303,19
"244","z0056064",321,1
"245","z0056065",321,1
"246","z0056069",321,1
"247","z0056073",321,1
"248","z0056085",316,6
"249","z0056089",7,315
"250","z0056092",315,7
"251","z0056095",308,14
"252","z0056374",296,26
"253","z0056375",314,8
"254","z0056377",315,7
"255","z0056378",315,7
"256","z0056380",1,321
"257","z0056382",306,16
"258","z0056384",309,13
"259","z0056386",291,31
"260","z0056389",318,4
"261","z0056391",317,5
"262","z0056392",282,40
"263","z0056393",292,30
"264","z0056394",318,4
"265","z0056395",266,56
"266","z0056397",318,4
"267","z0056399",312,10
"268","z0061527",312,10
"269","z0061967",317,5
"270","z0061969",319,3
"271","z0061978",1,321
"272","z0061980",316,6
"273","z0061982",1,321
"274","z0066792",309,13
"275","z0066805",315,7
"276","z0075696",298,24
"277","z0107055",320,2
"278","z0107073",321,1
"279","z0107078",319,3
"280","z0107080",306,16
"281","z0107101",289,33
"282","z0108480",312,10
"283","z0108489",238,84
"284","z0108494",1,321
"285","z0108508",317,5
"286","z0108510",319,3
"287","z0108513",320,2
"288","z0108516",1,321
"289","z0113619",3,319
"290","z0113628",314,8
"291","z0133302",261,61
"292","z0146087",217,105
"293","z0173485",308,14
"294","z0174005",292,30
"295","z0175351",1,321
"296","z0175371",316,6
"297","z0175377",316,6
"298","z0175378",322,0
"299","z0175912",304,18
"300","z0175915",319,3
"301","z0175916",314,8
"302","z0175927",322,0
"303","z0175928",317,5
"304","z0175937",316,6
"305","z0175950",298,24
"306","z0178294",1,321
"307","z0178296",1,321
"308","z0178348",281,41
"309","z0187811",320,2
"310","z0187842",313,9
"311","z0187857",313,9
"312","z0187859",321,1
"313","z0187860",321,1
"314","z0187868",253,69
"315","z0187885",306,16
"316","z0187906",288,34
"317","z0187911",308,14
"318","z0195258",320,2
"319","z0195643",314,8
"320","z0195644",302,20
"321","z0195645",1,321
"322","z0195646",2,320
"323","z0195647",164,158
"324","z0195648",312,10
"325","z0195649",40,282
"326","z0195650",266,56
"327","z0195651",281,41
"328","z0195653",316,6
"329","z0195655",321,1
"330","z0195656",1,321
"331","z0195657",263,59
"332","z0195659",275,47
"333","z0195662",1,321
"334","z0195663",318,4
"335","z0195664",321,1
"336","z0195665",11,311
"337","z0195667",273,49
"338","z0195668",314,8
"339","z0195669",21,301
"340","z0195670",314,8
"341","z0195671",312,10
"342","z0195672",313,9
"343","z0195673",318,4
"344","z0195674",2,320
"345","z0195675",289,33
"346","z0195677",250,72
"347","z0195678",318,4
"348","z0195679",12,310
"349","z0195680",12,310
"350","z0195681",11,311
"351","z0195682",315,7
"352","z0195683",316,6
"353","z0195684",313,9
"354","z0195687",2,320
"355","z0195688",322,0
"356","z0195689",312,10
"357","z0195691",320,2
"358","z0195693",315,7
"359","z0195694",1,321
"360","z0195697",269,53
"361","z0195699",318,4
"362","z0195700",305,17
"363","z0195701",257,65
"364","z0195702",319,3
"365","z0195703",310,12
"366","z0195704",320,2
"367","z0195705",318,4
"368","z0195706",317,5
"369","z0195707",318,4
"370","z0195708",317,5
"371","z0195709",319,3
"372","z0195710",318,4
"373","z0195711",318,4
"374","z0195712",319,3
"375","z0195713",322,0
"376","z0195714",318,4
"377","z0195715",311,11
"378","z0195716",320,2
"379","z0195717",319,3
"380","z0195718",276,46
"381","z0195720",275,47
"382","z0195721",1,321
"383","z0195722",316,6
"384","z0195724",95,227
"385","z0195725",274,48
"386","z0195726",233,89
"387","z0195727",289,33
"388","z0195728",211,111
"389","z0195729",294,28
"390","z0195730",317,5
"391","z0195731",279,43
"392","z0195732",141,181
"393","z0195733",320,2
"394","z0195735",321,1
"395","z0195736",311,11
"396","z0195737",318,4
"397","z0195738",319,3
"398","z0195739",310,12
"399","z0195740",210,112
"400","z0195741",311,11
"401","z0195742",322,0
"402","z0195743",318,4
"403","z0195748",321,1
"404","z0195751",316,6
