"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"1","Mnov_gtseq_1",310,3,2,1,1,1,1
"2","Mnov_gtseq_10",308,3,2,1,1,1,1
"3","Mnov_gtseq_102",307,3,2,1,1,1,1
"4","Mnov_gtseq_104",310,3,2,1,1,1,1
"5","Mnov_gtseq_106",275,3,2,2,1,1,1
"6","Mnov_gtseq_107",215,3,2,1,1,1,1
"7","Mnov_gtseq_112",309,3,2,1,1,1,1
"8","Mnov_gtseq_113",298,3,2,1,1,1,1
"9","Mnov_gtseq_114",296,5,2,2,1,1,1
"10","Mnov_gtseq_117",228,3,2,1,1,1,1
"11","Mnov_gtseq_118",281,3,2,1,1,1,1
"12","Mnov_gtseq_12",305,3,2,1,1,1,1
"13","Mnov_gtseq_124",268,6,2,2,2,1,1
"14","Mnov_gtseq_125",304,6,2,2,1,1,1
"15","Mnov_gtseq_126",309,3,2,1,1,1,1
"16","Mnov_gtseq_127",277,3,2,1,1,1,1
"17","Mnov_gtseq_128",215,3,2,1,1,1,1
"18","Mnov_gtseq_129",300,6,2,2,1,1,1
"19","Mnov_gtseq_13",310,6,2,2,1,1,1
"20","Mnov_gtseq_130",141,3,2,1,1,1,1
"21","Mnov_gtseq_135",306,3,2,2,1,1,1
"22","Mnov_gtseq_138",308,6,2,2,1,1,1
"23","Mnov_gtseq_140",307,3,2,1,1,1,1
"24","Mnov_gtseq_141",310,3,2,1,1,1,1
"25","Mnov_gtseq_143",297,3,2,1,1,1,1
"26","Mnov_gtseq_145",307,3,2,1,1,1,1
"27","Mnov_gtseq_147",232,6,2,2,1,1,1
"28","Mnov_gtseq_148",273,6,2,2,2,1,1
"29","Mnov_gtseq_149",306,3,2,1,1,1,1
"30","Mnov_gtseq_15",310,3,2,1,1,1,1
"31","Mnov_gtseq_152",305,3,2,1,1,1,1
"32","Mnov_gtseq_154",300,6,2,2,1,1,1
"33","Mnov_gtseq_157",309,3,2,1,1,1,1
"34","Mnov_gtseq_158",308,3,2,1,1,1,1
"35","Mnov_gtseq_159",221,6,2,2,1,1,1
"36","Mnov_gtseq_16",310,3,2,1,1,1,1
"37","Mnov_gtseq_160",306,3,2,1,1,1,1
"38","Mnov_gtseq_161",293,3,2,1,1,1,1
"39","Mnov_gtseq_162",300,6,2,2,1,1,1
"40","Mnov_gtseq_167",306,5,2,2,1,1,1
"41","Mnov_gtseq_17",309,3,2,1,1,1,1
"42","Mnov_gtseq_170",310,3,2,1,1,1,1
"43","Mnov_gtseq_171",225,6,2,2,1,1,1
"44","Mnov_gtseq_173",287,6,2,2,2,1,1
"45","Mnov_gtseq_174",298,3,2,1,1,1,1
"46","Mnov_gtseq_180",258,6,2,2,1,1,1
"47","Mnov_gtseq_181",103,6,2,2,1,1,1
"48","Mnov_gtseq_182",290,3,2,1,1,1,1
"49","Mnov_gtseq_186",235,5,2,2,1,1,1
"50","Mnov_gtseq_187",310,3,2,1,1,1,1
"51","Mnov_gtseq_188",263,3,2,1,1,1,1
"52","Mnov_gtseq_189",300,3,2,1,1,1,1
"53","Mnov_gtseq_19",310,6,2,2,1,1,1
"54","Mnov_gtseq_190",310,3,2,1,1,1,1
"55","Mnov_gtseq_191",223,3,2,1,1,1,1
"56","Mnov_gtseq_192",254,3,2,1,1,1,1
"57","Mnov_gtseq_193",310,3,2,1,1,1,1
"58","Mnov_gtseq_195",310,5,2,2,1,1,1
"59","Mnov_gtseq_196",309,3,2,1,1,1,1
"60","Mnov_gtseq_197",310,6,3,1,1,1,1
"61","Mnov_gtseq_2",310,6,2,2,1,1,1
"62","Mnov_gtseq_200",306,3,2,1,1,1,1
"63","Mnov_gtseq_201",310,10,2,2,2,1,1
"64","Mnov_gtseq_202",310,3,2,1,1,1,1
"65","Mnov_gtseq_204",305,3,2,1,1,1,1
"66","Mnov_gtseq_205",310,9,2,3,2,1,1
"67","Mnov_gtseq_208",310,3,2,1,1,1,1
"68","Mnov_gtseq_209",310,5,2,2,1,1,1
"69","Mnov_gtseq_21",310,3,2,1,1,1,1
"70","Mnov_gtseq_210",310,3,2,1,1,1,1
"71","Mnov_gtseq_211",307,3,2,1,1,1,1
"72","Mnov_gtseq_213",292,3,2,1,1,1,1
"73","Mnov_gtseq_214",286,3,2,1,1,1,1
"74","Mnov_gtseq_215",310,3,2,1,1,1,1
"75","Mnov_gtseq_216",310,4,2,2,1,1,1
"76","Mnov_gtseq_217",250,3,2,1,1,1,1
"77","Mnov_gtseq_218",309,3,2,1,1,1,1
"78","Mnov_gtseq_22",299,9,2,2,2,1,1
"79","Mnov_gtseq_220",310,5,2,2,1,1,1
"80","Mnov_gtseq_222",278,10,2,2,2,1,1
"81","Mnov_gtseq_223",308,3,2,1,1,1,1
"82","Mnov_gtseq_224",310,5,2,2,1,1,1
"83","Mnov_gtseq_225",309,3,2,1,1,1,1
"84","Mnov_gtseq_227",309,3,2,1,1,1,1
"85","Mnov_gtseq_229",308,3,2,1,1,1,1
"86","Mnov_gtseq_230",276,3,2,1,1,1,1
"87","Mnov_gtseq_232",310,3,2,1,1,1,1
"88","Mnov_gtseq_234",282,3,2,1,1,1,1
"89","Mnov_gtseq_235",310,3,2,1,1,1,1
"90","Mnov_gtseq_237",310,12,2,2,2,1,1
"91","Mnov_gtseq_238",310,3,2,1,1,1,1
"92","Mnov_gtseq_239",309,3,2,1,1,1,1
"93","Mnov_gtseq_240",310,3,2,1,1,1,1
"94","Mnov_gtseq_241",310,3,2,1,1,1,1
"95","Mnov_gtseq_243",310,3,2,1,1,1,1
"96","Mnov_gtseq_244",309,3,2,1,1,1,1
"97","Mnov_gtseq_245",281,3,2,1,1,1,1
"98","Mnov_gtseq_246",310,3,2,1,1,1,1
"99","Mnov_gtseq_247",305,3,2,1,1,1,1
"100","Mnov_gtseq_248",309,3,2,1,1,1,1
"101","Mnov_gtseq_25",309,3,2,1,1,1,1
"102","Mnov_gtseq_250",303,3,2,1,1,1,1
"103","Mnov_gtseq_251",308,3,2,1,1,1,1
"104","Mnov_gtseq_253",279,3,2,1,1,1,1
"105","Mnov_gtseq_254",310,3,2,1,1,1,1
"106","Mnov_gtseq_255",309,6,2,2,1,1,1
"107","Mnov_gtseq_257",310,3,2,1,1,1,1
"108","Mnov_gtseq_258",310,3,2,1,1,1,1
"109","Mnov_gtseq_26",310,3,2,1,1,1,1
"110","Mnov_gtseq_260",306,3,2,1,1,1,1
"111","Mnov_gtseq_261",310,6,2,2,2,1,1
"112","Mnov_gtseq_262",303,6,2,2,1,1,1
"113","Mnov_gtseq_263",310,3,2,1,1,1,1
"114","Mnov_gtseq_265",310,3,2,1,1,1,1
"115","Mnov_gtseq_268",310,3,2,1,1,1,1
"116","Mnov_gtseq_269",309,3,2,1,1,1,1
"117","Mnov_gtseq_270",277,3,2,1,1,1,1
"118","Mnov_gtseq_271",289,6,2,2,1,1,1
"119","Mnov_gtseq_273",303,3,2,1,1,1,1
"120","Mnov_gtseq_274",310,3,2,1,1,1,1
"121","Mnov_gtseq_275",268,5,2,2,1,1,1
"122","Mnov_gtseq_277",310,3,2,1,1,1,1
"123","Mnov_gtseq_278",309,3,2,1,1,1,1
"124","Mnov_gtseq_28",309,3,2,1,1,1,1
"125","Mnov_gtseq_281",300,4,2,2,1,1,1
"126","Mnov_gtseq_283",299,3,2,1,1,1,1
"127","Mnov_gtseq_284",310,3,2,1,1,1,1
"128","Mnov_gtseq_285",310,6,2,2,1,1,1
"129","Mnov_gtseq_287",310,3,2,1,1,1,1
"130","Mnov_gtseq_288",254,6,2,2,1,1,1
"131","Mnov_gtseq_289",310,9,2,3,1,1,1
"132","Mnov_gtseq_291",310,10,2,2,2,2,1
"133","Mnov_gtseq_297",310,3,2,1,1,1,1
"134","Mnov_gtseq_298",213,3,2,1,1,1,1
"135","Mnov_gtseq_299",310,3,2,1,1,1,1
"136","Mnov_gtseq_3",84,3,2,1,1,1,1
"137","Mnov_gtseq_30",256,2,2,1,1,1,1
"138","Mnov_gtseq_300",299,3,2,1,1,1,1
"139","Mnov_gtseq_305",280,3,2,1,1,1,1
"140","Mnov_gtseq_307",303,3,2,1,1,1,1
"141","Mnov_gtseq_308",310,3,2,1,1,1,1
"142","Mnov_gtseq_310",282,3,2,1,1,1,1
"143","Mnov_gtseq_311",300,3,2,1,1,1,1
"144","Mnov_gtseq_312",310,3,2,1,1,1,1
"145","Mnov_gtseq_313",307,3,2,1,1,1,1
"146","Mnov_gtseq_314",310,3,2,1,1,1,1
"147","Mnov_gtseq_315",309,3,2,1,1,1,1
"148","Mnov_gtseq_317",274,6,2,2,1,1,1
"149","Mnov_gtseq_318",308,3,2,1,1,1,1
"150","Mnov_gtseq_320",292,3,2,2,1,1,1
"151","Mnov_gtseq_321",310,3,2,1,1,1,1
"152","Mnov_gtseq_322",301,3,2,1,1,1,1
"153","Mnov_gtseq_323",310,6,2,2,1,1,1
"154","Mnov_gtseq_326",302,3,2,1,1,1,1
"155","Mnov_gtseq_327",304,3,2,1,1,1,1
