"","labID","genos","missing"
"1","z0005757",295,27
"2","z0005758",321,1
"3","z0011944",316,6
"4","z0016577",311,11
"5","z0016578",254,68
"6","z0018264",320,2
"7","z0029828",312,10
"8","z0029829",278,44
"9","z0029831",322,0
"10","z0029833",321,1
"11","z0029846",54,268
"12","z0029860",316,6
"13","z0029863",313,9
"14","z0029864",239,83
"15","z0037611",40,282
"16","z0037624",173,149
"17","z0040308",316,6
"18","z0040334",306,16
"19","z0040345",312,10
"20","z0040363",254,68
"21","z0040387",316,6
"22","z0041243",314,8
"23","z0041248",294,28
"24","z0041250",312,10
"25","z0041274",312,10
"26","z0041519",316,6
"27","z0041526",318,4
"28","z0043243",314,8
"29","z0043278",313,9
"30","z0043489",287,35
"31","z0043494",307,15
"32","z0043496",320,2
"33","z0043498",313,9
"34","z0043566",306,16
"35","z0043599",303,19
"36","z0043650",321,1
"37","z0043668",318,4
"38","z0043674",319,3
"39","z0043686",317,5
"40","z0043693",317,5
"41","z0043704",271,51
"42","z0043819",314,8
"43","z0043994",321,1
"44","z0044033",317,5
"45","z0044432",196,126
"46","z0045329",320,2
"47","z0045331",288,34
"48","z0045332",300,22
"49","z0045333",210,112
"50","z0045337",303,19
"51","z0045342",279,43
"52","z0045347",317,5
"53","z0045350",319,3
"54","z0045357",321,1
"55","z0045358",313,9
"56","z0045398",317,5
"57","z0045401",1,321
"58","z0045407",315,7
"59","z0045792",17,305
"60","z0046925",171,151
"61","z0051185",303,19
"62","z0051324",112,210
"63","z0051326",319,3
"64","z0051328",315,7
"65","z0051380",318,4
"66","z0051402",321,1
"67","z0051404",294,28
"68","z0051405",321,1
"69","z0051875",140,182
"70","z0051891",312,10
"71","z0051893",309,13
"72","z0051895",321,1
"73","z0051898",319,3
"74","z0051899",302,20
"75","z0051918",319,3
"76","z0051929",319,3
"77","z0051947",310,12
"78","z0051959",313,9
"79","z0051968",300,22
"80","z0053025",306,16
"81","z0053055",318,4
"82","z0053082",315,7
"83","z0053096",322,0
"84","z0053101",319,3
"85","z0053133",319,3
"86","z0053138",320,2
"87","z0053149",320,2
"88","z0053754",317,5
"89","z0053756",317,5
"90","z0053757",141,181
"91","z0053758",238,84
"92","z0053759",317,5
"93","z0053760",320,2
"94","z0053842",314,8
"95","z0053843",300,22
"96","z0053844",276,46
"97","z0053845",117,205
"98","z0053846",311,11
"99","z0053847",315,7
"100","z0053849",306,16
"101","z0056034",317,5
"102","z0056064",321,1
"103","z0056065",321,1
"104","z0056069",321,1
"105","z0056073",321,1
"106","z0056374",296,26
"107","z0056375",314,8
"108","z0056377",315,7
"109","z0056378",315,7
"110","z0056380",1,321
"111","z0056382",306,16
"112","z0056384",309,13
"113","z0056386",291,31
"114","z0056389",318,4
"115","z0056391",317,5
"116","z0056392",221,101
"117","z0056393",292,30
"118","z0056394",318,4
"119","z0056395",266,56
"120","z0056397",318,4
"121","z0056399",312,10
"122","z0061527",312,10
"123","z0061969",319,3
"124","z0061980",316,6
"125","z0061982",1,321
"126","z0066792",309,13
"127","z0066805",315,7
"128","z0107055",320,2
"129","z0107073",321,1
"130","z0107078",319,3
"131","z0107080",306,16
"132","z0107101",289,33
"133","z0108480",312,10
"134","z0108489",238,84
"135","z0108508",317,5
"136","z0108510",319,3
"137","z0108513",320,2
"138","z0113628",315,7
"139","z0133302",261,61
"140","z0146087",215,107
"141","z0173485",308,14
"142","z0175377",316,6
"143","z0175378",322,0
"144","z0175912",304,18
"145","z0175915",319,3
"146","z0175916",314,8
"147","z0175927",322,0
"148","z0175928",317,5
"149","z0175937",316,6
"150","z0178294",1,321
"151","z0178296",1,321
"152","z0178348",281,41
"153","z0187811",320,2
"154","z0187842",313,9
"155","z0187857",309,13
"156","z0187859",321,1
"157","z0187860",321,1
"158","z0187868",253,69
"159","z0187906",288,34
"160","z0187911",308,14
"161","z0195258",320,2
"162","z0195643",312,10
"163","z0195644",264,58
"164","z0195648",311,11
"165","z0195649",32,290
"166","z0195650",24,298
"167","z0195651",80,242
"168","z0195653",315,7
"169","z0195655",321,1
"170","z0195657",240,82
"171","z0195659",257,65
"172","z0195663",318,4
"173","z0195664",321,1
"174","z0195665",1,321
"175","z0195667",71,251
"176","z0195668",311,11
"177","z0195670",313,9
"178","z0195671",308,14
