"","locus","genos","num.unique.genos"
"1","Mnov_gtseq_1",142,3
"2","Mnov_gtseq_10",139,3
"3","Mnov_gtseq_102",135,3
"4","Mnov_gtseq_104",141,3
"5","Mnov_gtseq_106",131,3
"6","Mnov_gtseq_107",123,3
"7","Mnov_gtseq_111",45,7
"8","Mnov_gtseq_112",136,3
"9","Mnov_gtseq_113",134,3
"10","Mnov_gtseq_114",134,4
"11","Mnov_gtseq_116",124,3
"12","Mnov_gtseq_117",121,3
"13","Mnov_gtseq_118",130,3
"14","Mnov_gtseq_12",135,3
"15","Mnov_gtseq_124",135,6
"16","Mnov_gtseq_125",134,6
"17","Mnov_gtseq_126",140,3
"18","Mnov_gtseq_127",131,3
"19","Mnov_gtseq_128",123,3
"20","Mnov_gtseq_129",134,6
"21","Mnov_gtseq_13",136,6
"22","Mnov_gtseq_130",59,3
"23","Mnov_gtseq_135",135,3
"24","Mnov_gtseq_138",137,6
"25","Mnov_gtseq_139",109,8
"26","Mnov_gtseq_140",138,3
"27","Mnov_gtseq_141",139,3
"28","Mnov_gtseq_143",132,3
"29","Mnov_gtseq_145",136,3
"30","Mnov_gtseq_147",123,6
"31","Mnov_gtseq_148",133,6
"32","Mnov_gtseq_149",134,3
"33","Mnov_gtseq_15",139,3
"34","Mnov_gtseq_152",135,3
"35","Mnov_gtseq_154",132,6
"36","Mnov_gtseq_155",132,3
"37","Mnov_gtseq_157",137,3
"38","Mnov_gtseq_158",138,3
"39","Mnov_gtseq_159",123,6
"40","Mnov_gtseq_16",141,3
"41","Mnov_gtseq_160",131,3
"42","Mnov_gtseq_161",134,3
"43","Mnov_gtseq_162",135,6
"44","Mnov_gtseq_167",136,5
"45","Mnov_gtseq_17",136,3
"46","Mnov_gtseq_170",139,3
"47","Mnov_gtseq_171",119,6
"48","Mnov_gtseq_173",127,6
"49","Mnov_gtseq_174",133,3
"50","Mnov_gtseq_178",42,3
"51","Mnov_gtseq_180",118,6
"52","Mnov_gtseq_181",79,5
"53","Mnov_gtseq_182",129,3
"54","Mnov_gtseq_186",53,5
"55","Mnov_gtseq_187",136,3
"56","Mnov_gtseq_188",129,3
"57","Mnov_gtseq_189",134,3
"58","Mnov_gtseq_19",142,6
"59","Mnov_gtseq_190",140,3
"60","Mnov_gtseq_191",99,3
"61","Mnov_gtseq_192",126,3
"62","Mnov_gtseq_193",141,3
"63","Mnov_gtseq_195",144,5
"64","Mnov_gtseq_196",141,3
"65","Mnov_gtseq_197",141,6
"66","Mnov_gtseq_2",140,4
"67","Mnov_gtseq_200",138,3
"68","Mnov_gtseq_201",141,10
"69","Mnov_gtseq_202",141,3
"70","Mnov_gtseq_204",140,3
"71","Mnov_gtseq_205",141,9
"72","Mnov_gtseq_208",141,3
"73","Mnov_gtseq_209",140,5
"74","Mnov_gtseq_21",143,3
"75","Mnov_gtseq_210",136,3
"76","Mnov_gtseq_211",141,3
"77","Mnov_gtseq_213",134,3
"78","Mnov_gtseq_214",133,3
"79","Mnov_gtseq_215",142,3
"80","Mnov_gtseq_216",139,4
"81","Mnov_gtseq_217",126,3
"82","Mnov_gtseq_218",136,3
"83","Mnov_gtseq_22",135,9
"84","Mnov_gtseq_220",142,5
"85","Mnov_gtseq_222",122,10
"86","Mnov_gtseq_223",135,3
"87","Mnov_gtseq_224",136,5
"88","Mnov_gtseq_225",140,3
"89","Mnov_gtseq_227",141,3
"90","Mnov_gtseq_229",134,3
"91","Mnov_gtseq_230",129,3
"92","Mnov_gtseq_232",139,3
"93","Mnov_gtseq_234",133,3
"94","Mnov_gtseq_235",140,3
"95","Mnov_gtseq_237",137,11
"96","Mnov_gtseq_238",140,3
"97","Mnov_gtseq_239",138,3
"98","Mnov_gtseq_240",138,3
"99","Mnov_gtseq_241",141,3
"100","Mnov_gtseq_243",140,3
"101","Mnov_gtseq_244",141,3
"102","Mnov_gtseq_245",129,3
"103","Mnov_gtseq_246",137,3
