"","labID","genos","missing"
"1","z0005757",306,62
"2","z0005758",337,31
"3","z0005758b",247,121
"4","z0016577",325,43
"5","z0029828",325,43
"6","z0029831",337,31
"7","z0029860",329,39
"8","z0029863",320,48
"9","z0040308",329,39
"10","z0040387",328,40
"11","z0041243",327,41
"12","z0041248",304,64
"13","z0041250",321,47
"14","z0041274",323,45
"15","z0041519",329,39
"16","z0041526",332,36
"17","z0043243",326,42
"18","z0043243b",1,367
"19","z0043278",324,44
"20","z0043489",294,74
"21","z0043494",319,49
"22","z0043496",333,35
"23","z0043496b",1,367
"24","z0043498",326,42
"25","z0043566",317,51
"26","z0043599",314,54
"27","z0043650",335,33
"28","z0043668",331,37
"29","z0043674",335,33
"30","z0043686",331,37
"31","z0043693",332,36
"32","z0043704",280,88
"33","z0043819",327,41
"34","z0043994",337,31
"35","z0044033",330,38
"36","z0044432",180,188
"37","z0044432b",7,361
"38","z0045347",331,37
"39","z0045398",333,35
"40","z0045407",329,39
"41","z0046925",176,192
"42","z0051326",332,36
"43","z0051328",328,40
"44","z0051380",331,37
"45","z0051405",336,32
"46","z0051875",144,224
"47","z0051895",336,32
"48","z0051918",335,33
"49","z0051929",333,35
"50","z0051959",326,42
"51","z0053025",317,51
"52","z0053055",333,35
"53","z0053082",329,39
"54","z0053096",336,32
"55","z0053101",334,34
"56","z0053133",333,35
"57","z0053138",334,34
"58","z0053149",335,33
"59","z0053149b",2,366
"60","z0053756",327,41
"61","z0053760",334,34
"62","z0053842",325,43
"63","z0053845",35,333
"64","z0053846",324,44
"65","z0056034",330,38
"66","z0056064",336,32
"67","z0056065",336,32
"68","z0056069",336,32
"69","z0056073",335,33
"70","z0056374",305,63
"71","z0056389",328,40
"72","z0061527",323,45
"73","z0061969",334,34
"74","z0061982",1,367
"75","z0066805",329,39
"76","z0107078",332,36
"77","z0108510",334,34
"78","z0108513",333,35
"79","z0108513b",2,366
"80","z0113628",326,42
"81","z0146087",221,147
"82","z0175378",336,32
"83","z0175912",313,55
"84","z0175915",334,34
"85","z0175916",324,44
"86","z0175927",336,32
"87","z0187811",334,34
"88","z0187857",319,49
"89","z0187859",335,33
"90","z0187911",320,48
"91","z0195258",335,33
"92","z0195643",322,46
"93","z0195648",323,45
"94","z0195649",34,334
"95","z0195653",323,45
"96","z0195655",335,33
"97","z0195657",241,127
"98","z0195659",257,111
"99","z0195663",334,34
"100","z0195664",333,35
"101","z0195668",323,45
"102","z0195670",326,42
"103","z0195671",321,47
"104","z0195672",324,44
"105","z0195673",328,40
"106","z0195675",296,72
"107","z0195678",332,36
"108","z0195682",326,42
"109","z0195683",331,37
"110","z0195684",320,48
"111","z0195688",338,30
"112","z0195689",323,45
"113","z0195691",333,35
"114","z0195693",329,39
"115","z0195705",320,48
"116","z0195705b",240,128
"117","z0195736",321,47
"118","z0195751",328,40
"119","z0195751b",1,367
"120","z0195755",329,39
"121","z0195756",329,39
"122","z0195762",330,38
"123","z0195767",334,34
"124","z0195770",125,243
"125","z0195771",323,45
"126","z0195772",336,32
"127","z0195773",326,42
"128","z0195776",315,53
"129","z0195777",317,51
"130","z0195778",328,40
"131","z0195784",333,35
"132","z0195791",330,38
"133","z0196805",332,36
"134","z0196810",329,39
"135","z0196811",329,39
"136","z0196828",333,35
"137","z0196828b",8,360
"138","z0196829",335,33
"139","z0196838",326,42
"140","z0196839",327,41
"141","z0196846",327,41
"142","z0196847",334,34
"143","z0196851",329,39
"144","z0196887",330,38
"145","z0196891",330,38
"146","z0196894",331,37
"147","z0197660",321,47
"148","z0197664",334,34
"149","z0197682",149,219
"150","z0207777",116,252
"151","z0207778",326,42
