"","labID","genos","missing"
"1","z0005757",295,27
"2","z0005758",321,1
"3","z0016577",311,11
"4","z0029828",312,10
"5","z0029831",322,0
"6","z0029860",316,6
"7","z0029863",308,14
"8","z0040308",316,6
"9","z0040387",316,6
"10","z0041243",314,8
"11","z0041248",294,28
"12","z0041250",312,10
"13","z0041274",312,10
"14","z0041519",316,6
"15","z0041526",318,4
"16","z0043243",314,8
"17","z0043278",313,9
"18","z0043489",287,35
"19","z0043494",307,15
"20","z0043496",320,2
"21","z0043498",313,9
"22","z0043566",306,16
"23","z0043599",303,19
"24","z0043650",321,1
"25","z0043668",318,4
"26","z0043674",319,3
"27","z0043686",317,5
"28","z0043693",317,5
"29","z0043704",271,51
"30","z0043819",314,8
"31","z0043994",321,1
"32","z0044033",317,5
"33","z0044432",196,126
"34","z0045347",317,5
"35","z0045398",317,5
"36","z0045407",315,7
"37","z0046925",171,151
"38","z0051326",318,4
"39","z0051328",315,7
"40","z0051380",318,4
"41","z0051405",321,1
"42","z0051875",140,182
"43","z0051895",321,1
"44","z0051918",319,3
"45","z0051929",319,3
"46","z0051959",313,9
"47","z0053025",306,16
"48","z0053055",318,4
"49","z0053082",315,7
"50","z0053096",322,0
"51","z0053101",319,3
"52","z0053133",319,3
"53","z0053138",320,2
"54","z0053149",320,2
"55","z0053756",315,7
"56","z0053760",320,2
"57","z0053842",313,9
"58","z0053845",75,247
"59","z0053846",311,11
"60","z0056034",317,5
"61","z0056064",321,1
"62","z0056065",321,1
"63","z0056069",321,1
"64","z0056073",321,1
"65","z0056374",294,28
"66","z0056389",316,6
"67","z0061527",312,10
"68","z0061969",319,3
"69","z0061982",1,321
"70","z0066805",315,7
"71","z0107078",319,3
"72","z0108510",319,3
"73","z0108513",320,2
"74","z0113628",315,7
"75","z0146087",215,107
"76","z0175378",322,0
"77","z0175912",302,20
"78","z0175915",319,3
"79","z0175916",312,10
"80","z0175927",322,0
"81","z0187811",320,2
"82","z0187857",308,14
"83","z0187859",321,1
"84","z0187911",308,14
"85","z0195258",320,2
"86","z0195643",311,11
"87","z0195648",311,11
"88","z0195649",32,290
"89","z0195653",312,10
"90","z0195655",321,1
"91","z0195657",233,89
"92","z0195659",251,71
"93","z0195663",318,4
"94","z0195664",321,1
"95","z0195668",311,11
"96","z0195670",313,9
"97","z0195671",308,14
"98","z0195672",311,11
"99","z0195673",315,7
"100","z0195675",286,36
"101","z0195678",319,3
"102","z0195682",313,9
"103","z0195683",316,6
"104","z0195684",309,13
"105","z0195688",322,0
"106","z0195689",312,10
"107","z0195691",320,2
"108","z0195693",315,7
"109","z0195705",317,5
"110","z0195736",310,12
"111","z0195751",316,6
"112","z0195755",317,5
"113","z0195756",317,5
"114","z0195762",316,6
"115","z0195767",320,2
"116","z0195770",120,202
"117","z0195771",311,11
"118","z0195772",320,2
"119","z0195773",313,9
"120","z0195776",303,19
"121","z0195777",306,16
"122","z0195778",316,6
"123","z0195784",319,3
"124","z0195791",319,3
"125","z0196805",318,4
"126","z0196810",317,5
"127","z0196811",316,6
"128","z0196828",319,3
"129","z0196829",321,1
"130","z0196838",315,7
"131","z0196839",314,8
"132","z0196846",314,8
"133","z0196847",319,3
"134","z0196851",316,6
"135","z0196887",317,5
"136","z0196891",314,8
"137","z0196894",317,5
"138","z0197660",310,12
"139","z0197664",320,2
"140","z0197682",145,177
"141","z0207777",112,210
"142","z0207778",313,9
