"","labID","genos","missing"
"1","z0005757",314,54
"2","z0005758",330,38
"3","z0005758b",278,90
"4","z0016577",322,46
"5","z0029828",319,49
"6","z0029831",333,35
"7","z0029860",326,42
"8","z0029863",321,47
"9","z0040308",325,43
"10","z0040387",324,44
"11","z0041243",323,45
"12","z0041248",308,60
"13","z0041250",322,46
"14","z0041274",321,47
"15","z0041519",325,43
"16","z0041526",326,42
"17","z0043243",324,44
"18","z0043243b",1,367
"19","z0043278",324,44
"20","z0043489",309,59
"21","z0043494",319,49
"22","z0043496",327,41
"23","z0043496b",1,367
"24","z0043498",324,44
"25","z0043566",319,49
"26","z0043599",317,51
"27","z0043650",331,37
"28","z0043668",326,42
"29","z0043674",331,37
"30","z0043686",327,41
"31","z0043693",326,42
"32","z0043704",292,76
"33","z0043819",324,44
"34","z0043819b",1,367
"35","z0043994",328,40
"36","z0044033",328,40
"37","z0044432",248,120
"38","z0044432b",32,336
"39","z0045347",326,42
"40","z0045398",327,41
"41","z0045407",324,44
"42","z0046925",242,126
"43","z0051326",327,41
"44","z0051328",324,44
"45","z0051380",329,39
"46","z0051405",331,37
"47","z0051875",212,156
"48","z0051895",328,40
"49","z0051918",328,40
"50","z0051929",327,41
"51","z0051959",323,45
"52","z0053025",320,48
"53","z0053055",328,40
"54","z0053082",323,45
"55","z0053096",335,33
"56","z0053101",329,39
"57","z0053133",330,38
"58","z0053138",331,37
"59","z0053149",329,39
"60","z0053149b",6,362
"61","z0053756",327,41
"62","z0053757",9,359
"63","z0053760",327,41
"64","z0053842",321,47
"65","z0053845",108,260
"66","z0053846",321,47
"67","z0053846b",29,339
"68","z0056034",326,42
"69","z0056064",330,38
"70","z0056065",331,37
"71","z0056069",330,38
"72","z0056073",331,37
"73","z0056374",311,57
"74","z0056389",326,42
"75","z0061527",327,41
"76","z0061969",329,39
"77","z0061982",11,357
"78","z0066805",325,43
"79","z0107078",331,37
"80","z0108510",328,40
"81","z0108513",328,40
"82","z0108513b",11,357
"83","z0113628",324,44
"84","z0146087",270,98
"85","z0175378",333,35
"86","z0175912",317,51
"87","z0175915",329,39
"88","z0175916",321,47
"89","z0175927",332,36
"90","z0187811",329,39
"91","z0187857",320,48
"92","z0187859",328,40
"93","z0187911",318,50
"94","z0195258",327,41
"95","z0195643",322,46
"96","z0195647",2,366
"97","z0195648",324,44
"98","z0195649",124,244
"99","z0195653",325,43
"100","z0195655",332,36
"101","z0195657",281,87
"102","z0195659",280,88
"103","z0195663",327,41
"104","z0195664",330,38
"105","z0195668",318,50
"106","z0195670",321,47
"107","z0195671",319,49
"108","z0195672",319,49
"109","z0195673",325,43
"110","z0195675",311,57
"111","z0195678",325,43
"112","z0195682",319,49
"113","z0195683",326,42
"114","z0195684",318,50
"115","z0195688",330,38
"116","z0195689",319,49
"117","z0195691",331,37
"118","z0195693",324,44
"119","z0195705",317,51
"120","z0195705b",284,84
"121","z0195736",321,47
"122","z0195751",326,42
"123","z0195751b",1,367
"124","z0195755",326,42
"125","z0195756",326,42
"126","z0195762",322,46
"127","z0195767",328,40
"128","z0195770",187,181
"129","z0195771",322,46
"130","z0195772",328,40
"131","z0195773",320,48
"132","z0195776",319,49
"133","z0195777",318,50
"134","z0195778",327,41
"135","z0195784",327,41
"136","z0195791",327,41
"137","z0196805",325,43
"138","z0196810",327,41
"139","z0196811",324,44
"140","z0196828",329,39
"141","z0196828b",44,324
"142","z0196829",330,38
"143","z0196838",324,44
"144","z0196839",324,44
"145","z0196846",323,45
"146","z0196847",329,39
"147","z0196851",326,42
"148","z0196887",328,40
"149","z0196891",324,44
"150","z0196894",327,41
"151","z0197660",319,49
"152","z0197664",330,38
"153","z0197682",224,144
"154","z0207777",206,162
"155","z0207778",327,41
