"","locus","genos","num.haps"
"1","Mnov_gtseq_1",130,3
"2","Mnov_gtseq_10",110,3
"3","Mnov_gtseq_102",105,3
"4","Mnov_gtseq_104",126,3
"5","Mnov_gtseq_106",39,3
"6","Mnov_gtseq_107",16,2
"7","Mnov_gtseq_108",18,3
"8","Mnov_gtseq_111",45,3
"9","Mnov_gtseq_112",119,3
"10","Mnov_gtseq_113",88,3
"11","Mnov_gtseq_114",63,4
"12","Mnov_gtseq_117",36,3
"13","Mnov_gtseq_118",103,3
"14","Mnov_gtseq_12",118,3
"15","Mnov_gtseq_124",103,3
"16","Mnov_gtseq_125",127,3
"17","Mnov_gtseq_126",127,3
"18","Mnov_gtseq_127",81,3
"19","Mnov_gtseq_128",22,3
"20","Mnov_gtseq_129",117,3
"21","Mnov_gtseq_13",128,3
"22","Mnov_gtseq_130",79,3
"23","Mnov_gtseq_134",8,3
"24","Mnov_gtseq_135",123,3
"25","Mnov_gtseq_137",2,2
"26","Mnov_gtseq_138",130,3
"27","Mnov_gtseq_140",128,3
"28","Mnov_gtseq_141",125,3
"29","Mnov_gtseq_143",111,3
"30","Mnov_gtseq_145",122,3
"31","Mnov_gtseq_146",17,3
"32","Mnov_gtseq_147",20,3
"33","Mnov_gtseq_148",83,3
"34","Mnov_gtseq_149",110,3
"35","Mnov_gtseq_15",126,3
"36","Mnov_gtseq_152",110,3
"37","Mnov_gtseq_154",107,3
"38","Mnov_gtseq_155",95,3
"39","Mnov_gtseq_157",127,3
"40","Mnov_gtseq_158",126,3
"41","Mnov_gtseq_159",37,3
"42","Mnov_gtseq_16",123,3
"43","Mnov_gtseq_160",119,3
"44","Mnov_gtseq_161",92,3
"45","Mnov_gtseq_162",120,3
"46","Mnov_gtseq_167",128,3
"47","Mnov_gtseq_168",21,3
"48","Mnov_gtseq_17",119,3
"49","Mnov_gtseq_170",129,3
"50","Mnov_gtseq_171",15,3
"51","Mnov_gtseq_173",62,3
"52","Mnov_gtseq_174",98,3
"53","Mnov_gtseq_177",3,2
"54","Mnov_gtseq_178",10,2
"55","Mnov_gtseq_180",87,3
"56","Mnov_gtseq_181",20,2
"57","Mnov_gtseq_182",73,3
"58","Mnov_gtseq_186",83,3
"59","Mnov_gtseq_187",69,3
"60","Mnov_gtseq_188",76,3
"61","Mnov_gtseq_189",84,3
"62","Mnov_gtseq_19",131,2
"63","Mnov_gtseq_190",129,3
"64","Mnov_gtseq_191",62,3
"65","Mnov_gtseq_192",31,2
"66","Mnov_gtseq_193",130,3
"67","Mnov_gtseq_195",127,3
"68","Mnov_gtseq_196",126,3
"69","Mnov_gtseq_197",127,6
"70","Mnov_gtseq_2",131,3
"71","Mnov_gtseq_200",91,3
"72","Mnov_gtseq_201",132,3
"73","Mnov_gtseq_202",128,3
"74","Mnov_gtseq_204",85,3
"75","Mnov_gtseq_205",132,5
"76","Mnov_gtseq_208",124,3
"77","Mnov_gtseq_209",128,3
"78","Mnov_gtseq_21",127,3
"79","Mnov_gtseq_210",102,3
"80","Mnov_gtseq_213",74,3
"81","Mnov_gtseq_214",85,3
"82","Mnov_gtseq_215",129,3
"83","Mnov_gtseq_216",110,3
"84","Mnov_gtseq_218",130,3
"85","Mnov_gtseq_22",104,3
"86","Mnov_gtseq_220",126,3
"87","Mnov_gtseq_222",75,3
"88","Mnov_gtseq_223",96,3
"89","Mnov_gtseq_225",128,3
"90","Mnov_gtseq_227",123,3
"91","Mnov_gtseq_229",117,3
"92","Mnov_gtseq_230",68,3
"93","Mnov_gtseq_231",62,1
"94","Mnov_gtseq_232",128,3
"95","Mnov_gtseq_234",66,3
"96","Mnov_gtseq_235",124,3
"97","Mnov_gtseq_237",129,3
"98","Mnov_gtseq_238",127,3
"99","Mnov_gtseq_239",122,3
"100","Mnov_gtseq_240",121,3
"101","Mnov_gtseq_241",132,3
"102","Mnov_gtseq_243",128,3
"103","Mnov_gtseq_244",126,3
"104","Mnov_gtseq_245",46,3
"105","Mnov_gtseq_246",128,3
"106","Mnov_gtseq_247",91,3
"107","Mnov_gtseq_248",128,3
"108","Mnov_gtseq_25",114,3
"109","Mnov_gtseq_250",81,3
"110","Mnov_gtseq_251",116,3
"111","Mnov_gtseq_253",47,3
"112","Mnov_gtseq_254",130,3
"113","Mnov_gtseq_255",126,3
"114","Mnov_gtseq_257",125,3
"115","Mnov_gtseq_258",123,3
"116","Mnov_gtseq_26",132,2
"117","Mnov_gtseq_260",127,3
"118","Mnov_gtseq_261",113,3
"119","Mnov_gtseq_262",97,3
"120","Mnov_gtseq_263",127,3
"121","Mnov_gtseq_265",128,3
"122","Mnov_gtseq_268",131,3
"123","Mnov_gtseq_269",104,3
"124","Mnov_gtseq_270",45,3
"125","Mnov_gtseq_271",85,3
"126","Mnov_gtseq_273",97,3
"127","Mnov_gtseq_274",123,3
"128","Mnov_gtseq_275",43,3
"129","Mnov_gtseq_277",132,3
"130","Mnov_gtseq_278",123,3
"131","Mnov_gtseq_28",129,3
"132","Mnov_gtseq_281",108,3
"133","Mnov_gtseq_284",130,3
"134","Mnov_gtseq_285",129,3
"135","Mnov_gtseq_287",131,3
"136","Mnov_gtseq_288",48,3
"137","Mnov_gtseq_289",119,3
"138","Mnov_gtseq_297",127,3
"139","Mnov_gtseq_298",9,3
"140","Mnov_gtseq_299",118,3
"141","Mnov_gtseq_3",34,1
"142","Mnov_gtseq_30",63,4
"143","Mnov_gtseq_300",112,5
"144","Mnov_gtseq_301",89,7
"145","Mnov_gtseq_304",33,3
"146","Mnov_gtseq_305",59,3
"147","Mnov_gtseq_307",114,3
"148","Mnov_gtseq_308",131,3
"149","Mnov_gtseq_309",96,6
"150","Mnov_gtseq_310",54,2
"151","Mnov_gtseq_311",98,3
"152","Mnov_gtseq_312",112,3
"153","Mnov_gtseq_313",111,3
"154","Mnov_gtseq_314",121,3
"155","Mnov_gtseq_315",116,3
"156","Mnov_gtseq_317",22,3
"157","Mnov_gtseq_318",93,3
"158","Mnov_gtseq_320",72,3
"159","Mnov_gtseq_321",130,3
"160","Mnov_gtseq_322",97,3
"161","Mnov_gtseq_323",124,3
"162","Mnov_gtseq_324",11,2
"163","Mnov_gtseq_326",92,3
"164","Mnov_gtseq_327",96,3
"165","Mnov_gtseq_328",130,3
"166","Mnov_gtseq_33",128,3
"167","Mnov_gtseq_332",65,3
"168","Mnov_gtseq_333",102,3
"169","Mnov_gtseq_334",130,3
"170","Mnov_gtseq_335",131,3
"171","Mnov_gtseq_337",31,6
"172","Mnov_gtseq_338",112,3
"173","Mnov_gtseq_339",117,3
"174","Mnov_gtseq_340",99,3
"175","Mnov_gtseq_341",130,3
"176","Mnov_gtseq_342",69,3
"177","Mnov_gtseq_344",125,3
"178","Mnov_gtseq_345",124,3
"179","Mnov_gtseq_347",108,3
"180","Mnov_gtseq_350",18,3
"181","Mnov_gtseq_352",93,3
"182","Mnov_gtseq_353",115,3
"183","Mnov_gtseq_354",44,3
"184","Mnov_gtseq_355",6,3
"185","Mnov_gtseq_356",97,3
"186","Mnov_gtseq_357",85,3
"187","Mnov_gtseq_359",36,2
"188","Mnov_gtseq_360",70,3
"189","Mnov_gtseq_361",43,3
"190","Mnov_gtseq_363",113,3
"191","Mnov_gtseq_364",39,3
"192","Mnov_gtseq_366",109,3
"193","Mnov_gtseq_368",84,3
"194","Mnov_gtseq_37",110,3
"195","Mnov_gtseq_370",116,3
"196","Mnov_gtseq_371",72,3
"197","Mnov_gtseq_372",96,3
"198","Mnov_gtseq_373",86,3
"199","Mnov_gtseq_374",46,3
"200","Mnov_gtseq_376",121,1
"201","Mnov_gtseq_377",64,3
"202","Mnov_gtseq_378",122,3
"203","Mnov_gtseq_379",122,3
"204","Mnov_gtseq_38",123,3
"205","Mnov_gtseq_380",93,3
"206","Mnov_gtseq_383",93,3
"207","Mnov_gtseq_384",86,3
"208","Mnov_gtseq_386",53,3
"209","Mnov_gtseq_388",30,3
"210","Mnov_gtseq_39",128,3
"211","Mnov_gtseq_390",97,3
"212","Mnov_gtseq_391",84,3
"213","Mnov_gtseq_394",104,3
"214","Mnov_gtseq_397",103,3
"215","Mnov_gtseq_398",116,3
"216","Mnov_gtseq_399",126,3
"217","Mnov_gtseq_40",127,3
"218","Mnov_gtseq_400",45,3
"219","Mnov_gtseq_401",109,3
