"","locus","genos","num.haps"
"1","Mnov_gtseq_1",130,3
"2","Mnov_gtseq_10",119,3
"3","Mnov_gtseq_102",114,3
"4","Mnov_gtseq_104",128,3
"5","Mnov_gtseq_106",69,3
"6","Mnov_gtseq_107",31,2
"7","Mnov_gtseq_108",40,3
"8","Mnov_gtseq_111",81,4
"9","Mnov_gtseq_112",126,3
"10","Mnov_gtseq_113",104,3
"11","Mnov_gtseq_114",88,5
"12","Mnov_gtseq_117",63,3
"13","Mnov_gtseq_118",118,3
"14","Mnov_gtseq_12",123,3
"15","Mnov_gtseq_124",114,3
"16","Mnov_gtseq_125",130,3
"17","Mnov_gtseq_126",127,3
"18","Mnov_gtseq_127",89,4
"19","Mnov_gtseq_128",38,3
"20","Mnov_gtseq_129",123,3
"21","Mnov_gtseq_13",130,3
"22","Mnov_gtseq_130",98,3
"23","Mnov_gtseq_134",20,3
"24","Mnov_gtseq_135",127,3
"25","Mnov_gtseq_137",6,2
"26","Mnov_gtseq_138",131,3
"27","Mnov_gtseq_140",128,3
"28","Mnov_gtseq_141",125,3
"29","Mnov_gtseq_143",118,3
"30","Mnov_gtseq_145",124,3
"31","Mnov_gtseq_146",26,3
"32","Mnov_gtseq_147",46,3
"33","Mnov_gtseq_148",101,4
"34","Mnov_gtseq_149",118,3
"35","Mnov_gtseq_15",127,3
"36","Mnov_gtseq_152",119,3
"37","Mnov_gtseq_154",114,3
"38","Mnov_gtseq_155",99,3
"39","Mnov_gtseq_157",128,3
"40","Mnov_gtseq_158",126,3
"41","Mnov_gtseq_159",53,3
"42","Mnov_gtseq_16",125,3
"43","Mnov_gtseq_160",125,3
"44","Mnov_gtseq_161",106,3
"45","Mnov_gtseq_162",124,3
"46","Mnov_gtseq_167",130,3
"47","Mnov_gtseq_168",37,3
"48","Mnov_gtseq_17",120,3
"49","Mnov_gtseq_170",129,3
"50","Mnov_gtseq_171",30,3
"51","Mnov_gtseq_173",75,3
"52","Mnov_gtseq_174",113,3
"53","Mnov_gtseq_177",9,3
"54","Mnov_gtseq_178",23,3
"55","Mnov_gtseq_180",103,3
"56","Mnov_gtseq_181",37,2
"57","Mnov_gtseq_182",86,3
"58","Mnov_gtseq_186",88,3
"59","Mnov_gtseq_187",87,3
"60","Mnov_gtseq_188",96,3
"61","Mnov_gtseq_189",96,3
"62","Mnov_gtseq_19",131,2
"63","Mnov_gtseq_190",129,3
"64","Mnov_gtseq_191",79,3
"65","Mnov_gtseq_192",54,3
"66","Mnov_gtseq_193",130,3
"67","Mnov_gtseq_195",127,3
"68","Mnov_gtseq_196",127,3
"69","Mnov_gtseq_197",127,6
"70","Mnov_gtseq_2",131,3
"71","Mnov_gtseq_200",106,4
"72","Mnov_gtseq_201",132,3
"73","Mnov_gtseq_202",129,3
"74","Mnov_gtseq_204",95,3
"75","Mnov_gtseq_205",132,5
"76","Mnov_gtseq_208",127,3
"77","Mnov_gtseq_209",128,3
"78","Mnov_gtseq_21",129,3
"79","Mnov_gtseq_210",113,3
"80","Mnov_gtseq_213",90,3
"81","Mnov_gtseq_214",99,3
"82","Mnov_gtseq_215",129,3
"83","Mnov_gtseq_216",118,3
"84","Mnov_gtseq_218",131,3
"85","Mnov_gtseq_22",112,3
"86","Mnov_gtseq_220",127,3
"87","Mnov_gtseq_222",91,3
"88","Mnov_gtseq_223",108,3
"89","Mnov_gtseq_225",128,3
"90","Mnov_gtseq_227",123,3
"91","Mnov_gtseq_229",118,3
"92","Mnov_gtseq_230",89,3
"93","Mnov_gtseq_231",84,1
"94","Mnov_gtseq_232",129,3
"95","Mnov_gtseq_234",82,5
"96","Mnov_gtseq_235",124,3
"97","Mnov_gtseq_237",130,3
"98","Mnov_gtseq_238",128,3
"99","Mnov_gtseq_239",125,4
"100","Mnov_gtseq_240",124,3
"101","Mnov_gtseq_241",132,3
"102","Mnov_gtseq_243",128,3
"103","Mnov_gtseq_244",127,3
"104","Mnov_gtseq_245",66,3
"105","Mnov_gtseq_246",129,3
"106","Mnov_gtseq_247",101,3
"107","Mnov_gtseq_248",128,3
"108","Mnov_gtseq_25",119,3
"109","Mnov_gtseq_250",97,3
"110","Mnov_gtseq_251",119,3
"111","Mnov_gtseq_253",69,3
"112","Mnov_gtseq_254",130,3
"113","Mnov_gtseq_255",126,3
"114","Mnov_gtseq_257",125,3
"115","Mnov_gtseq_258",128,3
"116","Mnov_gtseq_26",132,2
"117","Mnov_gtseq_260",130,3
"118","Mnov_gtseq_261",120,3
"119","Mnov_gtseq_262",112,3
"120","Mnov_gtseq_263",128,3
"121","Mnov_gtseq_265",128,3
"122","Mnov_gtseq_268",131,3
"123","Mnov_gtseq_269",108,3
"124","Mnov_gtseq_270",64,3
"125","Mnov_gtseq_271",94,3
"126","Mnov_gtseq_273",111,3
"127","Mnov_gtseq_274",127,3
"128","Mnov_gtseq_275",64,3
"129","Mnov_gtseq_277",132,3
"130","Mnov_gtseq_278",125,3
"131","Mnov_gtseq_28",129,3
"132","Mnov_gtseq_281",122,3
"133","Mnov_gtseq_284",130,3
"134","Mnov_gtseq_285",129,3
"135","Mnov_gtseq_287",131,3
"136","Mnov_gtseq_288",59,3
"137","Mnov_gtseq_289",123,3
"138","Mnov_gtseq_297",127,3
"139","Mnov_gtseq_298",19,3
"140","Mnov_gtseq_299",122,3
"141","Mnov_gtseq_3",38,1
"142","Mnov_gtseq_30",75,4
"143","Mnov_gtseq_300",112,5
"144","Mnov_gtseq_301",102,9
"145","Mnov_gtseq_304",49,4
