"","labID","genos","missing"
"1","z0005757",265,73
"2","z0005758",287,51
"3","z0016577",294,44
"4","z0029828",276,62
"5","z0029831",273,65
"6","z0029860",276,62
"7","z0029863",306,32
"8","z0037611",241,97
"9","z0040308",262,76
"10","z0040387",256,82
"11","z0041243",301,37
"12","z0041248",279,59
"13","z0041250",304,34
"14","z0041274",260,78
"15","z0041519",302,36
"16","z0043243",260,78
"17","z0043278",311,27
"18","z0043489",313,25
"19","z0043494",298,40
"20","z0043496",275,63
"21","z0043498",282,56
"22","z0043566",264,74
"23","z0043599",255,83
"24","z0043627",208,130
"25","z0043650",305,33
"26","z0043668",250,88
"27","z0043674",292,46
"28","z0043693",303,35
"29","z0043819",265,73
"30","z0043994",309,29
"31","z0044023",278,60
"32","z0044033",301,37
"33","z0044432",309,29
"34","z0045347",234,104
"35","z0045398",298,40
"36","z0045407",235,103
"37","z0051326",298,40
"38","z0051380",304,34
"39","z0051875",292,46
"40","z0051895",308,30
"41","z0051918",304,34
"42","z0051929",265,73
"43","z0051959",214,124
"44","z0053025",262,76
"45","z0053055",197,141
"46","z0053082",203,135
"47","z0053096",315,23
"48","z0053101",307,31
"49","z0053133",270,68
"50","z0053138",311,27
"51","z0053149",245,93
"52","z0053757",285,53
"53","z0053760",275,63
"54","z0053842",302,36
"55","z0053846",264,74
"56","z0056034",289,49
"57","z0056064",299,39
"58","z0056065",298,40
"59","z0056069",270,68
"60","z0056073",276,62
"61","z0056089",240,98
"62","z0056374",287,51
"63","z0056389",285,53
"64","z0061969",282,56
"65","z0066805",256,82
"66","z0107078",260,78
"67","z0108513",292,46
"68","z0175378",273,65
"69","z0175915",282,56
"70","z0175916",276,62
"71","z0175927",273,65
"72","z0187857",301,37
"73","z0187859",279,59
"74","z0187911",255,83
"75","z0195258",300,38
"76","z0195643",287,51
"77","z0195647",255,83
"78","z0195648",221,117
"79","z0195653",265,73
"80","z0195655",252,86
"81","z0195657",262,76
"82","z0195659",265,73
"83","z0195663",257,81
"84","z0195664",189,149
"85","z0195665",204,134
"86","z0195668",293,45
"87","z0195670",191,147
"88","z0195671",199,139
"89","z0195672",186,152
"90","z0195673",281,57
"91","z0195674",214,124
"92","z0195675",232,106
"93","z0195678",188,150
"94","z0195682",236,102
"95","z0195683",267,71
"96","z0195684",173,165
"97","z0195688",273,65
"98","z0195689",251,87
"99","z0195691",244,94
"100","z0195693",250,88
"101","z0195705",307,31
"102","z0195736",298,40
"103","z0195751",210,128
"104","z0195755",279,59
"105","z0195756",205,133
"106","z0195762",285,53
"107","z0195767",258,80
"108","z0195770",219,119
"109","z0195771",207,131
"110","z0195772",232,106
"111","z0195773",299,39
"112","z0195776",211,127
"113","z0195777",302,36
"114","z0195778",263,75
"115","z0195784",309,29
"116","z0195791",302,36
"117","z0196805",248,90
"118","z0196810",284,54
"119","z0196811",302,36
"120","z0196828",307,31
"121","z0196829",319,19
"122","z0196838",301,37
"123","z0196839",281,57
"124","z0196846",269,69
"125","z0196847",303,35
"126","z0196851",295,43
"127","z0196887",305,33
"128","z0196891",295,43
"129","z0196894",263,75
"130","z0197660",260,78
"131","z0197664",287,51
"132","z0197682",308,30
