"","labID","genos","missing"
"1","z0005757",247,91
"2","z0005758",280,58
"3","z0016577",286,52
"4","z0029828",263,75
"5","z0029831",255,83
"6","z0029860",263,75
"7","z0029863",297,41
"8","z0037611",221,117
"9","z0040308",248,90
"10","z0040387",235,103
"11","z0041243",294,44
"12","z0041248",257,81
"13","z0041250",295,43
"14","z0041274",250,88
"15","z0041519",296,42
"16","z0043243",244,94
"17","z0043278",309,29
"18","z0043489",304,34
"19","z0043494",291,47
"20","z0043496",268,70
"21","z0043498",264,74
"22","z0043566",251,87
"23","z0043599",237,101
"24","z0043627",181,157
"25","z0043650",300,38
"26","z0043668",235,103
"27","z0043674",283,55
"28","z0043693",297,41
"29","z0043819",244,94
"30","z0043994",301,37
"31","z0044023",272,66
"32","z0044033",288,50
"33","z0044432",305,33
"34","z0045347",207,131
"35","z0045398",292,46
"36","z0045407",208,130
"37","z0051326",290,48
"38","z0051380",298,40
"39","z0051875",287,51
"40","z0051895",301,37
"41","z0051918",291,47
"42","z0051929",248,90
"43","z0051959",183,155
"44","z0053025",247,91
"45","z0053055",180,158
"46","z0053082",168,170
"47","z0053096",309,29
"48","z0053101",301,37
"49","z0053133",259,79
"50","z0053138",307,31
"51","z0053149",218,120
"52","z0053757",277,61
"53","z0053760",259,79
"54","z0053842",297,41
"55","z0053846",255,83
"56","z0056034",274,64
"57","z0056064",290,48
"58","z0056065",287,51
"59","z0056069",249,89
"60","z0056073",272,66
"61","z0056089",213,125
"62","z0056374",270,68
"63","z0056389",277,61
"64","z0061969",273,65
"65","z0066805",239,99
"66","z0107078",238,100
"67","z0108513",287,51
"68","z0175378",257,81
"69","z0175915",264,74
"70","z0175916",263,75
"71","z0175927",266,72
"72","z0187857",294,44
"73","z0187859",268,70
"74","z0187911",240,98
"75","z0195258",290,48
"76","z0195643",278,60
"77","z0195647",236,102
"78","z0195648",200,138
"79","z0195653",247,91
"80","z0195655",236,102
"81","z0195657",255,83
"82","z0195659",254,84
"83","z0195663",243,95
"84","z0195664",173,165
"85","z0195665",181,157
"86","z0195668",283,55
"87","z0195670",168,170
"88","z0195671",183,155
"89","z0195672",154,184
"90","z0195673",270,68
"91","z0195674",190,148
"92","z0195675",223,115
"93","z0195678",175,163
"94","z0195682",229,109
"95","z0195683",252,86
"96","z0195684",153,185
"97","z0195688",262,76
"98","z0195689",233,105
"99","z0195691",219,119
"100","z0195693",232,106
"101","z0195705",300,38
"102","z0195736",292,46
"103","z0195751",184,154
"104","z0195755",269,69
"105","z0195756",184,154
"106","z0195762",274,64
"107","z0195767",244,94
"108","z0195770",195,143
"109","z0195771",180,158
"110","z0195772",202,136
"111","z0195773",291,47
"112","z0195776",190,148
"113","z0195777",295,43
"114","z0195778",247,91
"115","z0195784",301,37
"116","z0195791",291,47
"117","z0196805",236,102
"118","z0196810",267,71
"119","z0196811",297,41
"120","z0196828",303,35
"121","z0196829",317,21
"122","z0196838",288,50
"123","z0196839",266,72
"124","z0196846",255,83
"125","z0196847",295,43
"126","z0196851",287,51
"127","z0196887",298,40
"128","z0196891",283,55
"129","z0196894",262,76
"130","z0197660",239,99
"131","z0197664",275,63
"132","z0197682",302,36
