"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"1","Mnov_gtseq_1",583,3,2,1,1,1,1
"2","Mnov_gtseq_10",567,3,2,1,1,1,1
"3","Mnov_gtseq_102",561,3,2,1,1,1,1
"4","Mnov_gtseq_104",572,3,2,1,1,1,1
"5","Mnov_gtseq_106",479,4,2,2,1,1,1
"6","Mnov_gtseq_107",359,3,2,1,1,1,1
"7","Mnov_gtseq_112",553,3,2,1,1,1,1
"8","Mnov_gtseq_113",556,3,2,1,1,1,1
"9","Mnov_gtseq_114",527,8,3,3,1,1,1
"10","Mnov_gtseq_117",421,3,2,1,1,1,1
"11","Mnov_gtseq_118",516,3,2,1,1,1,1
"12","Mnov_gtseq_12",557,3,2,1,1,1,1
"13","Mnov_gtseq_124",547,7,2,2,2,1,1
"14","Mnov_gtseq_125",558,6,2,2,1,1,1
"15","Mnov_gtseq_126",571,3,2,1,1,1,1
"16","Mnov_gtseq_127",532,3,2,1,1,1,1
"17","Mnov_gtseq_128",388,3,2,1,1,1,1
"18","Mnov_gtseq_129",554,6,2,2,1,1,1
"19","Mnov_gtseq_13",574,6,2,2,1,1,1
"20","Mnov_gtseq_130",408,3,2,1,1,1,1
"21","Mnov_gtseq_135",566,4,3,3,1,1,1
"22","Mnov_gtseq_138",572,6,2,2,1,1,1
"23","Mnov_gtseq_140",572,3,2,1,1,1,1
"24","Mnov_gtseq_141",573,3,2,1,1,1,1
"25","Mnov_gtseq_143",548,3,2,1,1,1,1
"26","Mnov_gtseq_145",553,3,2,1,1,1,1
"27","Mnov_gtseq_147",408,6,2,2,1,1,1
"28","Mnov_gtseq_148",512,7,2,2,2,1,1
"29","Mnov_gtseq_149",561,3,2,1,1,1,1
"30","Mnov_gtseq_15",570,3,2,1,1,1,1
"31","Mnov_gtseq_152",560,3,2,1,1,1,1
"32","Mnov_gtseq_154",549,6,2,2,1,1,1
"33","Mnov_gtseq_157",573,3,2,1,1,1,1
"34","Mnov_gtseq_158",580,3,2,1,1,1,1
"35","Mnov_gtseq_159",443,6,2,2,1,1,1
"36","Mnov_gtseq_16",568,3,2,1,1,1,1
"37","Mnov_gtseq_160",546,3,2,1,1,1,1
"38","Mnov_gtseq_161",554,3,2,1,1,1,1
"39","Mnov_gtseq_162",564,6,2,2,1,1,1
"40","Mnov_gtseq_167",565,5,2,2,1,1,1
"41","Mnov_gtseq_17",567,3,2,1,1,1,1
"42","Mnov_gtseq_170",575,3,2,1,1,1,1
"43","Mnov_gtseq_171",347,6,2,2,1,1,1
"44","Mnov_gtseq_173",448,7,2,2,2,1,1
"45","Mnov_gtseq_174",549,3,2,1,1,1,1
