"","locus","genos","num.haps"
"1","Mnov_gtseq_1",592,3
"2","Mnov_gtseq_10",544,3
"3","Mnov_gtseq_102",529,3
"4","Mnov_gtseq_104",569,3
"5","Mnov_gtseq_106",431,3
"6","Mnov_gtseq_107",361,3
"7","Mnov_gtseq_108",297,3
"8","Mnov_gtseq_111",425,3
"9","Mnov_gtseq_112",539,3
"10","Mnov_gtseq_113",510,3
"11","Mnov_gtseq_114",458,3
"12","Mnov_gtseq_117",410,3
"13","Mnov_gtseq_118",503,3
"14","Mnov_gtseq_12",545,3
"15","Mnov_gtseq_124",524,3
"16","Mnov_gtseq_125",565,3
"17","Mnov_gtseq_126",574,3
"18","Mnov_gtseq_127",484,3
"19","Mnov_gtseq_128",371,3
"20","Mnov_gtseq_129",551,3
"21","Mnov_gtseq_13",578,3
"22","Mnov_gtseq_130",469,3
"23","Mnov_gtseq_134",214,3
"24","Mnov_gtseq_135",563,3
"25","Mnov_gtseq_137",85,3
"26","Mnov_gtseq_138",579,3
"27","Mnov_gtseq_140",595,3
"28","Mnov_gtseq_141",575,3
"29","Mnov_gtseq_143",537,3
"30","Mnov_gtseq_145",556,3
"31","Mnov_gtseq_146",71,3
"32","Mnov_gtseq_147",382,3
"33","Mnov_gtseq_148",481,3
"34","Mnov_gtseq_149",532,3
"35","Mnov_gtseq_15",565,3
"36","Mnov_gtseq_152",540,3
"37","Mnov_gtseq_154",518,3
"38","Mnov_gtseq_155",371,3
"39","Mnov_gtseq_157",604,3
"40","Mnov_gtseq_158",592,3
"41","Mnov_gtseq_159",418,3
"42","Mnov_gtseq_16",562,3
"43","Mnov_gtseq_160",550,3
"44","Mnov_gtseq_161",518,3
"45","Mnov_gtseq_162",553,3
"46","Mnov_gtseq_167",572,3
"47","Mnov_gtseq_168",260,3
"48","Mnov_gtseq_17",549,3
"49","Mnov_gtseq_170",572,3
"50","Mnov_gtseq_171",354,3
"51","Mnov_gtseq_173",408,3
"52","Mnov_gtseq_174",511,3
"53","Mnov_gtseq_177",86,3
"54","Mnov_gtseq_178",332,3
"55","Mnov_gtseq_180",489,3
"56","Mnov_gtseq_181",262,3
"57","Mnov_gtseq_182",470,3
"58","Mnov_gtseq_186",465,3
"59","Mnov_gtseq_187",460,3
"60","Mnov_gtseq_188",474,3
"61","Mnov_gtseq_189",492,3
"62","Mnov_gtseq_19",614,3
"63","Mnov_gtseq_190",589,3
"64","Mnov_gtseq_191",395,3
"65","Mnov_gtseq_192",419,3
"66","Mnov_gtseq_193",602,3
"67","Mnov_gtseq_195",603,3
"68","Mnov_gtseq_196",578,3
"69","Mnov_gtseq_197",576,6
"70","Mnov_gtseq_2",577,3
"71","Mnov_gtseq_200",515,3
"72","Mnov_gtseq_201",602,3
"73","Mnov_gtseq_202",574,3
"74","Mnov_gtseq_204",495,3
"75","Mnov_gtseq_205",607,6
"76","Mnov_gtseq_208",558,3
"77","Mnov_gtseq_209",582,3
"78","Mnov_gtseq_21",585,3
"79","Mnov_gtseq_210",520,3
"80","Mnov_gtseq_213",494,3
"81","Mnov_gtseq_214",496,3
"82","Mnov_gtseq_215",589,3
"83","Mnov_gtseq_216",542,3
"84","Mnov_gtseq_218",582,3
"85","Mnov_gtseq_22",521,3
"86","Mnov_gtseq_220",572,3
"87","Mnov_gtseq_222",445,3
"88","Mnov_gtseq_223",516,3
