Ind.ID origin.pop pred.pop CentAm-CA.OR.WA HI-WA.SBC MnMx-CA.OR.WA
CentAm-CA.OR.WA_z0018264 CentAm-CA.OR.WA CentAm-CA.OR.WA 0.56146583693237 0.410836012646832 0.0276981504207982
CentAm-CA.OR.WA_z0029863 CentAm-CA.OR.WA HI-WA.SBC 0.323781765141559 0.622791488828459 0.0534267460299821
CentAm-CA.OR.WA_z0045331 CentAm-CA.OR.WA HI-WA.SBC 0.160778718043634 0.820959469882552 0.0182618120738145
CentAm-CA.OR.WA_z0045332 CentAm-CA.OR.WA HI-WA.SBC 0.240552302734829 0.736784915729883 0.0226627815352888
CentAm-CA.OR.WA_z0045342 CentAm-CA.OR.WA HI-WA.SBC 0.418060702753277 0.578202395042752 0.00373690220397092
CentAm-CA.OR.WA_z0045370 CentAm-CA.OR.WA HI-WA.SBC 0.223163811462523 0.771779875308141 0.00505631322933583
CentAm-CA.OR.WA_z0051929 CentAm-CA.OR.WA CentAm-CA.OR.WA 0.490733334845587 0.445020328828784 0.0642463363256284
CentAm-CA.OR.WA_z0053758 CentAm-CA.OR.WA HI-WA.SBC 0.254698559890226 0.744749903717616 0.000551536392157718
CentAm-CA.OR.WA_z0053843 CentAm-CA.OR.WA HI-WA.SBC 0.378800147383849 0.614861597305369 0.00633825531078253
CentAm-CA.OR.WA_z0056391 CentAm-CA.OR.WA CentAm-CA.OR.WA 0.687363190659257 0.306105918269685 0.00653089107105807
CentAm-CA.OR.WA_z0066805 CentAm-CA.OR.WA HI-WA.SBC 0.40527007898677 0.586385594343862 0.00834432666936808
CentAm-CA.OR.WA_z0196746 CentAm-CA.OR.WA CentAm-CA.OR.WA 0.62550295108621 0.358844088278247 0.0156529606355424
CentAm-CA.OR.WA_z0196758 CentAm-CA.OR.WA CentAm-CA.OR.WA 0.724188973463435 0.242414606311498 0.0333964202250677
CentAm-CA.OR.WA_z0196804 CentAm-CA.OR.WA CentAm-CA.OR.WA 0.507269320101035 0.489525669604232 0.00320501029473297
CentAm-CA.OR.WA_z0196810 CentAm-CA.OR.WA HI-WA.SBC 0.386826464889104 0.604138216283649 0.00903531882724671
CentAm-CA.OR.WA_z0197662 CentAm-CA.OR.WA HI-WA.SBC 0.254408035136513 0.712930525852855 0.0326614390106325
HI-WA.SBC_z0051888 MnMx-CA.OR.WA HI-WA.SBC 0.111337795510289 0.870303392381024 0.0183588121086875
MnMx-CA.OR.WA_z0045371 HI-WA.SBC CentAm-CA.OR.WA 0.579878271033839 0.366471451362252 0.0536502776039093
MnMx-CA.OR.WA_z0045398 HI-WA.SBC HI-WA.SBC 0.258626940574677 0.679232573566784 0.0621404858585398
MnMx-CA.OR.WA_z0045399 HI-WA.SBC HI-WA.SBC 0.29185724177214 0.690918014810299 0.0172247434175613
MnMx-CA.OR.WA_z0045793 HI-WA.SBC HI-WA.SBC 0.220467832429079 0.759812465969037 0.0197197016018844
MnMx-CA.OR.WA_z0051400 HI-WA.SBC HI-WA.SBC 0.488013410471389 0.496518966753171 0.01546762277544
MnMx-CA.OR.WA_z0051431 HI-WA.SBC HI-WA.SBC 0.0820371505219817 0.910378785277125 0.00758406420089297
MnMx-CA.OR.WA_z0051885 HI-WA.SBC HI-WA.SBC 0.367870144635246 0.616965862064792 0.0151639932999618
MnMx-CA.OR.WA_z0051939 HI-WA.SBC HI-WA.SBC 0.185407476974122 0.808313753799578 0.00627876922630072
MnMx-CA.OR.WA_z0051959 HI-WA.SBC CentAm-CA.OR.WA 0.57944075446675 0.350157125764327 0.0704021197689224
MnMx-CA.OR.WA_z0107099 HI-WA.SBC HI-WA.SBC 0.432611007608585 0.546025601072704 0.0213633913187116
MnMx-CA.OR.WA_z0187819 HI-WA.SBC CentAm-CA.OR.WA 0.501184046737011 0.496338941045054 0.00247701221793576
MnMx-CA.OR.WA_z0195737 HI-WA.SBC HI-WA.SBC 0.201299563079561 0.653139412888712 0.145561024031727
MnMx-CA.OR.WA_z0196710 HI-WA.SBC HI-WA.SBC 0.260056700566136 0.727593230042503 0.0123500693913608
MnMx-CA.OR.WA_z0196740 HI-WA.SBC CentAm-CA.OR.WA 0.570962199574734 0.41418193287916 0.014855867546106
MnMx-CA.OR.WA_z0196751 HI-WA.SBC CentAm-CA.OR.WA 0.509784471981406 0.471229617034031 0.0189859109845635
MnMx-CA.OR.WA_z0196766 HI-WA.SBC HI-WA.SBC 0.42122079670513 0.57102655239229 0.00775265090257953
MnMx-CA.OR.WA_z0196825 HI-WA.SBC CentAm-CA.OR.WA 0.62522779065935 0.298352353316485 0.0764198560241643
MnMx-CA.OR.WA_z0197672 HI-WA.SBC HI-WA.SBC 0.436541041420553 0.490228654968285 0.0732303036111616
