Ind.ID origin.pop pred.pop CentAm-CA.OR.WA HI-WA.SBC MnMx-CA.OR.WA
CentAm-CA.OR.WA_z0016578 CentAm-CA.OR.WA HI-WA.SBC 0.458547532398246 0.530447666349419 0.0110048012523349
CentAm-CA.OR.WA_z0029846 CentAm-CA.OR.WA HI-WA.SBC 0.221038831127969 0.774940911545196 0.00402025732683591
CentAm-CA.OR.WA_z0051324 CentAm-CA.OR.WA CentAm-CA.OR.WA 0.523882357771928 0.471442269226205 0.00467537300186644
CentAm-CA.OR.WA_z0051891 CentAm-CA.OR.WA HI-WA.SBC 0.490467528741205 0.495787421846834 0.0137450494119607
CentAm-CA.OR.WA_z0053759 CentAm-CA.OR.WA HI-WA.SBC 0.318502080878202 0.673612765502665 0.00788515361913299
CentAm-CA.OR.WA_z0053844 CentAm-CA.OR.WA HI-WA.SBC 0.318464590357897 0.673587563868463 0.00794784577364004
CentAm-CA.OR.WA_z0053846 CentAm-CA.OR.WA CentAm-CA.OR.WA 0.531012189607247 0.463058835243914 0.00592897514883913
CentAm-CA.OR.WA_z0056377 CentAm-CA.OR.WA HI-WA.SBC 0.433880202721789 0.556110931323523 0.0100088659546889
CentAm-CA.OR.WA_z0056384 CentAm-CA.OR.WA HI-WA.SBC 0.412567701815985 0.582857691991632 0.00457460619238386
CentAm-CA.OR.WA_z0056389 CentAm-CA.OR.WA HI-WA.SBC 0.430009124536867 0.497704707344094 0.0722861681190384
CentAm-CA.OR.WA_z0056397 CentAm-CA.OR.WA CentAm-CA.OR.WA 0.505013616745997 0.466179622602267 0.0288067606517365
CentAm-CA.OR.WA_z0108513 CentAm-CA.OR.WA HI-WA.SBC 0.382595205885498 0.594939175602857 0.0224656185116452
CentAm-CA.OR.WA_z0195726 CentAm-CA.OR.WA HI-WA.SBC 0.251788456260107 0.747662694239537 0.000548849500355923
CentAm-CA.OR.WA_z0196783 CentAm-CA.OR.WA CentAm-CA.OR.WA 0.811759237187559 0.187386247399021 0.000854515413419495
CentAm-CA.OR.WA_z0196811 CentAm-CA.OR.WA HI-WA.SBC 0.409390586885489 0.586300430839036 0.00430898227547505
HI-WA.SBC_207778 MnMx-CA.OR.WA HI-WA.SBC 0.300295191349334 0.669610232773861 0.0300945758768046
HI-WA.SBC_z0196828 MnMx-CA.OR.WA HI-WA.SBC 0.220429690478867 0.699448456389919 0.080121853131214
MnMx-CA.OR.WA_z0005757 HI-WA.SBC CentAm-CA.OR.WA 0.774696681767287 0.224077177252506 0.00122614098020707
MnMx-CA.OR.WA_z0029828 HI-WA.SBC HI-WA.SBC 0.308716197814187 0.683517500068432 0.00776630211738133
MnMx-CA.OR.WA_z0029860 HI-WA.SBC HI-WA.SBC 0.339368903055348 0.657395551384921 0.00323554555973152
MnMx-CA.OR.WA_z0045407 HI-WA.SBC HI-WA.SBC 0.322738250517184 0.667192923614409 0.0100688258684064
MnMx-CA.OR.WA_z0053054 HI-WA.SBC HI-WA.SBC 0.218511187213053 0.757387678744409 0.024101134042538
MnMx-CA.OR.WA_z0195683 HI-WA.SBC HI-WA.SBC 0.349978555402853 0.64265104272559 0.00737040187155763
MnMx-CA.OR.WA_z0195705 HI-WA.SBC HI-WA.SBC 0.174874321739801 0.779275693938431 0.0458499843217684
MnMx-CA.OR.WA_z0195751 HI-WA.SBC HI-WA.SBC 0.452100218472355 0.537338045964053 0.010561735563592
MnMx-CA.OR.WA_z0195784 HI-WA.SBC HI-WA.SBC 0.404705345571686 0.594199275656083 0.00109537877223053
MnMx-CA.OR.WA_z0196724 HI-WA.SBC HI-WA.SBC 0.429795637823739 0.56943786195883 0.000766500217430746
MnMx-CA.OR.WA_z0196731 HI-WA.SBC CentAm-CA.OR.WA 0.539179673428101 0.450234655732805 0.0105856708390938
MnMx-CA.OR.WA_z0196734 HI-WA.SBC CentAm-CA.OR.WA 0.553433669095988 0.411530064425372 0.0350362664786393
MnMx-CA.OR.WA_z0196739 HI-WA.SBC HI-WA.SBC 0.396065126497447 0.601796007204194 0.00213886629835936
MnMx-CA.OR.WA_z0196752 HI-WA.SBC CentAm-CA.OR.WA 0.80427578901602 0.186481628784297 0.00924258219968308
MnMx-CA.OR.WA_z0196774 HI-WA.SBC CentAm-CA.OR.WA 0.70202521889744 0.296118852878801 0.00185592822375954
MnMx-CA.OR.WA_z0196829 HI-WA.SBC HI-WA.SBC 0.451670092433868 0.534132246710275 0.0141976608558564
MnMx-CA.OR.WA_z0196835 HI-WA.SBC HI-WA.SBC 0.392097641189803 0.587282632943753 0.0206197258664449
MnMx-CA.OR.WA_z0196841 HI-WA.SBC HI-WA.SBC 0.317567260428756 0.680005312753696 0.00242742681754721
