Rep1,Rep2,overlapping.genos,mismatches
z0107078.RunMS51,z0043704.GTseq.prod,16,8
z0107078.RunMS51,z0197663.RunMS54,140,78
z0107078.RunMS51,z0196894.RunMS54,141,77
z0107078.RunMS51,z0196841.RunMS54,31,16
z0107078.RunMS51,z0107078.RunMS58,141,74
z0107078.RunMS51,z0196894.RunMS58,140,78
z0107078.RunMS51,z0043704.RunMS58,141,75
z0107078.RunMS51,z0196841.GTseq.prod,132,73
z0107078.RunMS51,z0197663.GTseq.prod,136,75
,,,
z0196841.RunMS54,z0043704.GTseq.prod,6,2
z0196841.RunMS54,z0196841.GTseq.prod,27,15
z0196841.RunMS54,z0107078.RunMS58,32,17
z0196841.RunMS54,z0196894.RunMS58,32,14
z0196841.RunMS54,z0043704.RunMS58,33,18
z0196841.RunMS54,z0197663.GTseq.prod,29,15
,,,
z0196894.RunMS54,z0043704.GTseq.prod,20,9
z0196894.RunMS54,z0196841.GTseq.prod,272,157
z0196894.RunMS54,z0196841.RunMS54,33,18
z0196894.RunMS54,z0107078.RunMS58,307,179
z0196894.RunMS54,z0196894.RunMS58,306,177
z0196894.RunMS54,z0043704.RunMS58,284,176
z0196894.RunMS54,z0197663.GTseq.prod,290,0
,,,
z0197663.RunMS54,z0043704.GTseq.prod,20,11
z0197663.RunMS54,z0196841.GTseq.prod,266,159
z0197663.RunMS54,z0197663.GTseq.prod,282,163
z0197663.RunMS54,z0196894.RunMS54,295,172
z0197663.RunMS54,z0196841.RunMS54,32,14
z0197663.RunMS54,z0107078.RunMS58,302,181
z0197663.RunMS54,z0196894.RunMS58,301,2
z0197663.RunMS54,z0043704.RunMS58,279,159
