"","locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"1","Mnov_gtseq_1",537,0,1,2,0.0037243947858473,0,0.493577761926828,0.439478584729981,1
"2","Mnov_gtseq_10",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.307299287874354,0.29608938547486,1
"3","Mnov_gtseq_102",533,4,0.992551210428305,2,0.00375234521575985,0,0.487440213513728,0.48975791433892,1
"4","Mnov_gtseq_104",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.232785651574063,0.242085661080074,1
"5","Mnov_gtseq_106",463,74,0.86219739292365,2,0.00431965442764579,0,0.340260346739828,0.288640595903166,2
"6","Mnov_gtseq_107",346,191,0.644320297951583,2,0.00578034682080925,0,0.333419773637938,0.216014897579143,1
"7","Mnov_gtseq_112",533,4,0.992551210428305,2,0.00375234521575985,0,0.473817262549657,0.465549348230912,1
"8","Mnov_gtseq_113",527,10,0.981378026070764,2,0.00379506641366224,0,0.400957956935187,0.405959031657356,1
"9","Mnov_gtseq_114",512,25,0.953445065176909,3,0.005859375,0,0.513404585166178,0.506517690875233,2
"10","Mnov_gtseq_117",404,133,0.752327746741155,2,0.00495049504950495,0,0.446363502521256,0.340782122905028,1
"11","Mnov_gtseq_12",530,7,0.986964618249534,2,0.00377358490566038,0,0.496702121973382,0.472998137802607,1
"12","Mnov_gtseq_124",516,21,0.960893854748603,4,0.00775193798449612,0,0.376856216964037,0.379888268156425,3
"13","Mnov_gtseq_125",527,10,0.981378026070764,3,0.00569259962049336,0,0.52055660974067,0.493482309124767,2
"14","Mnov_gtseq_126",537,0,1,2,0.0037243947858473,0,0.44106830776066,0.409683426443203,1
"15","Mnov_gtseq_127",509,28,0.947858472998138,2,0.00392927308447937,0,0.48039323639581,0.441340782122905,1
"16","Mnov_gtseq_128",374,163,0.696461824953445,2,0.0053475935828877,0,0.419055902755407,0.329608938547486,1
"17","Mnov_gtseq_129",527,10,0.981378026070764,3,0.00569259962049336,0,0.608023339838647,0.564245810055866,2
"18","Mnov_gtseq_13",537,0,1,3,0.00558659217877095,0,0.61629361976116,0.584729981378026,2
"19","Mnov_gtseq_130",391,146,0.728119180633147,2,0.0051150895140665,0,0.500086779687659,0.364990689013035,1
"20","Mnov_gtseq_135",533,4,0.992551210428305,2,0.00375234521575985,0,0.496902113116472,0.506517690875233,2
"21","Mnov_gtseq_138",535,2,0.996275605214153,3,0.00560747663551402,0,0.605637201332366,0.608938547486033,2
"22","Mnov_gtseq_140",532,5,0.990689013035382,2,0.0037593984962406,0,0.496728651355576,0.465549348230912,1
"23","Mnov_gtseq_141",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.494195688225539,0.476722532588454,1
"24","Mnov_gtseq_143",524,13,0.975791433891993,2,0.00381679389312977,0,0.49710732955664,0.452513966480447,1
"25","Mnov_gtseq_145",528,9,0.983240223463687,2,0.00378787878787879,0,0.49561970415051,0.502793296089385,1
"26","Mnov_gtseq_147",401,136,0.746741154562384,3,0.00748129675810474,0,0.373781526209445,0.277467411545624,2
"27","Mnov_gtseq_148",489,48,0.910614525139665,4,0.0081799591002045,0.00204498977505112,0.642915900057142,0.56610800744879,3
"28","Mnov_gtseq_149",535,2,0.996275605214153,2,0.00373831775700935,0,0.481917767500415,0.495344506517691,1
"29","Mnov_gtseq_15",537,0,1,2,0.0037243947858473,0,0.50002169381865,0.493482309124767,1
"30","Mnov_gtseq_152",533,4,0.992551210428305,2,0.00375234521575985,0,0.448352403350686,0.452513966480447,1
"31","Mnov_gtseq_154",520,17,0.968342644320298,3,0.00576923076923077,0,0.641850521951581,0.620111731843575,2
"32","Mnov_gtseq_157",534,3,0.994413407821229,2,0.00374531835205993,0,0.489515214697654,0.478584729981378,1
"33","Mnov_gtseq_158",534,3,0.994413407821229,2,0.00374531835205993,0,0.486877345211644,0.458100558659218,1
"34","Mnov_gtseq_159",425,112,0.791433891992551,3,0.00705882352941176,0,0.578582415298275,0.456238361266294,2
"35","Mnov_gtseq_16",537,0,1,2,0.0037243947858473,0,0.460368864337271,0.471135940409683,1
"36","Mnov_gtseq_160",524,13,0.975791433891993,2,0.00381679389312977,0,0.500010936372187,0.480446927374302,1
"37","Mnov_gtseq_161",528,9,0.983240223463687,2,0.00378787878787879,0,0.338905644118914,0.353817504655493,1
"38","Mnov_gtseq_167",530,7,0.986964618249534,3,0.00566037735849057,0,0.380884422826804,0.400372439478585,2
"39","Mnov_gtseq_17",535,2,0.996275605214153,2,0.00373831775700935,0,0.499460584177719,0.452513966480447,1
"40","Mnov_gtseq_170",537,0,1,2,0.0037243947858473,0,0.420986773712645,0.407821229050279,1
"41","Mnov_gtseq_171",338,199,0.629422718808194,3,0.00887573964497041,0,0.523287310979619,0.312849162011173,2
"42","Mnov_gtseq_173",438,99,0.815642458100559,4,0.0091324200913242,0.00228310502283105,0.548521852576647,0.420856610800745,3
"43","Mnov_gtseq_174",523,14,0.973929236499069,2,0.00382409177820268,0,0.403686863604344,0.404096834264432,1
"44","Mnov_gtseq_180",473,64,0.880819366852886,3,0.00634249471458774,0,0.482506124366589,0.383612662942272,2
"45","Mnov_gtseq_182",494,43,0.919925512104283,2,0.00404858299595142,0,0.300858529301978,0.271880819366853,1
"46","Mnov_gtseq_186",403,134,0.750465549348231,3,0.00744416873449132,0,0.562825393400429,0.411545623836127,2
"47","Mnov_gtseq_187",502,35,0.934823091247672,2,0.00398406374501992,0,0.487467875258686,0.422718808193669,1
"48","Mnov_gtseq_188",473,64,0.880819366852886,2,0.00422832980972516,0,0.494936071680258,0.437616387337058,1
"49","Mnov_gtseq_189",516,21,0.960893854748603,2,0.00387596899224806,0,0.499656012451221,0.474860335195531,1
"50","Mnov_gtseq_19",537,0,1,3,0.00558659217877095,0,0.256065157818192,0.223463687150838,2
"51","Mnov_gtseq_190",537,0,1,2,0.0037243947858473,0,0.481694755823055,0.452513966480447,1
"52","Mnov_gtseq_192",437,100,0.813780260707635,2,0.0045766590389016,0,0.263087121658921,0.212290502793296,1
"53","Mnov_gtseq_193",537,0,1,2,0.0037243947858473,0,0.397140928252467,0.39292364990689,1
"54","Mnov_gtseq_195",536,1,0.998137802607076,3,0.00559701492537313,0.00186567164179104,0.509384101899466,0.512104283054004,2
"55","Mnov_gtseq_196",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.431482294410301,0.407821229050279,1
"56","Mnov_gtseq_197",536,1,0.998137802607076,3,0.00559701492537313,0.00186567164179104,0.612962846830274,0.625698324022346,1
"57","Mnov_gtseq_2",536,1,0.998137802607076,3,0.00559701492537313,0.00186567164179104,0.339303134188999,0.348230912476723,2
"58","Mnov_gtseq_200",525,12,0.977653631284916,2,0.00380952380952381,0,0.495376095147306,0.458100558659218,1
"59","Mnov_gtseq_201",537,0,1,4,0.0074487895716946,0,0.606897593027433,0.584729981378026,3
"60","Mnov_gtseq_202",537,0,1,2,0.0037243947858473,0,0.490176171162494,0.502793296089385,1
"61","Mnov_gtseq_204",518,19,0.964618249534451,2,0.00386100386100386,0,0.494422994422994,0.471135940409683,1
"62","Mnov_gtseq_205",537,0,1,5,0.00931098696461825,0,0.458383446054415,0.463687150837989,3
"63","Mnov_gtseq_208",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.466323842970024,0.46927374301676,1
"64","Mnov_gtseq_209",536,1,0.998137802607076,3,0.00559701492537313,0.00186567164179104,0.541771186086375,0.540037243947858,2
