"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"1","Mnov_gtseq_1",546,3,2,1,1,1,1
"2","Mnov_gtseq_10",545,3,2,1,1,1,1
"3","Mnov_gtseq_102",541,3,2,1,1,1,1
"4","Mnov_gtseq_104",545,3,2,1,1,1,1
"5","Mnov_gtseq_106",470,4,2,2,1,1,1
"6","Mnov_gtseq_107",354,3,2,1,1,1,1
"7","Mnov_gtseq_112",533,3,2,1,1,1,1
"8","Mnov_gtseq_113",536,3,2,1,1,1,1
"9","Mnov_gtseq_114",512,5,2,2,1,1,1
"10","Mnov_gtseq_117",413,3,2,1,1,1,1
"11","Mnov_gtseq_118",500,3,2,1,1,1,1
"12","Mnov_gtseq_12",536,3,2,1,1,1,1
"13","Mnov_gtseq_124",525,7,2,2,2,1,1
"14","Mnov_gtseq_125",536,6,2,2,1,1,1
"15","Mnov_gtseq_126",544,3,2,1,1,1,1
"16","Mnov_gtseq_127",517,3,2,1,1,1,1
"17","Mnov_gtseq_128",382,3,2,1,1,1,1
"18","Mnov_gtseq_129",535,6,2,2,1,1,1
"19","Mnov_gtseq_13",546,6,2,2,1,1,1
"20","Mnov_gtseq_130",398,3,2,1,1,1,1
"21","Mnov_gtseq_135",540,3,2,2,1,1,1
"22","Mnov_gtseq_138",544,6,2,2,1,1,1
"23","Mnov_gtseq_140",540,3,2,1,1,1,1
"24","Mnov_gtseq_141",545,3,2,1,1,1,1
"25","Mnov_gtseq_143",533,3,2,1,1,1,1
"26","Mnov_gtseq_145",530,3,2,1,1,1,1
"27","Mnov_gtseq_147",402,6,2,2,1,1,1
"28","Mnov_gtseq_148",497,7,2,2,2,1,1
"29","Mnov_gtseq_149",544,3,2,1,1,1,1
"30","Mnov_gtseq_15",545,3,2,1,1,1,1
"31","Mnov_gtseq_152",542,3,2,1,1,1,1
"32","Mnov_gtseq_154",529,6,2,2,1,1,1
"33","Mnov_gtseq_157",543,3,2,1,1,1,1
"34","Mnov_gtseq_158",543,3,2,1,1,1,1
"35","Mnov_gtseq_159",434,6,2,2,1,1,1
"36","Mnov_gtseq_16",546,3,2,1,1,1,1
"37","Mnov_gtseq_160",530,3,2,1,1,1,1
"38","Mnov_gtseq_161",537,3,2,1,1,1,1
"39","Mnov_gtseq_162",537,6,2,2,1,1,1
