"","labID","genos","missing"
"1","z0005757",298,24
"2","z0005758",320,2
"3","z0009880",81,241
"4","z0011162",247,75
"5","z0011944",317,5
"6","z0012201",273,49
"7","z0012701",318,4
"8","z0012702",291,31
"9","z0016577",313,9
"10","z0016578",254,68
"11","z0016579",315,7
"12","z0017317",255,67
"13","z0018264",320,2
"14","z0025405",1,321
"15","z0025439",280,42
"16","z0029828",313,9
"17","z0029829",278,44
"18","z0029831",321,1
"19","z0029833",320,2
"20","z0029846",319,3
"21","z0029860",317,5
"22","z0029861",5,317
"23","z0029863",314,8
"24","z0029864",294,28
"25","z0029865",277,45
"26","z0029866",1,321
"27","z0030424",243,79
"28","z0030475",251,71
"29","z0032258",264,58
"30","z0037607",315,7
"31","z0037609",239,83
"32","z0037610",1,321
"33","z0037624",255,67
"34","z0040275",292,30
"35","z0040287",307,15
"36","z0040308",318,4
"37","z0040333",316,6
"38","z0040334",315,7
"39","z0040337",304,18
"40","z0040345",317,5
"41","z0040357",302,20
"42","z0040363",255,67
"43","z0040364",320,2
"44","z0040387",317,5
"45","z0040403",272,50
"46","z0040413",182,140
"47","z0040439",321,1
"48","z0040451",1,321
"49","z0040465",255,67
"50","z0040513",241,81
"51","z0040957",39,283
"52","z0040960",1,321
"53","z0040961",280,42
"54","z0040985",269,53
"55","z0041026",320,2
"56","z0041051",214,108
"57","z0041072",2,320
"58","z0041115",297,25
"59","z0041145",3,319
"60","z0041153",248,74
"61","z0041233",308,14
"62","z0041243",317,5
"63","z0041248",300,22
"64","z0041250",315,7
"65","z0041274",314,8
"66","z0041465",269,53
"67","z0041472",313,9
"68","z0041480",290,32
"69","z0041483",320,2
"70","z0041494",280,42
"71","z0041498",316,6
"72","z0041501",316,6
"73","z0041507",296,26
"74","z0041512",320,2
"75","z0041519",318,4
"76","z0041521",53,269
"77","z0041522",264,58
"78","z0041526",318,4
"79","z0041527",271,51
"80","z0042288",203,119
"81","z0043243",315,7
"82","z0043278",320,2
"83","z0043475",263,59
"84","z0043477",321,1
"85","z0043478",312,10
"86","z0043481",319,3
"87","z0043487",6,316
"88","z0043488",11,311
"89","z0043489",301,21
"90","z0043491",280,42
"91","z0043493",313,9
"92","z0043494",313,9
"93","z0043496",320,2
"94","z0043498",315,7
"95","z0043504",297,25
"96","z0043513",14,308
"97","z0043526",308,14
"98","z0043566",312,10
"99","z0043572",321,1
"100","z0043599",307,15
"101","z0043627",23,299
"102","z0043642",317,5
"103","z0043649",315,7
"104","z0043650",320,2
"105","z0043652",316,6
"106","z0043668",319,3
"107","z0043674",318,4
"108","z0043686",317,5
"109","z0043693",317,5
"110","z0043704",273,49
"111","z0043807",317,5
"112","z0043819",317,5
"113","z0043839",264,58
"114","z0043876",295,27
"115","z0043877",213,109
"116","z0043891",251,71
"117","z0043898",1,321
"118","z0043904",1,321
"119","z0043915",212,110
"120","z0043940",287,35
"121","z0043954",315,7
"122","z0043966",302,20
"123","z0043980",317,5
"124","z0044017",281,41
"125","z0044019",273,49
"126","z0044023",206,116
"127","z0044033",320,2
"128","z0044042",308,14
"129","z0044044",1,321
"130","z0044047",237,85
"131","z0044059",6,316
"132","z0044064",276,46
"133","z0044432",272,50
"134","z0045326",321,1
"135","z0045329",319,3
"136","z0045331",302,20
"137","z0045332",315,7
"138","z0045333",299,23
"139","z0045337",305,17
"140","z0045342",279,43
"141","z0045347",316,6
"142","z0045350",318,4
"143","z0045352",310,12
"144","z0045357",320,2
"145","z0045358",316,6
"146","z0045371",316,6
"147","z0045398",316,6
"148","z0045399",316,6
"149","z0045401",238,84
"150","z0045404",319,3
"151","z0045405",305,17
"152","z0045407",315,7
"153","z0045719",319,3
"154","z0045720",315,7
"155","z0045728",319,3
"156","z0045731",318,4
"157","z0045733",318,4
"158","z0045736",317,5
"159","z0045739",315,7
"160","z0045740",317,5
"161","z0045741",319,3
"162","z0045742",318,4
"163","z0045776",320,2
"164","z0045779",319,3
"165","z0045781",319,3
"166","z0045788",302,20
"167","z0045789",312,10
"168","z0045791",305,17
"169","z0045792",248,74
"170","z0045793",320,2
"171","z0046925",176,146
"172","z0047562",272,50
"173","z0047587",1,321
"174","z0047603",1,321
"175","z0047854",316,6
"176","z0049019",314,8
"177","z0049020",316,6
"178","z0051185",319,3
"179","z0051324",318,4
"180","z0051327",309,13
"181","z0051328",315,7
"182","z0051380",319,3
"183","z0051399",1,321
"184","z0051400",318,4
"185","z0051402",320,2
"186","z0051404",294,28
"187","z0051405",320,2
"188","z0051431",247,75
"189","z0051447",1,321
"190","z0051816",21,301
"191","z0051840",210,112
"192","z0051844",233,89
"193","z0051875",228,94
"194","z0051885",296,26
"195","z0051888",319,3
"196","z0051891",318,4
"197","z0051893",309,13
"198","z0051895",321,1
"199","z0051898",319,3
"200","z0051899",302,20
"201","z0051906",1,321
"202","z0051918",319,3
"203","z0051929",318,4
"204","z0051939",283,39
"205","z0051945",1,321
"206","z0051947",309,13
"207","z0051959",315,7
"208","z0051968",300,22
"209","z0052846",319,3
"210","z0052882",316,6
"211","z0053020",251,71
"212","z0053024",278,44
"213","z0053025",307,15
"214","z0053031",317,5
"215","z0053032",317,5
"216","z0053040",302,20
"217","z0053051",319,3
"218","z0053054",303,19
"219","z0053055",317,5
"220","z0053071",311,11
"221","z0053073",313,9
"222","z0053078",318,4
"223","z0053082",315,7
"224","z0053083",279,43
"225","z0053090",285,37
"226","z0053096",321,1
"227","z0053100",299,23
"228","z0053101",318,4
"229","z0053102",291,31
"230","z0053103",318,4
"231","z0053111",314,8
"232","z0053131",319,3
"233","z0053132",319,3
"234","z0053133",318,4
"235","z0053138",319,3
"236","z0053142",310,12
"237","z0053149",319,3
"238","z0053754",316,6
"239","z0053756",317,5
"240","z0053757",142,180
"241","z0053758",264,58
"242","z0053759",318,4
"243","z0053842",315,7
"244","z0053843",300,22
"245","z0053844",293,29
"246","z0053846",310,12
"247","z0053847",318,4
"248","z0053849",317,5
"249","z0055903",317,5
"250","z0055908",1,321
"251","z0055909",124,198
"252","z0055910",209,113
"253","z0055912",296,26
"254","z0055916",267,55
"255","z0055931",310,12
"256","z0055932",1,321
"257","z0055936",71,251
"258","z0055944",310,12
"259","z0055947",289,33
"260","z0055948",54,268
"261","z0055957",80,242
"262","z0055962",299,23
"263","z0055963",251,71
"264","z0055965",237,85
"265","z0055970",269,53
"266","z0055971",297,25
"267","z0055977",299,23
"268","z0055986",257,65
"269","z0055990",298,24
"270","z0055996",311,11
"271","z0055997",307,15
"272","z0055998",308,14
"273","z0055999",313,9
"274","z0056011",295,27
"275","z0056029",305,17
"276","z0056034",317,5
"277","z0056056",236,86
"278","z0056058",304,18
"279","z0056059",293,29
"280","z0056062",316,6
"281","z0056063",306,16
"282","z0056064",321,1
"283","z0056065",321,1
"284","z0056073",320,2
"285","z0056076",305,17
"286","z0056079",290,32
"287","z0056081",1,321
"288","z0056082",10,312
"289","z0056085",316,6
"290","z0056089",19,303
"291","z0056090",1,321
"292","z0056092",315,7
"293","z0056093",1,321
"294","z0056095",313,9
"295","z0056102",1,321
"296","z0056103",295,27
"297","z0056106",1,321
"298","z0056111",1,321
"299","z0056337",162,160
"300","z0056374",296,26
"301","z0056375",319,3
"302","z0056377",318,4
"303","z0056378",316,6
"304","z0056380",1,321
"305","z0056382",317,5
"306","z0056384",309,13
"307","z0056386",294,28
"308","z0056389",318,4
"309","z0056391",317,5
"310","z0056392",282,40
"311","z0056393",292,30
"312","z0056394",318,4
"313","z0056395",315,7
"314","z0056397",317,5
"315","z0056399",316,6
"316","z0061527",312,10
"317","z0061967",316,6
"318","z0061969",319,3
"319","z0061978",1,321
"320","z0061980",316,6
"321","z0061982",2,320
"322","z0062886",270,52
"323","z0063092",310,12
"324","z0063269",57,265
"325","z0063273",122,200
"326","z0063275",65,257
"327","z0063304",1,321
"328","z0063328",64,258
"329","z0063342",19,303
"330","z0066166",310,12
"331","z0066792",311,11
"332","z0066805",316,6
"333","z0067213",284,38
"334","z0068471",311,11
"335","z0075696",300,22
"336","z0100814",142,180
"337","z0101084",294,28
"338","z0107055",319,3
"339","z0107073",320,2
"340","z0107078",319,3
"341","z0107080",314,8
"342","z0107099",311,11
"343","z0107101",318,4
"344","z0108480",315,7
"345","z0108489",316,6
"346","z0108494",1,321
"347","z0108508",316,6
"348","z0108510",318,4
"349","z0108513",320,2
"350","z0108516",1,321
"351","z0113619",4,318
"352","z0113628",315,7
"353","z0133302",262,60
"354","z0145401",168,154
"355","z0146087",217,105
"356","z0160234",1,321
"357","z0173485",316,6
"358","z0174005",293,29
"359","z0175351",1,321
"360","z0175371",315,7
"361","z0175377",316,6
"362","z0175378",321,1
"363","z0175912",317,5
"364","z0175915",318,4
"365","z0175916",314,8
"366","z0175927",321,1
"367","z0175928",316,6
"368","z0175937",315,7
"369","z0175950",308,14
"370","z0178294",1,321
"371","z0178296",308,14
"372","z0178348",281,41
"373","z0187811",319,3
"374","z0187819",298,24
"375","z0187842",318,4
"376","z0187846",305,17
"377","z0187857",313,9
"378","z0187859",320,2
"379","z0187860",320,2
"380","z0187868",318,4
"381","z0187885",319,3
"382","z0187906",288,34
"383","z0187911",308,14
"384","z0195258",319,3
"385","z0195642",1,321
"386","z0195643",313,9
"387","z0195644",303,19
"388","z0195645",1,321
"389","z0195646",2,320
"390","z0195648",312,10
"391","z0195649",45,277
"392","z0195650",266,56
"393","z0195651",280,42
"394","z0195653",317,5
"395","z0195655",320,2
"396","z0195656",1,321
"397","z0195657",264,58
"398","z0195659",274,48
"399","z0195662",11,311
"400","z0195663",319,3
"401","z0195664",320,2
"402","z0195665",70,252
"403","z0195667",273,49
"404","z0195668",313,9
"405","z0195669",25,297
"406","z0195670",314,8
"407","z0195671",311,11
"408","z0195672",313,9
"409","z0195673",317,5
"410","z0195674",63,259
"411","z0195675",289,33
"412","z0195677",249,73
"413","z0195678",318,4
"414","z0195679",12,310
"415","z0195680",12,310
