"","ids.1","ids.2","strata.1","strata.2","mismatch.loci","num.loci.genotyped","num.loci.shared","prop.loci.shared"
"1","z0030475","z0067213","Default","Default",NA,222,222,1
"2","z0062886","z0067213","Default","Default","Mnov_gtseq_124, Mnov_gtseq_235",240,238,0.991666666666667
"3","z0030475","z0062886","Default","Default","Mnov_gtseq_124, Mnov_gtseq_235",223,221,0.991031390134529
"4","z0030424","z0032258","Default","Default","Mnov_gtseq_170, Mnov_gtseq_209, Mnov_gtseq_361, Mnov_gtseq_86",216,212,0.981481481481482
"5","z0017317","z0025439","Default","Default","Mnov_gtseq_10, Mnov_gtseq_318, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_56",228,223,0.978070175438597
"6","z0011162","z0025439","Default","Default","Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_56",218,213,0.977064220183486
"7","z0011162","z0017317","Default","Default","Mnov_gtseq_10, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_318, Mnov_gtseq_415, Mnov_gtseq_440",214,208,0.97196261682243
"8","z0017317","z0042288","Default","Default","Mnov_gtseq_232, Mnov_gtseq_270, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_56",177,172,0.971751412429379
"9","z0025439","z0042288","Default","Default","Mnov_gtseq_10, Mnov_gtseq_232, Mnov_gtseq_270, Mnov_gtseq_415, Mnov_gtseq_440, Mnov_gtseq_56",177,171,0.966101694915254
"10","z0011162","z0042288","Default","Default","Mnov_gtseq_10, Mnov_gtseq_220, Mnov_gtseq_232, Mnov_gtseq_270, Mnov_gtseq_398, Mnov_gtseq_440, Mnov_gtseq_56",179,172,0.960893854748603
"11","z0012201","z0030475","Default","Default","Mnov_gtseq_113, Mnov_gtseq_124, Mnov_gtseq_125, Mnov_gtseq_205, Mnov_gtseq_235, Mnov_gtseq_289, Mnov_gtseq_291, Mnov_gtseq_337, Mnov_gtseq_410, Mnov_gtseq_471, Mnov_gtseq_68, Mnov_gtseq_86",205,193,0.941463414634146
