"","id","stratum","num.loci.genotyped","num.loci.missing.genotypes","pct.loci.missing.genotypes","pct.loci.homozygous"
"1","207778","Default",283,5,0.0173611111111111,0.548611111111111
"2","z0005757","Default",267,21,0.0729166666666667,0.5
"3","z0005758","Default",288,0,0,0.524305555555556
"4","z0011162","Default",222,66,0.229166666666667,0.756944444444444
"5","z0011944","Default",287,1,0.00347222222222222,0.621527777777778
"6","z0012201","Default",245,43,0.149305555555556,0.850694444444444
"7","z0012701","Default",288,0,0,0.524305555555556
"8","z0012702","Default",263,25,0.0868055555555556,0.541666666666667
"9","z0016576","Default",273,15,0.0520833333333333,0.517361111111111
"10","z0016577","Default",283,5,0.0173611111111111,0.517361111111111
"11","z0016578","Default",230,58,0.201388888888889,0.444444444444444
"12","z0016579","Default",285,3,0.0104166666666667,0.559027777777778
"13","z0017317","Default",231,57,0.197916666666667,0.795138888888889
"14","z0018264","Default",288,0,0,0.53125
"15","z0025439","Default",252,36,0.125,0.875
"16","z0029828","Default",281,7,0.0243055555555556,0.534722222222222
"17","z0029829","Default",248,40,0.138888888888889,0.451388888888889
"18","z0029831","Default",288,0,0,0.572916666666667
"19","z0029833","Default",288,0,0,0.552083333333333
"20","z0029846","Default",287,1,0.00347222222222222,0.510416666666667
"21","z0029860","Default",287,1,0.00347222222222222,0.534722222222222
"22","z0029863","Default",284,4,0.0138888888888889,0.506944444444444
"23","z0029864","Default",264,24,0.0833333333333333,0.534722222222222
"24","z0029865","Default",253,35,0.121527777777778,0.506944444444444
"25","z0030424","Default",220,68,0.236111111111111,0.756944444444444
"26","z0030475","Default",224,64,0.222222222222222,0.777777777777778
"27","z0032258","Default",241,47,0.163194444444444,0.836805555555556
"28","z0037607","Default",286,2,0.00694444444444444,0.534722222222222
"29","z0037609","Default",219,69,0.239583333333333,0.40625
"30","z0037624","Default",230,58,0.201388888888889,0.503472222222222
"31","z0038417","Default",268,20,0.0694444444444444,0.486111111111111
"32","z0040275","Default",263,25,0.0868055555555556,0.53125
"33","z0040287","Default",278,10,0.0347222222222222,0.513888888888889
"34","z0040298","Default",288,0,0,0.53125
"35","z0040308","Default",286,2,0.00694444444444444,0.586805555555556
"36","z0040333","Default",286,2,0.00694444444444444,0.565972222222222
"37","z0040334","Default",285,3,0.0104166666666667,0.520833333333333
"38","z0040337","Default",274,14,0.0486111111111111,0.447916666666667
"39","z0040345","Default",286,2,0.00694444444444444,0.517361111111111
"40","z0040357","Default",272,16,0.0555555555555556,0.486111111111111
"41","z0040363","Default",232,56,0.194444444444444,0.40625
"42","z0040364","Default",288,0,0,0.461805555555556
"43","z0040387","Default",286,2,0.00694444444444444,0.534722222222222
"44","z0040403","Default",242,46,0.159722222222222,0.423611111111111
"45","z0040439","Default",288,0,0,0.538194444444444
"46","z0040465","Default",229,59,0.204861111111111,0.454861111111111
"47","z0040513","Default",219,69,0.239583333333333,0.454861111111111
"48","z0040961","Default",256,32,0.111111111111111,0.503472222222222
"49","z0040985","Default",247,41,0.142361111111111,0.440972222222222
"50","z0041026","Default",288,0,0,0.510416666666667
"51","z0041051","Default",200,88,0.305555555555556,0.357638888888889
"52","z0041115","Default",267,21,0.0729166666666667,0.496527777777778
"53","z0041153","Default",220,68,0.236111111111111,0.420138888888889
"54","z0041233","Default",280,8,0.0277777777777778,0.527777777777778
"55","z0041243","Default",286,2,0.00694444444444444,0.513888888888889
"56","z0041248","Default",272,16,0.0555555555555556,0.5
"57","z0041250","Default",285,3,0.0104166666666667,0.586805555555556
"58","z0041274","Default",283,5,0.0173611111111111,0.572916666666667
"59","z0041465","Default",240,48,0.166666666666667,0.472222222222222
"60","z0041472","Default",282,6,0.0208333333333333,0.5
"61","z0041480","Default",263,25,0.0868055555555556,0.451388888888889
"62","z0041483","Default",288,0,0,0.565972222222222
"63","z0041494","Default",251,37,0.128472222222222,0.454861111111111
"64","z0041498","Default",285,3,0.0104166666666667,0.527777777777778
"65","z0041501","Default",287,1,0.00347222222222222,0.517361111111111
"66","z0041507","Default",270,18,0.0625,0.524305555555556
"67","z0041512","Default",288,0,0,0.517361111111111
"68","z0041519","Default",287,1,0.00347222222222222,0.513888888888889
"69","z0041522","Default",243,45,0.15625,0.465277777777778
"70","z0041526","Default",287,1,0.00347222222222222,0.538194444444444
"71","z0041527","Default",246,42,0.145833333333333,0.461805555555556
"72","z0042288","Default",181,107,0.371527777777778,0.614583333333333
"73","z0043243","Default",284,4,0.0138888888888889,0.517361111111111
"74","z0043278","Default",287,1,0.00347222222222222,0.541666666666667
"75","z0043475","Default",240,48,0.166666666666667,0.454861111111111
"76","z0043477","Default",288,0,0,0.527777777777778
"77","z0043478","Default",281,7,0.0243055555555556,0.552083333333333
"78","z0043481","Default",287,1,0.00347222222222222,0.520833333333333
"79","z0043489","Default",273,15,0.0520833333333333,0.489583333333333
"80","z0043491","Default",252,36,0.125,0.465277777777778
"81","z0043493","Default",282,6,0.0208333333333333,0.559027777777778
"82","z0043494","Default",284,4,0.0138888888888889,0.510416666666667
"83","z0043498","Default",284,4,0.0138888888888889,0.576388888888889
"84","z0043504","Default",267,21,0.0729166666666667,0.517361111111111
"85","z0043526","Default",278,10,0.0347222222222222,0.548611111111111
"86","z0043566","Default",282,6,0.0208333333333333,0.493055555555556
"87","z0043572","Default",288,0,0,0.548611111111111
"88","z0043599","Default",280,8,0.0277777777777778,0.545138888888889
"89","z0043642","Default",287,1,0.00347222222222222,0.555555555555556
"90","z0043649","Default",285,3,0.0104166666666667,0.538194444444444
"91","z0043650","Default",288,0,0,0.569444444444444
"92","z0043652","Default",285,3,0.0104166666666667,0.53125
"93","z0043668","Default",286,2,0.00694444444444444,0.5625
"94","z0043674","Default",287,1,0.00347222222222222,0.545138888888889
"95","z0043686","Default",285,3,0.0104166666666667,0.527777777777778
"96","z0043693","Default",285,3,0.0104166666666667,0.545138888888889
"97","z0043704","Default",247,41,0.142361111111111,0.5
"98","z0043807","Default",285,3,0.0104166666666667,0.541666666666667
"99","z0043819","Default",286,2,0.00694444444444444,0.59375
"100","z0043839","Default",238,50,0.173611111111111,0.444444444444444
"101","z0043876","Default",266,22,0.0763888888888889,0.53125
"102","z0043877","Default",196,92,0.319444444444444,0.364583333333333
"103","z0043891","Default",225,63,0.21875,0.357638888888889
"104","z0043915","Default",198,90,0.3125,0.409722222222222
"105","z0043940","Default",258,30,0.104166666666667,0.506944444444444
"106","z0043954","Default",283,5,0.0173611111111111,0.559027777777778
"107","z0043966","Default",272,16,0.0555555555555556,0.538194444444444
"108","z0043980","Default",285,3,0.0104166666666667,0.506944444444444
"109","z0044017","Default",254,34,0.118055555555556,0.493055555555556
"110","z0044019","Default",245,43,0.149305555555556,0.458333333333333
"111","z0044023","Default",185,103,0.357638888888889,0.409722222222222
"112","z0044033","Default",288,0,0,0.5625
"113","z0044042","Default",278,10,0.0347222222222222,0.524305555555556
"114","z0044047","Default",218,70,0.243055555555556,0.4375
"115","z0044064","Default",248,40,0.138888888888889,0.482638888888889
"116","z0044432","Default",247,41,0.142361111111111,0.517361111111111
"117","z0045326","Default",288,0,0,0.513888888888889
