Pop1,Pop2,Chi2,df,p
HI-Al.Ber,HI-GOA,544.95904,648,0.998696
HI-Al.Ber,HI-SEAK.NBC,632.04846,650,0.685825
HI-GOA,HI-SEAK.NBC,548.48486,650,0.998451
HI-Al.Ber,HI-WA.SBC,564.35646,648,0.992083
HI-GOA,HI-WA.SBC,614.63556,644,0.791717
HI-SEAK.NBC,HI-WA.SBC,672.37687,650,0.263653
HI-Al.Ber,MnMx-CA.OR.WA,679.9324,650,0.201511
HI-GOA,MnMx-CA.OR.WA,773.09607,650,0.000604
HI-SEAK.NBC,MnMx-CA.OR.WA,>1355.65810,650,Highly
HI-WA.SBC,MnMx-CA.OR.WA,765.23645,650,0.001174
HI-Al.Ber,MnMx-SEAK.NBC,490.87284,650,0.999999
HI-GOA,MnMx-SEAK.NBC,547.54479,650,0.998591
HI-SEAK.NBC,MnMx-SEAK.NBC,640.46205,650,0.597681
HI-WA.SBC,MnMx-SEAK.NBC,579.87687,646,0.970463
HI-Al.Ber,Rev-GOA,498.45998,644,0.999994
HI-GOA,Rev-GOA,541.65177,646,0.99888
HI-SEAK.NBC,Rev-GOA,605.79177,650,0.891868
HI-WA.SBC,Rev-GOA,478.68359,642,1
HI-Al.Ber,SMx-CA.OR.WA,686.35365,650,0.156601
HI-GOA,SMx-CA.OR.WA,822.46964,650,4.67E-06
HI-SEAK.NBC,SMx-CA.OR.WA,>1290.44406,650,Highly
HI-WA.SBC,SMx-CA.OR.WA,756.46373,650,0.002377
Rev-GOA,SMx-CA.OR.WA,589.79793,650,0.955958
CentAm-CA.OR.,HI-Al.Ber,734.88606,652,0.013113
CentAm-CA.OR.,HI-GOA,902.74819,652,Highly
CentAm-CA.OR.,HI-SEAK.NBC,>1616.78664,652,Highly
CentAm-CA.OR.,HI-WA.SBC,813.3239,652,1.59E-05
CentAm-CA.OR.,MnMx-CA.OR.WA,901.17277,652,Highly
CentAm-CA.OR.,MnMx-SEAK.NBC,844.00621,652,5.17E-07
MnMx-CA.OR.WA,MnMx-SEAK.NBC,747.8015,650,0.00459
CentAm-CA.OR.,Rev-GOA,602.31354,652,0.918339
MnMx-CA.OR.WA,Rev-GOA,584.39516,650,0.968977
MnMx-SEAK.NBC,Rev-GOA,559.09079,648,0.994968
CentAm-CA.OR.,SMx-CA.OR.WA,698.72803,652,0.099792
MnMx-CA.OR.WA,SMx-CA.OR.WA,647.88542,650,0.516042
MnMx-SEAK.NBC,SMx-CA.OR.WA,754.4123,650,0.002787
