Pop1,Pop2,Chi2,df,p
CentAm,HI,>1753.12091,652,Highly
CentAm,MnMx,951.92171,652,Highly
HI,MnMx,>1438.98027,650,Highly
CentAm,Rev,874.38796,652,Highly
HI,Rev,723.37994,650,0.023764
MnMx,Rev,729.7928,650,0.015909
CentAm,Shem,>1083.64194,652,Highly
HI,Shem,>1209.82007,650,Highly
MnMx,Shem,>1138.76392,650,Highly
Rev,Shem,1023.10587,650,Highly
CentAm,SMx,731.85289,652,0.015969
HI,SMx,>1323.38493,650,Highly
MnMx,SMx,682.92054,650,0.17969
Rev,SMx,763.49928,650,0.001354
Shem,SMx,>1069.16211,650,Highly
