"","labID","RunMS58.replicates.merged","RunMS58.MS51.merged","RunMS58.MS51.MS45.90s.merged","RunMS58.MS51.MS45.90s.MS54.merged","RunMS58.MS51.MS45.90s.MS54.GTseq.val.merged","RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged","max.genos","MS58.max","MS51.max","MS45.max","MS54.max","GTseq.val.max","GTseq.prod.max","run.to.use"
"1","z0005757",295,295,295,298,298,298,298,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"2","z0005758",321,321,321,321,321,321,321,1,1,1,1,1,1,"RunMS58.replicates.merged"
"3","z0016577",311,311,311,313,313,313,313,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"4","z0029828",312,312,312,313,313,313,313,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"5","z0029831",322,322,322,322,322,322,322,1,1,1,1,1,1,"RunMS58.replicates.merged"
"6","z0029860",316,316,316,317,317,318,318,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"7","z0029863",308,313,313,313,313,314,314,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"8","z0040308",316,316,316,316,316,318,318,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"9","z0040387",316,316,316,316,316,318,318,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"10","z0041243",314,314,314,317,317,317,317,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"11","z0041248",294,294,294,300,300,300,300,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"12","z0041250",312,312,312,314,314,316,316,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"13","z0041274",312,312,312,313,313,314,314,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"14","z0041519",316,316,316,316,316,318,318,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"15","z0041526",318,318,318,318,318,318,318,1,1,1,1,1,1,"RunMS58.replicates.merged"
"16","z0043243",314,314,314,315,315,315,315,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"17","z0043278",313,313,313,315,315,315,315,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"18","z0043489",287,287,287,301,301,301,301,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"19","z0043494",307,307,307,313,313,313,313,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"20","z0043496",320,320,320,321,321,321,321,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"21","z0043498",313,313,313,315,315,315,315,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"22","z0043566",306,306,306,307,307,312,312,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"23","z0043599",303,303,303,307,307,307,307,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"24","z0043650",321,321,321,321,321,321,321,1,1,1,1,1,1,"RunMS58.replicates.merged"
"25","z0043668",318,318,318,318,318,319,319,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"26","z0043674",319,319,319,319,319,319,319,1,1,1,1,1,1,"RunMS58.replicates.merged"
"27","z0043686",317,317,317,317,317,317,317,1,1,1,1,1,1,"RunMS58.replicates.merged"
"28","z0043693",317,317,317,317,317,318,318,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"29","z0043704",271,271,271,271,271,273,273,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"30","z0043819",314,314,314,314,314,318,318,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"31","z0043994",321,321,321,321,321,321,321,1,1,1,1,1,1,"RunMS58.replicates.merged"
"32","z0044033",317,317,317,320,320,321,321,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"33","z0044432",196,196,196,272,272,272,272,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"34","z0045347",317,317,317,317,317,317,317,1,1,1,1,1,1,"RunMS58.replicates.merged"
"35","z0045398",317,317,317,317,317,317,317,1,1,1,1,1,1,"RunMS58.replicates.merged"
"36","z0045407",315,315,315,315,315,315,315,1,1,1,1,1,1,"RunMS58.replicates.merged"
"37","z0046925",171,171,171,176,176,176,176,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
"38","z0051326",318,319,319,319,319,319,319,0,1,1,1,1,1,"RunMS58.MS51.merged"
"39","z0051328",315,315,315,315,315,315,315,1,1,1,1,1,1,"RunMS58.replicates.merged"
"40","z0051380",318,318,318,318,318,320,320,0,0,0,0,0,1,"RunMS58.MS51.MS45.90s.MS54.GTseq.val.GTseq.prod.merged"
"41","z0051405",321,321,321,321,321,321,321,1,1,1,1,1,1,"RunMS58.replicates.merged"
"42","z0051875",140,140,140,228,228,228,228,0,0,0,1,1,1,"RunMS58.MS51.MS45.90s.MS54.merged"
