LABID,alt.id,id.type,pair,
z0195687,15655,CRC.id,1,good
z0195673,195673,ANIMAL.id,1,
z0195687,195687,ANIMAL.id,1,
,,,,
z0197659,17952,CRC.id,2,good
z0197659,197659,ANIMAL.id,2,
z0197660,197660,ANIMAL.id,2,
,,,,
z0045347,450249,SPLASH.id,3,good
z0045347,CA-45347,OSU.id,3,
z0045347,CA-45347,OSU.id,3,
z0045347,11239,CRC.id,3,
z0196845,196845,ANIMAL.id,3,
z0045347,45347,ANIMAL.id,3,
,,,,
z0196838,16955,CRC.id,4,
z0196809,15690,CRC.id,4,
z0196809,196809,ANIMAL.id,4,
z0196838,196838,ANIMAL.id,4,
,,,,
z0175912,Mno16CA175912,OSU.id,5,good
z0175912,12443,CRC.id,5,
z0175912,175912,ANIMAL.id,5,
z0196708,196708,ANIMAL.id,5,
,,,,
z0051324,51324,ANIMAL.id,6,
z0051326,51326,ANIMAL.id,6,
z0051326,10135,CRC.id,6,
z0051324,12162,CRC.id,6,
z0051326,CA05-51326,OSU.id,6,
z0051326,CA05-51326,OSU.id,6,
z0051324,CA05-51324,OSU.id,6,
z0051324,CA05-51324,OSU.id,6,
z0051326,520482,SPLASH.id,6,
z0051324,550357,SPLASH.id,6,
,,,,
z0196731,15477,CRC.id,7,good
z0196731,196731,ANIMAL.id,7,
z0196732,196732,ANIMAL.id,7,
,,,,
z0195772,18113,CRC.id,8,good
z0195771,18113,CRC.id,8,
z0195771,195771,ANIMAL.id,8,
z0195772,195772,ANIMAL.id,8,
,,,,
z0043994,16858,Happywhale.id,9,good
z0043994,908,SEAK.id,9,
z0043994,gNGOA04-43278,OSU.id,9,
z0043278,430010,SPLASH.id,9,
z0043278,NGOA04-43278,OSU.id,9,
z0043278,43278,ANIMAL.id,9,
z0043994,43994,ANIMAL.id,9,
,,,,
z0196857,196857,ANIMAL.id,10,
z0051888,51888,ANIMAL.id,10,
z0196857,15320,CRC.id,10,
z0051888,13768,CRC.id,10,
z0051888,WAS05-51888,OSU.id,10,
z0051888,WAS05-51888,OSU.id,10,
z0051888,550094,SPLASH.id,10,
,,,,
z0195710,17682,CRC.id,11,good
z0195709,17682,CRC.id,11,
z0195709,195709,ANIMAL.id,11,
z0195710,195710,ANIMAL.id,11,
,,,,
z0045776,45776,ANIMAL.id,12,good
z0056069,56069,ANIMAL.id,12,
z0045776,5504,Happywhale.id,12,
z0056069,MXML04-56069 - 2 runs,OSU.id,12,
z0045776,gSEA04-45776,OSU.id,12,
z0045776,1727,SEAK.id,12,
z0056069,420680,SPLASH.id,12,
,,,,
z0053760,610054,SPLASH.id,13,good
z0053760,GUA06-53760,OSU.id,13,
z0029846,CA02-29846,OSU.id,13,
z0029846,11667,CRC.id,13,
z0029846,29846,ANIMAL.id,13,
z0053760,53760,ANIMAL.id,13,
,,,,
z0196839,196839,ANIMAL.id,14,
z0187868,187868,ANIMAL.id,14,
z0196839,16757,CRC.id,14,
z0187868,12457,CRC.id,14,
z0187868,Mno17CA187868,OSU.id,14,
