labID,genos.min7,genos.min10,diff
z0005757,211,185,26
z0005758,253,236,17
z0009880,144,128,16
z0011162,280,270,10
z0011944,334,332,2
z0012201,298,294,4
z0012701,333,333,0
z0012702,316,310,6
z0016577,269,262,7
z0016578,298,286,12
z0016579,328,327,1
z0017317,283,280,3
z0018264,335,334,1
z0025405,12,5,7
z0025439,302,302,0
z0029828,240,212,28
z0029829,306,300,6
z0029831,169,98,71
z0029833,335,334,1
z0029846,317,307,10
z0029860,241,223,18
z0029861,43,21,22
z0029863,273,252,21
z0029864,325,322,3
z0029865,309,306,3
z0029866,13,5,8
z0029867,1,NA,NA
z0030424,284,274,10
z0030475,281,274,7
z0032258,288,286,2
z0037607,327,326,1
z0037609,296,284,12
z0037610,38,21,17
z0037611,179,139,40
z0037624,301,294,7
z0040275,323,316,7
z0040287,328,326,2
z0040308,225,208,17
z0040333,332,332,0
z0040334,330,327,3
z0040337,323,321,2
z0040345,333,333,0
z0040357,326,324,2
z0040363,303,295,8
z0040364,336,334,2
z0040387,203,184,19
z0040403,307,300,7
z0040413,243,227,16
z0040439,337,337,0
z0040451,4,1,3
z0040465,303,289,14
z0040513,318,311,7
z0040957,122,87,35
z0040960,95,36,59
z0040961,321,316,5
z0040985,312,301,11
z0041026,336,336,0
z0041051,307,297,10
z0041072,24,13,11
z0041115,325,320,5
z0041145,64,25,39
z0041153,286,275,11
z0041233,326,324,2
z0041243,276,268,8
z0041248,229,186,43
z0041250,277,257,20
z0041274,225,198,27
z0041465,320,308,12
z0041472,333,332,1
z0041480,322,318,4
z0041483,336,336,0
z0041494,312,305,7
z0041498,333,332,1
z0041501,331,331,0
z0041507,330,326,4
z0041512,337,337,0
z0041519,283,271,12
z0041521,131,108,23
z0041522,319,313,6
z0041526,3,1,2
z0041527,323,316,7
z0042288,247,240,7
z0043243,202,165,37
z0043278,282,252,30
z0043464,1,1,0
z0043475,312,303,9
z0043477,337,337,0
z0043478,329,327,2
z0043481,337,334,3
z0043487,118,70,48
z0043488,138,79,59
z0043489,285,253,32
z0043491,316,307,9
z0043493,329,329,0
z0043494,274,242,32
z0043496,240,223,17
z0043498,211,169,42
z0043504,319,316,3
z0043513,112,71,41
z0043526,327,324,3
z0043566,229,206,23
z0043572,337,337,0
z0043599,190,131,59
z0043627,131,102,29
z0043631,9,1,8
z0043642,334,331,3
z0043649,329,329,0
z0043650,278,254,24
z0043652,332,329,3
z0043668,210,181,29
z0043674,258,239,19
z0043686,61,39,22
z0043693,282,271,11
z0043704,63,30,33
z0043716,1,NA,NA
z0043747,3,1,2
z0043765,2,1,1
z0043789,15,4,11
z0043807,333,331,2
z0043819,209,183,26
z0043839,305,295,10
z0043876,324,321,3
z0043877,302,288,14
z0043891,301,287,14
z0043898,28,8,20
z0043904,16,4,12
z0043915,310,297,13
z0043934,1,1,0
z0043940,319,309,10
z0043954,336,335,1
z0043966,330,323,7
z0043979,3,2,1
z0043980,337,336,1
z0043994,281,258,23
z0044017,315,307,8
z0044019,317,309,8
z0044023,256,244,12
z0044033,259,237,22
z0044042,326,323,3
z0044044,19,3,16
z0044047,291,283,8
z0044059,81,46,35
z0044064,317,308,9
z0044432,287,267,20
z0045326,334,334,0
z0045329,336,334,2
z0045331,324,323,1
z0045332,329,328,1
z0045333,327,321,6
z0045337,322,321,1
z0045342,311,304,7
z0045344,5,2,3
z0045347,173,157,16
z0045350,330,330,0
z0045352,327,326,1
z0045357,333,331,2
