"","label","strata.1","strata.2","n.1","n.2","CHIsq","CHIsq_p.val","Ho","Ho_p.val","Hs","Hs_p.val","Ht","Ht_p.val","Ht_prime","Ht_prime_p.val","Dst","Dst_p.val","Dst_prime","Dst_prime_p.val","Fst","Fst_p.val","Fst_prime","Fst_prime_p.val","Fis","Fis_p.val","Gst_prime","Gst_prime_p.val","Gst_dbl_prime","Gst_dbl_prime_p.val","Dest","Dest_p.val","Dest_Chao","Dest_Chao_p.val","wcFit","wcFit_p.val","wcFst","wcFst_p.val","wcFis","wcFis_p.val"
"1","CentAm.CA.OR.WA.SBC (77) v. HI.Al.Ber (11)","CentAm.CA.OR.WA.SBC","HI.Al.Ber",77,11,681.001523321647,0.001,0.438394668248025,0.62962962962963,0.454619433824344,0.803803803803804,0.457641987098837,0.138138138138138,0.46066454037333,0.002002002002002,0.00302255327449258,0.001001001001001,0.00604510654898516,0.001001001001001,0.00660462405045846,0.001001001001001,0.0131225784039859,0.001001001001001,0.0356886757784047,0.512512512512513,0.00832528400473416,0.001001001001001,0.0240613238128463,0.001001001001001,0.0110841986750187,0.001001001001001,0.013935530440377,0.001001001001001,0.046143064412562,0.112,0.0128314140295367,0.091,0.0337446418539314,1
"2","CentAm.CA.OR.WA.SBC (77) v. HI.CA.OR.WA.SBC (9)","CentAm.CA.OR.WA.SBC","HI.CA.OR.WA.SBC",77,9,661.495942263013,0.002,0.439906992565992,0.49049049049049,0.454016132455356,0.773773773773774,0.456824089928905,0.29029029029029,0.459632047402454,0.035035035035035,0.00280795747354895,0.002002002002002,0.0056159149470979,0.002002002002002,0.0061466930826392,0.002002002002002,0.0122182841227792,0.002002002002002,0.0310762963709249,0.688688688688689,0.00774270107701634,0.002002002002002,0.0223784709568917,0.002002002002002,0.0102858624236525,0.002002002002002,0.0106523401127504,0.005005005005005,0.0391716264031381,0.193,0.00658205878401881,0.105,0.0328054953177396,0.999
"3","CentAm.CA.OR.WA.SBC (77) v. HI.GOA (21)","CentAm.CA.OR.WA.SBC","HI.GOA",77,21,801.733549268651,0.001,0.439779513430244,0.449,0.451391524077368,1,0.453783626719381,0.883,0.456175729361394,0.061,0.00239210264201273,0.001,0.00478420528402546,0.001,0.00527146089273071,0.001,0.0104876366191663,0.001,0.025724919560372,0.976,0.00662039486775592,0.001,0.0191167965488112,0.001,0.0087206186087073,0.001,0.0127232580333668,0.001,0.0531343830627216,0.05,0.023815440024515,0.019,0.0300342212326559,1
"4","CentAm.CA.OR.WA.SBC (77) v. HI.SEAK.NBC (76)","CentAm.CA.OR.WA.SBC","HI.SEAK.NBC",77,76,1469.83880396736,0.001,0.440190667279263,0.877,0.451409737551335,1,0.454925147572816,0.998,0.458440557594297,0.001,0.00351541002148065,0.001,0.00703082004296129,0.001,0.00772744712011764,0.001,0.0153363831504265,0.001,0.0248534077552913,1,0.00970505307527736,0.001,0.0279559886498379,0.001,0.0128161590247315,0.001,0.0155563473807458,0.001,0.0404812059841018,0.001,0.0160068444901842,0.001,0.0248724915990267,1
"5","CentAm.CA.OR.WA.SBC (77) v. MnMx.CA.OR.WA.SBC (89)","CentAm.CA.OR.WA.SBC","MnMx.CA.OR.WA.SBC",77,89,722.447034122545,0.001,0.442600432733056,0.965,0.453738226238644,1,0.45457061337592,0.285,0.455403000513195,0.001,0.00083238713727507,0.001,0.00166477427455014,0.001,0.00183115034888255,0.001,0.00365560673222202,0.001,0.0245467383207225,0.994,0.00230588148973445,0.001,0.00669204199856576,0.001,0.00304757600570716,0.001,0.00374173557744728,0.001,0.0272045546527541,0.001,0.0034649184849656,0.001,0.0238221780729456,1
"6","CentAm.CA.OR.WA.SBC (77) v. MnMx.SEAK.NBC (10)","CentAm.CA.OR.WA.SBC","MnMx.SEAK.NBC",77,10,711.191025339046,0.001,0.442232588426071,0.276276276276276,0.449821019019123,0.997997997997998,0.453907702224302,0.796796796796797,0.45799438542948,0.051051051051051,0.00408668320517819,0.001001001001001,0.00817336641035638,0.001001001001001,0.00900333522685792,0.001001001001001,0.0178459969606219,0.001001001001001,0.0168698888495692,0.980980980980981,0.0112871691770328,0.001001001001001,0.0324367116475541,0.001001001001001,0.0148558318163748,0.001001001001001,0.0162306402706306,0.001001001001001,0.0485151974076351,0.006,0.0190584963075117,0.003,0.030029008854495,1
"7","CentAm.CA.OR.WA.SBC (77) v. Rev.GOA (10)","CentAm.CA.OR.WA.SBC","Rev.GOA",77,10,634.727654449965,0.004,0.437447670279084,0.693386773547094,0.451421945771826,0.960921843687375,0.452760072673922,0.87374749498998,0.454098199576018,0.632264529058116,0.00133812690209606,0.030060120240481,0.00267625380419212,0.030060120240481,0.00295548786842734,0.0290581162324649,0.00589355739945871,0.0290581162324649,0.0309561279056776,0.646292585170341,0.00371190682236063,0.0290581162324649,0.0107433342512228,0.030060120240481,0.00487852874092365,0.031062124248497,0.0086355727927685,0.0110220440881764,0.0290339757681829,0.869,-0.00385482074977096,0.805,0.0327625029417993,0.923
"8","CentAm.CA.OR.WA.SBC (77) v. SMx.CA.OR.WA.SBC (39)","CentAm.CA.OR.WA.SBC","SMx.CA.OR.WA.SBC",77,39,607.370380154299,0.002,0.445264327085044,0.024,0.4553474622308,0.699,0.455852746353519,0.245,0.456358030476239,0.049,0.000505284122719329,0.009,0.00101056824543866,0.009,0.00110843715818589,0.009,0.00221441977121355,0.009,0.0221438263789983,0.989,0.00139837886605107,0.009,0.00406574764212689,0.009,0.00185543658637444,0.009,0.00231502135877293,0.019,0.027911614460829,0.037,0.00224579083241907,0.015,0.0257235934387315,0.991
"9","HI.Al.Ber (11) v. HI.CA.OR.WA.SBC (9)","HI.Al.Ber","HI.CA.OR.WA.SBC",11,9,534.998674555104,0.022,0.438839469482102,0.941,0.453820729113337,0.876,0.454847258955325,0.684,0.455873788797313,0.178,0.00102652984198792,0.134,0.00205305968397584,0.134,0.00225686716095776,0.134,0.00450357036185877,0.134,0.033011404438279,0.494,0.00284223463268163,0.134,0.00824559005058488,0.134,0.00375894837722956,0.134,0.00310953514048606,0.382,0.0324110752619314,0.586,0.00176024410136324,0.337,0.030704879243139,0.872
"10","HI.Al.Ber (11) v. HI.GOA (21)","HI.Al.Ber","HI.GOA",11,21,501.86008445557,0.213,0.438711990346355,0.763289869608826,0.451095348112244,0.246740220661986,0.451286807562602,0.116349047141424,0.45147826701296,0.132397191574724,0.0001914594503582,0.33901705115346,0.0003829189007164,0.33901705115346,0.000424252265188676,0.340020060180542,0.000848144703065869,0.340020060180542,0.0274517523129222,0.151454363089268,0.000532636971600085,0.33901705115346,0.00154515852643804,0.33901705115346,0.000697605493776544,0.33901705115346,0.00483506848201531,0.125376128385155,0.0223568651550183,0.482,-0.000601755922082407,0.447,0.0229448138994558,0.685
"11","HI.Al.Ber (11) v. HI.SEAK.NBC (76)","HI.Al.Ber","HI.SEAK.NBC",11,76,587.888056395687,0.014,0.439123144195373,0.697,0.451109282213491,0.189,0.45254123104542,0.037,0.453973179877349,0.005,0.00143194883192921,0.015,0.00286389766385842,0.015,0.00316423948514315,0.015,0.00630851731071902,0.015,0.0265703644121544,0.166,0.00397267775830791,0.015,0.0114932118658503,0.015,0.00521760993774416,0.013,0.00782716274552275,0.009,0.0160292421804383,0.51,-0.00209345291023805,0.472,0.0180848353395037,0.989
"12","HI.Al.Ber (11) v. MnMx.CA.OR.WA.SBC (89)","HI.Al.Ber","MnMx.CA.OR.WA.SBC",11,89,669.768851861718,0.002,0.441532909649166,0.828,0.453502040333621,0.585,0.45585416527457,0.14,0.45820629021552,0.013,0.00235212494094961,0.001,0.00470424988189921,0.001,0.00515981890728776,0.001,0.0102666636891574,0.001,0.0263926721821358,0.182,0.00649576446324432,0.001,0.0187862799989682,0.001,0.00860799166527725,0.001,0.0109709013433615,0.001,0.0205012505139219,0.574,0.0032044895642562,0.53,0.0173523664267955,1
"13","HI.Al.Ber (11) v. MnMx.SEAK.NBC (10)","HI.Al.Ber","MnMx.SEAK.NBC",11,10,503.696980192952,0.253,0.441165065342181,0.952,0.449339542965274,0.965,0.450888563505782,0.945,0.45243758404629,0.15,0.00154902054050798,0.062,0.00309804108101597,0.062,0.00343548421025347,0.062,0.00684744413430296,0.062,0.018192206208133,0.741,0.00430461113267209,0.062,0.0124349661335336,0.062,0.00562604603515338,0.062,0.0101064944754456,0.034,0.0196231214938805,0.491,0.00317599717355481,0.311,0.0164995267707143,0.943
"14","HI.Al.Ber (11) v. Rev.GOA (10)","HI.Al.Ber","Rev.GOA",11,10,529.355368370429,0.136,0.436380147195194,0.978215767634855,0.451021327441156,0.849585062240664,0.451696308287161,0.894190871369295,0.452371289133166,0.434647302904564,0.000674980846005091,0.257261410788382,0.00134996169201018,0.257261410788382,0.00149432446894381,0.257261410788382,0.00298418959036277,0.257261410788382,0.0324622791765246,0.393153526970954,0.0018759257262945,0.257261410788382,0.00543589348645034,0.257261410788382,0.00245904214405612,0.257261410788382,0.00975579786400471,0.0663900414937759,0.0214252031710457,0.808,-0.00923913342532464,0.754,0.0303836182930171,0.741
"15","HI.Al.Ber (11) v. SMx.CA.OR.WA.SBC (39)","HI.Al.Ber","SMx.CA.OR.WA.SBC",11,39,650.008598660694,0.001,0.444196804001154,0.933,0.455130181237786,0.906,0.457530558811323,0.392,0.45993093638486,0.015,0.00240037757353695,0.001,0.0048007551470739,0.001,0.00524637650384096,0.001,0.0104379913749849,0.001,0.0240225273720543,0.194,0.00661705666018648,0.001,0.0191568536475318,0.001,0.00881082963629702,0.001,0.0109828607272378,0.001,0.0241853504344705,0.038,0.00884335544820627,0.014,0.0154788802260433,1
"16","HI.CA.OR.WA.SBC (9) v. HI.GOA (21)","HI.CA.OR.WA.SBC","HI.GOA",9,21,485.048030470379,0.136,0.440224314664322,0.452,0.450483535757443,0.298,0.450892425528665,0.164,0.451301315299887,0.114,0.000408889771221943,0.304,0.000817779542443886,0.304,0.000906845509197733,0.304,0.00181204777101187,0.304,0.0227737981053429,0.397,0.00113773153065433,0.304,0.0032975313551516,0.304,0.00148818023782253,0.305,0.00274708793263001,0.287,0.0225077039764136,0.383,0.00169702039278798,0.342,0.0208460597721682,0.725
"17","HI.CA.OR.WA.SBC (9) v. HI.SEAK.NBC (76)","HI.CA.OR.WA.SBC","HI.SEAK.NBC",9,76,532.717476442741,0.071,0.44063546851334,0.54,0.450512402010029,0.224,0.451088476858717,0.115,0.451664551707404,0.071,0.000576074848687658,0.195,0.00115214969737532,0.195,0.00127707728802855,0.197,0.00255089688358297,0.197,0.0219237771315983,0.301,0.00160227789101783,0.196,0.00464231930422845,0.195,0.00209677106742697,0.194,0.00187046816099257,0.243,0.0416493968973587,0.123,0.0248354327879255,0.119,0.0172421811402592,0.841
