"","label","strata.1","strata.2","n.1","n.2","CHIsq","CHIsq_p.val","Ho","Ho_p.val","Hs","Hs_p.val","Ht","Ht_p.val","Ht_prime","Ht_prime_p.val","Dst","Dst_p.val","Dst_prime","Dst_prime_p.val","Fst","Fst_p.val","Fst_prime","Fst_prime_p.val","Fis","Fis_p.val","Gst_prime","Gst_prime_p.val","Gst_dbl_prime","Gst_dbl_prime_p.val","Dest","Dest_p.val","Dest_Chao","Dest_Chao_p.val","wcFit","wcFit_p.val","wcFst","wcFst_p.val","wcFis","wcFis_p.val"
"1","CentAm (77) v. HI (124)","CentAm","HI",77,124,1634.844936198,0.001,0.44078924458081,0.8,0.452418070532077,1,0.45559566128935,0.002,0.458773252046622,0.001,0.00317759075727242,0.001,0.00635518151454484,0.001,0.00697458520188656,0.001,0.0138525545815801,0.001,0.0257037167803466,1,0.0087695565438078,0.001,0.0252976839375259,0.001,0.0116059007292664,0.001,0.0141675043084299,0.001,0.0383651110814922,0.001,0.0148976941975186,0.001,0.0238223144395715,1
"2","CentAm (77) v. MnMx (113)","CentAm","MnMx",77,113,767.664804062146,0.001,0.442437899395736,0.943,0.453591736139005,0.997,0.454433961958206,0.128,0.455276187777407,0.001,0.00084222581920107,0.001,0.00168445163840214,0.001,0.001853351399116,0.001,0.00369984568405695,0.001,0.0245900351673317,0.534,0.00233344767073632,0.001,0.00677121106828315,0.001,0.00308277116180413,0.001,0.0038794297335305,0.001,0.0263335745072472,0.001,0.0035555762304352,0.001,0.0228592761758276,1
"3","CentAm (77) v. Rev (27)","CentAm","Rev",77,27,928.297481166384,0.001,0.436022788449112,0.847,0.452303015520809,1,0.454187146011567,0.865,0.456071276502324,0.089,0.00188413049075753,0.001,0.00376826098151506,0.001,0.00414835714155052,0.001,0.00826243873636242,0.001,0.0359940714809313,0.742,0.00521529104631174,0.001,0.0150857846044547,0.001,0.00688019304159274,0.001,0.00842363080382658,0.001,0.049748968845656,0.112,0.0150172570095813,0.076,0.0352612389234646,1
"4","CentAm (77) v. Shem (9)","CentAm","Shem",77,9,1044.39371062339,0.001,0.419832478956996,1,0.438284966699703,1,0.448456691959314,1,0.458628417218926,0.0291750503018109,0.0101717252596115,0.00100603621730382,0.020343450519223,0.00100603621730382,0.0226816221989488,0.00100603621730382,0.0443571522292133,0.00100603621730382,0.0421015757890467,0.57645875251509,0.028074570698143,0.00100603621730382,0.0789673581791065,0.00100603621730382,0.0362166744936436,0.00100603621730382,0.0475993072488925,0.00100603621730382,0.0602141337182027,0.151,0.0255894942988903,0.09,0.0355339348423787,1
"5","CentAm (77) v. SMx (39)","CentAm","SMx",77,39,607.370380154299,0.001,0.445264327085044,0.026,0.4553474622308,0.684,0.455852746353519,0.246,0.456358030476239,0.045,0.000505284122719329,0.013,0.00101056824543866,0.013,0.00110843715818589,0.013,0.00221441977121355,0.013,0.0221438263789983,0.987,0.00139837886605107,0.013,0.00406574764212689,0.013,0.00185543658637444,0.013,0.00231502135877293,0.025,0.027911614460829,0.031,0.00224579083241907,0.02,0.0257235934387315,0.987
"6","HI (124) v. MnMx (113)","HI","MnMx",124,113,1338.22435516004,0.001,0.443764952644632,0.248,0.451302599102024,1,0.453352625870859,0.169,0.455402652639694,0.001,0.00205002676883503,0.001,0.00410005353767007,0.001,0.00452192543254177,0.001,0.0090031393403278,0.001,0.0167019788328069,1,0.00567848549051365,0.001,0.0164082048239952,0.001,0.00747234000190285,0.001,0.0091099039184418,0.001,0.0261792445945153,0.001,0.00961308728663775,0.001,0.0167269549861994,1
"7","HI (124) v. Rev (27)","HI","Rev",124,27,735.073456136284,0.001,0.437349841698008,0.951,0.449957843901828,0.755,0.450891152913682,0.455,0.451824461925536,0.148,0.000933309011854344,0.001,0.00186661802370869,0.001,0.00206992087962528,0.001,0.0041312903151674,0.001,0.0280204076330544,0.088,0.00259538860680429,0.001,0.00751086124829683,0.001,0.00339359084210907,0.001,0.00380935743297439,0.001,0.02662555049941,0.238,0.00517619898622993,0.212,0.0215609553081886,1
"8","HI (124) v. Shem (9)","HI","Shem",124,9,1276.69176825194,0.001,0.421159532205891,1,0.435836998262698,1,0.448100534571214,0.93993993993994,0.460364070879729,0.001001001001001,0.0122635363085153,0.001001001001001,0.0245270726170307,0.001001001001001,0.0273678234288435,0.001001001001001,0.0532775561093655,0.001001001001001,0.0336765031773653,0.272272272272272,0.0337855130208624,0.001001001001001,0.09443645886969,0.001001001001001,0.0434751526447166,0.001001001001001,0.0591923220321146,0.001001001001001,0.0133981210215663,0.911,-0.00694512718501061,0.804,0.0202029362448458,1
"9","HI (124) v. SMx (39)","HI","SMx",124,39,1243.46875216238,0.001,0.446591380333939,0.044,0.453031812473666,0.889,0.456164166680373,0.002,0.459296520887079,0.001,0.00313235420670654,0.001,0.00626470841341309,0.001,0.0068667256998758,0.001,0.0136397906984218,0.001,0.0142162911354089,0.995,0.00863997545375594,0.001,0.0249370822828067,0.001,0.0114535151335679,0.001,0.0136934715466805,0.001,0.0515884052016531,0.012,0.0361193237526019,0.007,0.0160487515003163,1
"10","MnMx (113) v. Rev (27)","MnMx","Rev",113,27,784.997227243382,0.001,0.438998496512934,0.99,0.451136382713283,0.944,0.452132961743233,0.702,0.453129540773182,0.311,0.000996579029949707,0.001,0.00199315805989941,0.001,0.00220417247640456,0.001,0.00439864957049248,0.001,0.0269051370393761,0.077,0.00276740614343533,0.001,0.0080141030156763,0.001,0.00363142681920238,0.001,0.00453947302512026,0.002,0.0249768209698799,0.112,0.00512973660273552,0.077,0.0199494196352505,1
