LABID,GTseq.val,GTseq.prod,RunMS43,RunMS45.90s,RunMS51,RunMS54,RunMS58
z0195647,NA,NA,NA,NA,1,199,2
z0053757,NA,NA,NA,NA,NA,NA,9
z0061982,NA,NA,NA,NA,NA,NA,11
z0053845,NA,NA,NA,NA,50,NA,108
z0195649,NA,NA,NA,NA,NA,NA,124
z0195770,NA,110,NA,NA,1,NA,187
z0207777,NA,NA,NA,NA,NA,NA,206
z0051875,NA,NA,NA,NA,NA,220,212
z0197682,NA,NA,NA,271,NA,NA,224
z0046925,NA,NA,NA,NA,NA,NA,242
z0044432,NA,NA,14,NA,NA,261,266
z0146087,NA,NA,NA,NA,NA,NA,270
z0195659,NA,NA,NA,NA,53,228,280
z0195657,NA,NA,NA,NA,58,228,281
z0043704,NA,20,NA,NA,NA,NA,292
z0041248,NA,1,NA,NA,NA,175,308
z0043489,NA,1,NA,NA,NA,244,309
z0195675,NA,NA,NA,NA,3,172,311
z0056374,NA,NA,NA,NA,214,NA,311
z0005757,NA,NA,NA,NA,NA,185,314
z0175912,NA,NA,NA,NA,39,NA,317
z0043599,NA,1,NA,NA,NA,127,317
z0187911,186,NA,NA,NA,1,NA,318
z0195684,NA,1,NA,NA,2,103,318
z0195777,NA,87,91,159,5,NA,318
z0195668,NA,NA,NA,NA,86,251,318
z0195682,NA,60,NA,NA,1,172,319
z0195671,NA,3,NA,NA,1,130,319
z0195672,NA,1,NA,NA,1,73,319
z0195776,NA,NA,2,80,10,NA,319
z0195689,NA,2,NA,NA,127,NA,319
z0197660,NA,NA,NA,NA,189,NA,319
z0043494,NA,NA,NA,NA,NA,241,319
z0029828,NA,72,NA,NA,NA,171,319
z0043566,NA,207,NA,NA,NA,NA,319
z0187857,NA,NA,125,251,1,NA,320
z0195773,NA,253,NA,NA,28,NA,320
z0053025,172,NA,NA,NA,NA,1,320
z0195670,NA,1,NA,NA,1,107,321
z0053846,203,NA,NA,NA,1,NA,321
z0053842,NA,250,NA,NA,68,NA,321
z0195736,NA,234,NA,NA,138,NA,321
z0029863,NA,193,NA,NA,203,NA,321
z0175916,NA,NA,NA,NA,214,NA,321
z0041274,NA,159,NA,NA,NA,47,321
z0195643,NA,NA,NA,NA,40,227,322
z0195771,NA,4,NA,NA,57,NA,322
z0016577,NA,NA,NA,NA,NA,262,322
z0041250,NA,149,NA,NA,NA,178,322
z0195762,168,NA,NA,NA,NA,21,322
z0041243,NA,211,NA,NA,NA,193,323
z0051959,NA,1,NA,NA,NA,65,323
z0053082,24,NA,NA,NA,NA,8,323
z0196846,NA,218,NA,NA,NA,NA,323
z0195693,NA,189,NA,NA,1,NA,324
z0195648,NA,78,NA,NA,6,90,324
z0196838,238,NA,NA,NA,11,NA,324
z0051328,NA,NA,NA,NA,67,NA,324
z0196891,NA,230,NA,NA,73,NA,324
z0196811,NA,252,NA,NA,80,NA,324
z0043278,NA,NA,NA,NA,NA,252,324
z0043243,NA,1,NA,NA,NA,157,324
z0045407,NA,NA,NA,NA,NA,107,324
z0043498,NA,NA,109,NA,NA,64,324
z0113628,NA,NA,NA,NA,NA,2,324
z0043819,NA,181,NA,NA,NA,1,324
z0040387,NA,180,NA,NA,NA,NA,324
z0196839,NA,237,NA,NA,NA,NA,324
z0195678,NA,NA,NA,NA,1,119,325
z0195653,NA,1,NA,NA,1,87,325
z0195673,NA,NA,NA,NA,49,236,325
z0040308,NA,207,NA,NA,NA,1,325
z0066805,176,NA,NA,NA,NA,NA,325
z0041519,NA,271,NA,NA,NA,NA,325
z0196805,NA,185,NA,NA,NA,NA,325
z0195755,NA,248,NA,NA,1,NA,326
z0195756,NA,101,NA,NA,1,NA,326
z0196851,NA,249,NA,NA,7,NA,326
z0056389,115,NA,NA,NA,181,NA,326
z0195705,NA,45,NA,NA,NA,231,326
z0056034,166,NA,NA,NA,NA,125,326
z0029860,NA,186,NA,NA,NA,114,326
z0043668,NA,169,NA,NA,NA,6,326
z0045347,NA,144,NA,NA,NA,3,326
z0195683,212,NA,NA,NA,NA,NA,326
z0043693,NA,270,NA,NA,NA,NA,326
z0041526,NA,NA,NA,NA,NA,NA,326
z0196810,229,NA,NA,NA,1,NA,327
z0195778,NA,200,NA,NA,1,NA,327
z0053756,NA,NA,NA,NA,15,NA,327
z0195258,NA,NA,NA,NA,65,256,327
z0053760,42,NA,NA,NA,142,NA,327
z0051929,NA,NA,NA,NA,183,NA,327
z0051326,NA,NA,NA,NA,268,NA,327
z0196894,NA,248,NA,NA,NA,309,327
z0045398,NA,1,NA,NA,NA,259,327
z0195784,215,NA,NA,NA,NA,114,327
z0043496,166,NA,NA,NA,NA,104,327
z0061527,NA,NA,NA,NA,NA,20,327
z0195663,191,NA,NA,NA,NA,NA,327
z0043686,NA,23,NA,NA,NA,NA,327
z0195791,NA,269,NA,NA,NA,NA,327
z0207778,NA,NA,NA,NA,NA,NA,327
z0108513,NA,207,NA,NA,14,NA,328
z0053055,NA,51,NA,NA,54,NA,328
z0195772,NA,NA,NA,NA,79,NA,328
z0196887,NA,NA,171,200,89,NA,328
z0187859,NA,NA,NA,NA,223,NA,328
z0051895,NA,NA,NA,NA,NA,257,328
z0051918,NA,NA,NA,NA,NA,256,328
z0044033,NA,5,NA,NA,NA,230,328
z0043994,NA,NA,NA,NA,NA,160,328
z0195767,195,NA,NA,NA,NA,1,328
z0108510,NA,27,NA,NA,NA,NA,328
z0195751,NA,103,NA,NA,NA,NA,328
z0187811,NA,NA,NA,NA,15,NA,329
z0196847,NA,258,NA,NA,49,NA,329
z0051380,NA,1,NA,NA,108,NA,329
z0175915,NA,NA,NA,NA,197,NA,329
z0053101,145,NA,NA,NA,NA,199,329
z0053149,12,NA,NA,NA,NA,95,329
z0061969,NA,232,NA,NA,NA,1,329
z0195664,NA,NA,NA,NA,1,104,330
z0197664,NA,248,NA,NA,2,NA,330
z0053133,1,NA,NA,NA,NA,181,330
z0196829,NA,247,NA,NA,NA,111,330
z0056069,NA,169,NA,NA,NA,36,330
z0195688,205,NA,NA,NA,NA,NA,330
z0056064,NA,227,NA,NA,NA,NA,330
z0051405,NA,2,NA,NA,3,NA,331
z0107078,NA,NA,NA,NA,142,NA,331
z0043650,NA,NA,NA,NA,NA,254,331
z0043674,NA,NA,NA,NA,NA,238,331
z0005758,NA,NA,NA,NA,NA,235,331
z0053138,221,NA,NA,NA,NA,171,331
z0196828,183,NA,NA,NA,NA,76,331
z0195691,9,NA,NA,NA,NA,63,331
z0056065,NA,226,NA,NA,NA,1,331
z0056073,NA,231,NA,NA,NA,NA,331
z0175927,NA,1,NA,NA,233,NA,332
z0195655,171,NA,NA,NA,NA,NA,332
z0029831,NA,NA,NA,NA,98,NA,333
z0175378,NA,193,NA,NA,NA,NA,333
z0053096,121,NA,NA,NA,NA,254,335
z0066792,163,NA,NA,NA,1,NA,NA
z0029846,NA,286,NA,NA,1,NA,NA
z0178294,NA,1,NA,NA,1,NA,NA
z0178296,NA,318,NA,NA,1,NA,NA
z0187846,NA,325,NA,NA,1,NA,NA
z0195665,NA,93,NA,NA,1,17,NA
z0195674,NA,104,NA,NA,1,4,NA
z0195679,NA,1,NA,NA,1,22,NA
z0195681,NA,8,NA,NA,1,27,NA
z0195757,NA,1,NA,NA,1,NA,NA
z0195786,NA,15,NA,NA,1,NA,NA
z0196840,NA,29,NA,NA,1,NA,NA
z0196850,NA,278,NA,NA,1,NA,NA
z0196889,NA,15,NA,NA,1,NA,NA
z0197671,NA,1,NA,NA,1,NA,NA
z0051945,NA,NA,NA,NA,1,NA,NA
z0056396,NA,NA,NA,NA,1,NA,NA
z0195645,NA,NA,NA,NA,1,1,NA
z0195669,NA,NA,NA,NA,1,52,NA
z0195750,NA,NA,NA,NA,1,NA,NA
z0195769b,NA,NA,NA,NA,1,NA,NA
z0195775,NA,NA,NA,NA,1,NA,NA
z0195779b,NA,NA,NA,NA,1,NA,NA
z0196792,NA,256,NA,NA,2,NA,NA
z0061976,NA,NA,NA,NA,2,NA,NA
z0056380,NA,1,NA,NA,3,NA,NA
z0195721,NA,1,NA,NA,5,NA,NA
z0195780,NA,NA,NA,NA,7,NA,NA
z0196844,NA,273,NA,NA,8,NA,NA
z0195787,NA,NA,NA,NA,10,NA,NA
z0196888,NA,NA,NA,NA,10,NA,NA
z0195759,NA,1,NA,NA,14,NA,NA
z0045401,NA,NA,NA,274,17,NA,NA
z0195781,NA,NA,NA,NA,26,NA,NA
z0195653b,NA,NA,NA,NA,39,NA,NA
z0045792,NA,269,NA,NA,49,NA,NA
z0187868,NA,56,NA,NA,57,NA,NA
z0051324,NA,314,NA,NA,86,NA,NA
z0196845,NA,260,NA,NA,87,NA,NA
z0196892,NA,285,NA,NA,102,NA,NA
z0197658,NA,3,NA,NA,120,NA,NA
z0029846b,NA,NA,NA,NA,127,NA,NA
z0037611,NA,NA,NA,NA,139,NA,NA
z0195650,NA,69,NA,NA,142,282,NA
z0051324b,NA,NA,NA,NA,143,NA,NA
z0195782,NA,233,NA,NA,148,NA,NA
z0195667,NA,1,NA,NA,186,283,NA
z0195677,NA,NA,NA,NA,189,270,NA
z0196812,NA,270,NA,NA,201,NA,NA
z0196723,NA,226,NA,NA,207,NA,NA
z0053757b,NA,NA,NA,NA,210,NA,NA
z0196806,NA,191,NA,NA,223,NA,NA
z0195651,NA,NA,NA,NA,223,291,NA
z0196842,NA,258,NA,NA,224,NA,NA
z0037624,NA,248,NA,NA,228,NA,NA
z0196733,243,NA,NA,NA,243,NA,NA
z0196858,NA,299,NA,NA,249,NA,NA
z0045333,NA,305,NA,NA,263,NA,NA
