"","locus","genos","num.haps"
"1","Mnov_gtseq_1",3,1
"2","Mnov_gtseq_10",2,1
"3","Mnov_gtseq_102",2,1
"4","Mnov_gtseq_104",2,1
"5","Mnov_gtseq_106",1,1
"6","Mnov_gtseq_107",1,1
"7","Mnov_gtseq_108",0,0
"8","Mnov_gtseq_111",1,1
"9","Mnov_gtseq_112",1,1
"10","Mnov_gtseq_113",2,1
"11","Mnov_gtseq_114",1,1
"12","Mnov_gtseq_117",1,1
"13","Mnov_gtseq_118",1,1
"14","Mnov_gtseq_12",2,1
"15","Mnov_gtseq_124",1,1
"16","Mnov_gtseq_125",2,1
"17","Mnov_gtseq_126",2,1
"18","Mnov_gtseq_127",1,1
"19","Mnov_gtseq_128",1,1
"20","Mnov_gtseq_129",1,1
"21","Mnov_gtseq_13",2,1
"22","Mnov_gtseq_130",1,1
"23","Mnov_gtseq_134",0,0
"24","Mnov_gtseq_135",2,1
"25","Mnov_gtseq_137",0,0
"26","Mnov_gtseq_138",2,1
"27","Mnov_gtseq_140",2,1
"28","Mnov_gtseq_141",3,2
"29","Mnov_gtseq_143",2,1
"30","Mnov_gtseq_145",1,1
"31","Mnov_gtseq_146",0,0
"32","Mnov_gtseq_147",1,1
"33","Mnov_gtseq_148",1,1
"34","Mnov_gtseq_149",2,1
"35","Mnov_gtseq_15",2,1
"36","Mnov_gtseq_152",2,1
"37","Mnov_gtseq_154",1,1
"38","Mnov_gtseq_155",2,1
"39","Mnov_gtseq_157",2,1
"40","Mnov_gtseq_158",2,1
"41","Mnov_gtseq_159",2,1
"42","Mnov_gtseq_16",2,1
"43","Mnov_gtseq_160",2,1
"44","Mnov_gtseq_161",2,1
"45","Mnov_gtseq_162",2,1
"46","Mnov_gtseq_167",2,1
"47","Mnov_gtseq_168",0,0
"48","Mnov_gtseq_17",2,1
"49","Mnov_gtseq_170",3,1
"50","Mnov_gtseq_171",1,1
"51","Mnov_gtseq_173",1,1
"52","Mnov_gtseq_174",2,1
"53","Mnov_gtseq_177",0,0
"54","Mnov_gtseq_178",0,0
"55","Mnov_gtseq_180",1,1
"56","Mnov_gtseq_181",1,1
"57","Mnov_gtseq_182",1,1
"58","Mnov_gtseq_186",1,1
"59","Mnov_gtseq_187",1,1
"60","Mnov_gtseq_188",1,1
"61","Mnov_gtseq_189",2,1
"62","Mnov_gtseq_19",2,1
"63","Mnov_gtseq_190",2,1
"64","Mnov_gtseq_191",0,0
"65","Mnov_gtseq_192",1,1
"66","Mnov_gtseq_193",2,1
"67","Mnov_gtseq_195",3,2
"68","Mnov_gtseq_196",2,1
"69","Mnov_gtseq_197",2,1
"70","Mnov_gtseq_2",2,1
"71","Mnov_gtseq_200",3,1
"72","Mnov_gtseq_201",3,1
"73","Mnov_gtseq_202",2,1
"74","Mnov_gtseq_204",2,1
"75","Mnov_gtseq_205",2,1
"76","Mnov_gtseq_208",2,1
"77","Mnov_gtseq_209",2,1
"78","Mnov_gtseq_21",2,1
"79","Mnov_gtseq_210",2,1
"80","Mnov_gtseq_213",2,1
"81","Mnov_gtseq_214",2,1
"82","Mnov_gtseq_215",3,2
"83","Mnov_gtseq_216",2,1
"84","Mnov_gtseq_218",2,1
"85","Mnov_gtseq_22",1,1
"86","Mnov_gtseq_220",2,1
"87","Mnov_gtseq_222",1,1
"88","Mnov_gtseq_223",2,1
"89","Mnov_gtseq_225",2,1
"90","Mnov_gtseq_227",2,1
"91","Mnov_gtseq_229",2,1
"92","Mnov_gtseq_230",2,1
"93","Mnov_gtseq_231",2,1
"94","Mnov_gtseq_232",2,1
"95","Mnov_gtseq_234",2,1
"96","Mnov_gtseq_235",2,1
"97","Mnov_gtseq_237",2,1
"98","Mnov_gtseq_238",2,1
"99","Mnov_gtseq_239",2,1
"100","Mnov_gtseq_240",2,1
"101","Mnov_gtseq_241",3,2
"102","Mnov_gtseq_243",2,1
"103","Mnov_gtseq_244",2,1
"104","Mnov_gtseq_245",2,1
"105","Mnov_gtseq_246",2,1
"106","Mnov_gtseq_247",2,1
"107","Mnov_gtseq_248",2,1
"108","Mnov_gtseq_25",2,1
"109","Mnov_gtseq_250",2,1
"110","Mnov_gtseq_251",1,1
"111","Mnov_gtseq_253",1,1
"112","Mnov_gtseq_254",2,1
"113","Mnov_gtseq_255",2,1
"114","Mnov_gtseq_257",2,1
"115","Mnov_gtseq_258",2,1
"116","Mnov_gtseq_26",2,1
"117","Mnov_gtseq_260",2,1
"118","Mnov_gtseq_261",1,1
"119","Mnov_gtseq_262",1,1
"120","Mnov_gtseq_263",2,1
"121","Mnov_gtseq_265",2,1
"122","Mnov_gtseq_268",3,2
"123","Mnov_gtseq_269",1,1
"124","Mnov_gtseq_270",1,1
"125","Mnov_gtseq_271",3,2
"126","Mnov_gtseq_273",2,1
"127","Mnov_gtseq_274",2,1
"128","Mnov_gtseq_275",2,1
"129","Mnov_gtseq_277",2,1
"130","Mnov_gtseq_278",1,1
"131","Mnov_gtseq_28",2,1
"132","Mnov_gtseq_281",2,1
"133","Mnov_gtseq_284",3,1
"134","Mnov_gtseq_285",2,1
"135","Mnov_gtseq_287",3,1
"136","Mnov_gtseq_288",2,1
"137","Mnov_gtseq_289",2,1
"138","Mnov_gtseq_297",2,1
"139","Mnov_gtseq_298",1,1
"140","Mnov_gtseq_299",1,1
"141","Mnov_gtseq_3",0,0
"142","Mnov_gtseq_30",1,1
"143","Mnov_gtseq_300",3,2
"144","Mnov_gtseq_301",1,1
"145","Mnov_gtseq_304",2,1
"146","Mnov_gtseq_305",2,1
"147","Mnov_gtseq_307",1,1
"148","Mnov_gtseq_308",2,1
"149","Mnov_gtseq_309",1,1
"150","Mnov_gtseq_310",1,1
"151","Mnov_gtseq_311",2,1
"152","Mnov_gtseq_312",2,1
"153","Mnov_gtseq_313",2,1
"154","Mnov_gtseq_314",2,1
"155","Mnov_gtseq_315",2,1
"156","Mnov_gtseq_317",1,1
"157","Mnov_gtseq_318",2,1
"158","Mnov_gtseq_320",2,1
"159","Mnov_gtseq_321",3,1
"160","Mnov_gtseq_322",2,1
