"locus","start","stop"
"Mnov_gtseq_506",129,130
"Mnov_gtseq_506",171,172
"Mnov_gtseq_506",228,229
"Mnov_gtseq_506",253,254
"Mnov_gtseq_506",255,256
"Mnov_gtseq_15",129,130
"Mnov_gtseq_394",129,130
"Mnov_gtseq_394",165,166
"Mnov_gtseq_14",0,1
"Mnov_gtseq_14",1,2
"Mnov_gtseq_14",2,3
"Mnov_gtseq_14",3,4
"Mnov_gtseq_14",4,5
"Mnov_gtseq_14",5,6
"Mnov_gtseq_14",6,7
"Mnov_gtseq_14",7,8
"Mnov_gtseq_14",8,9
"Mnov_gtseq_14",9,10
"Mnov_gtseq_14",10,11
"Mnov_gtseq_14",11,12
"Mnov_gtseq_14",12,13
"Mnov_gtseq_14",13,14
"Mnov_gtseq_14",14,15
"Mnov_gtseq_14",15,16
"Mnov_gtseq_14",16,17
"Mnov_gtseq_14",17,18
"Mnov_gtseq_14",18,19
"Mnov_gtseq_14",19,20
"Mnov_gtseq_14",20,21
"Mnov_gtseq_14",21,22
"Mnov_gtseq_14",22,23
"Mnov_gtseq_14",23,24
"Mnov_gtseq_14",24,25
"Mnov_gtseq_14",25,26
"Mnov_gtseq_14",26,27
"Mnov_gtseq_14",27,28
"Mnov_gtseq_14",28,29
"Mnov_gtseq_14",29,30
"Mnov_gtseq_14",30,31
"Mnov_gtseq_14",31,32
"Mnov_gtseq_14",32,33
"Mnov_gtseq_14",33,34
"Mnov_gtseq_14",34,35
"Mnov_gtseq_14",35,36
"Mnov_gtseq_14",36,37
"Mnov_gtseq_14",37,38
"Mnov_gtseq_14",38,39
"Mnov_gtseq_14",39,40
"Mnov_gtseq_14",40,41
"Mnov_gtseq_14",41,42
"Mnov_gtseq_14",42,43
"Mnov_gtseq_14",43,44
"Mnov_gtseq_14",129,130
"Mnov_gtseq_264",129,130
"Mnov_gtseq_264",132,133
"Mnov_gtseq_289",129,130
"Mnov_gtseq_289",181,182
"Mnov_gtseq_230",129,130
"Mnov_gtseq_245",129,130
"Mnov_gtseq_246",38,39
"Mnov_gtseq_246",96,97
"Mnov_gtseq_246",129,130
"Mnov_gtseq_50",129,130
"Mnov_gtseq_50",202,203
"Mnov_gtseq_50",204,205
"Mnov_gtseq_51",129,130
"Mnov_gtseq_51",258,259
"Mnov_gtseq_182",129,130
"Mnov_gtseq_545",129,130
"Mnov_gtseq_459",129,130
"Mnov_gtseq_459",162,163
"Mnov_gtseq_118",129,130
"Mnov_gtseq_142",129,130
"Mnov_gtseq_219",129,130
"Mnov_gtseq_296",129,130
"Mnov_gtseq_296",217,218
"Mnov_gtseq_296",218,219
"Mnov_gtseq_296",219,220
"Mnov_gtseq_296",220,221
"Mnov_gtseq_296",221,222
"Mnov_gtseq_296",222,223
"Mnov_gtseq_296",223,224
"Mnov_gtseq_296",224,225
"Mnov_gtseq_296",225,226
"Mnov_gtseq_296",226,227
"Mnov_gtseq_296",227,228
"Mnov_gtseq_296",228,229
"Mnov_gtseq_296",229,230
"Mnov_gtseq_296",230,231
"Mnov_gtseq_296",231,232
"Mnov_gtseq_296",232,233
"Mnov_gtseq_296",233,234
"Mnov_gtseq_296",234,235
"Mnov_gtseq_296",235,236
"Mnov_gtseq_296",236,237
"Mnov_gtseq_296",237,238
"Mnov_gtseq_296",238,239
"Mnov_gtseq_296",239,240
"Mnov_gtseq_296",240,241
"Mnov_gtseq_296",241,242
"Mnov_gtseq_296",242,243
"Mnov_gtseq_296",243,244
"Mnov_gtseq_296",244,245
"Mnov_gtseq_296",245,246
"Mnov_gtseq_296",246,247
"Mnov_gtseq_296",247,248
"Mnov_gtseq_296",248,249
"Mnov_gtseq_296",249,250
"Mnov_gtseq_296",250,251
"Mnov_gtseq_296",251,252
"Mnov_gtseq_296",252,253
"Mnov_gtseq_296",253,254
"Mnov_gtseq_296",254,255
"Mnov_gtseq_296",255,256
"Mnov_gtseq_296",256,257
"Mnov_gtseq_296",257,258
"Mnov_gtseq_296",258,259
"Mnov_gtseq_295",129,130
"Mnov_gtseq_540",129,130
"Mnov_gtseq_433",19,20
"Mnov_gtseq_433",20,21
"Mnov_gtseq_433",21,22
"Mnov_gtseq_433",22,23
"Mnov_gtseq_433",23,24
"Mnov_gtseq_433",24,25
"Mnov_gtseq_433",25,26
"Mnov_gtseq_433",26,27
"Mnov_gtseq_433",27,28
"Mnov_gtseq_433",28,29
"Mnov_gtseq_433",44,45
"Mnov_gtseq_433",129,130
"Mnov_gtseq_144",129,130
"Mnov_gtseq_144",145,146
"Mnov_gtseq_144",202,203
"Mnov_gtseq_143",129,130
"Mnov_gtseq_97",78,79
"Mnov_gtseq_97",129,130
"Mnov_gtseq_97",180,181
"Mnov_gtseq_97",247,248
"Mnov_gtseq_275",129,130
"Mnov_gtseq_276",129,130
"Mnov_gtseq_451",129,130
"Mnov_gtseq_451",147,148
"Mnov_gtseq_12",129,130
"Mnov_gtseq_537",129,130
"Mnov_gtseq_152",129,130
"Mnov_gtseq_507",129,130
"Mnov_gtseq_507",198,199
"Mnov_gtseq_19",98,99
"Mnov_gtseq_19",129,130
"Mnov_gtseq_395",129,130
"Mnov_gtseq_395",146,147
"Mnov_gtseq_21",129,130
"Mnov_gtseq_20",129,130
"Mnov_gtseq_18",129,130
"Mnov_gtseq_529",45,46
"Mnov_gtseq_529",63,64
"Mnov_gtseq_529",129,130
"Mnov_gtseq_115",1,2
"Mnov_gtseq_115",129,130
"Mnov_gtseq_114",100,101
"Mnov_gtseq_114",129,130
"Mnov_gtseq_243",63,64
"Mnov_gtseq_243",129,130
"Mnov_gtseq_244",129,130
"Mnov_gtseq_448",129,130
"Mnov_gtseq_448",207,208
"Mnov_gtseq_381",118,119
"Mnov_gtseq_381",129,130
"Mnov_gtseq_104",129,130
"Mnov_gtseq_105",129,130
"Mnov_gtseq_317",129,130
"Mnov_gtseq_265",129,130
"Mnov_gtseq_26",129,130
"Mnov_gtseq_24",129,130
"Mnov_gtseq_25",129,130
"Mnov_gtseq_330",108,109
"Mnov_gtseq_330",129,130
"Mnov_gtseq_330",138,139
"Mnov_gtseq_461",129,130
"Mnov_gtseq_331",129,130
"Mnov_gtseq_133",129,130
"Mnov_gtseq_133",170,171
"Mnov_gtseq_90",129,130
"Mnov_gtseq_89",89,90
"Mnov_gtseq_89",129,130
"Mnov_gtseq_89",133,134
"Mnov_gtseq_89",159,160
"Mnov_gtseq_414",129,130
"Mnov_gtseq_518",74,75
"Mnov_gtseq_518",129,130
"Mnov_gtseq_69",129,130
"Mnov_gtseq_68",113,114
"Mnov_gtseq_68",129,130
"Mnov_gtseq_266",10,11
"Mnov_gtseq_266",129,130
"Mnov_gtseq_266",257,258
"Mnov_gtseq_266",258,259
"Mnov_gtseq_80",45,46
"Mnov_gtseq_80",129,130
"Mnov_gtseq_79",129,130
"Mnov_gtseq_333",129,130
"Mnov_gtseq_332",129,130
"Mnov_gtseq_103",129,130
"Mnov_gtseq_103",187,188
"Mnov_gtseq_319",129,130
"Mnov_gtseq_2",129,130
"Mnov_gtseq_5",129,130
"Mnov_gtseq_4",129,130
"Mnov_gtseq_3",129,130
"Mnov_gtseq_464",129,130
"Mnov_gtseq_465",129,130
"Mnov_gtseq_338",129,130
"Mnov_gtseq_337",83,84
"Mnov_gtseq_337",96,97
"Mnov_gtseq_337",129,130
"Mnov_gtseq_463",129,130
"Mnov_gtseq_463",136,137
"Mnov_gtseq_463",175,176
"Mnov_gtseq_29",129,130
"Mnov_gtseq_508",129,130
"Mnov_gtseq_411",129,130
"Mnov_gtseq_410",93,94
"Mnov_gtseq_410",120,121
"Mnov_gtseq_410",127,128
"Mnov_gtseq_410",129,130
"Mnov_gtseq_413",25,26
"Mnov_gtseq_413",117,118
"Mnov_gtseq_413",129,130
"Mnov_gtseq_88",129,130
"Mnov_gtseq_412",129,130
"Mnov_gtseq_412",145,146
"Mnov_gtseq_247",129,130
"Mnov_gtseq_471",129,130
"Mnov_gtseq_471",150,151
"Mnov_gtseq_369",121,122
"Mnov_gtseq_369",129,130
"Mnov_gtseq_347",129,130
"Mnov_gtseq_347",176,177
"Mnov_gtseq_390",129,130
"Mnov_gtseq_390",160,161
"Mnov_gtseq_501",129,130
"Mnov_gtseq_81",129,130
"Mnov_gtseq_297",129,130
"Mnov_gtseq_201",129,130
"Mnov_gtseq_198",75,76
"Mnov_gtseq_198",129,130
"Mnov_gtseq_548",129,130
"Mnov_gtseq_199",93,94
"Mnov_gtseq_199",129,130
"Mnov_gtseq_441",129,130
"Mnov_gtseq_200",129,130
"Mnov_gtseq_202",129,130
"Mnov_gtseq_197",129,130
"Mnov_gtseq_248",129,130
"Mnov_gtseq_248",196,197
"Mnov_gtseq_348",129,130
"Mnov_gtseq_396",52,53
"Mnov_gtseq_396",129,130
"Mnov_gtseq_396",164,165
"Mnov_gtseq_362",25,26
"Mnov_gtseq_362",129,130
"Mnov_gtseq_362",208,209
"Mnov_gtseq_362",228,229
"Mnov_gtseq_363",129,130
"Mnov_gtseq_361",63,64
"Mnov_gtseq_361",78,79
"Mnov_gtseq_361",129,130
"Mnov_gtseq_361",221,222
